region,district,ward,latitude,longitude,bank_type,bank_name,weekend_trading,yr_started,yr_started_reformatted
Dar es Salaam,Temeke,Mbagala,-6.92247,39.27113,Commercial Bank,Accessbank (Tanzania) Limited,Yes,16/05/11,2011-5-01
Shinyanga,Kahama,Kahama Mjini,-3.82858,32.60006,Commercial Bank,Accessbank (Tanzania) Limited,No,12/07/13,2013-7-01
Dar es Salaam,Temeke,Miburani,-6.86209,39.26233,Commercial Bank,Accessbank (Tanzania) Limited,Yes,05/03/98,1998-3-01
Dar es Salaam,Ilala,Kariakoo,-6.82157,39.28025,Commercial Bank,Accessbank (Tanzania) Limited,Yes,10/06/09,2009-6-01
Dar es Salaam,Ilala,Kariakoo,-6.81944,39.27418,Commercial Bank,Accessbank (Tanzania) Limited,Yes,18/12/13,2013-12-01
Dar es Salaam,Kinondoni,Manzese,-6.79895,39.23328,Commercial Bank,Accessbank (Tanzania) Limited,Yes,12/05/03,2003-5-01
Dar es Salaam,Kinondoni,Makumbusho,-6.77671,39.24596,Commercial Bank,Accessbank (Tanzania) Limited,No,18/11/10,2010-11-01
Tabora,Tabora Urban,Kanyenye,-5.02295,32.80934,Commercial Bank,Accessbank (Tanzania) Limited,Yes,18/11/11,2011-11-01
Mwanza,Nyamagana,Nyamagana,-2.51989,32.90331,Commercial Bank,Accessbank (Tanzania) Limited,Yes,04/01/12,2012-1-01
Dar es Salaam,Temeke,Miburani,-6.85601,39.26374,Commercial Bank,Advans Bank (Tanzania) Limited,Yes,16/02/12,2012-2-01
Dar es Salaam,Ilala,Kariakoo,-6.81655,39.27719,Commercial Bank,Advans Bank (Tanzania) Limited,Yes,18/12/13,2013-12-01
Dar es Salaam,Kinondoni,Manzese,-6.79884,39.23206,Commercial Bank,Advans Bank (Tanzania) Limited,No,27/04/12,2012-4-01
Dar es Salaam,Ilala,Kariakoo,-6.81728,39.27391,Commercial Bank,African Banking Corporation (Tanzania) Limited,Yes,19/12/13,2013-12-01
Dar es Salaam,Kinondoni,Kijitonyama,-6.77669,39.23261,Commercial Bank,African Banking Corporation (Tanzania) Limited,Yes,09/02/11,2011-2-01
Arusha,Arusha,Kati,-3.37301,36.68882,Commercial Bank,African Banking Corporation (Tanzania) Limited,Yes,13/10/06,2006-10-01
Dar es Salaam,Temeke,Mbagala,-6.91727,39.27075,Commercial Bank,Akiba Commercial Bank Limited,Yes,06/07/11,2011-7-01
Dar es Salaam,Ilala,Ukonga,-6.87067,39.19021,Commercial Bank,Akiba Commercial Bank Limited,Yes,28/08/97,1997-8-01
Dar es Salaam,Temeke,Tandika,-6.86729,39.26142,Commercial Bank,Akiba Commercial Bank Limited,Yes,26/03/09,2009-3-01
Dar es Salaam,Ilala,Kariakoo,-6.82778,39.26799,Commercial Bank,Akiba Commercial Bank Limited,Yes,20/09/09,2009-9-01
Dar es Salaam,Ilala,Kariakoo,-6.8257,39.26669,Commercial Bank,Akiba Commercial Bank Limited,Yes,17/12/13,2013-12-01
Dar es Salaam,Ilala,Kariakoo,-6.82399,39.27254,Commercial Bank,Akiba Commercial Bank Limited,Yes,11/06/06,2006-6-01
Dodoma,Dodoma Urban,Madukani,-6.17918,35.74304,Commercial Bank,Akiba Commercial Bank Limited,Yes,07/04/13,2013-4-01
Dar es Salaam,Ilala,Upanga East,-6.81226,39.28857,Commercial Bank,Akiba Commercial Bank Limited,No,10/08/11,2011-8-01
Pwani,Bagamoyo,Dunda,-6.44428,38.90785,Commercial Bank,Akiba Commercial Bank Limited,Yes,14/11/11,2011-11-01
Dar es Salaam,Kinondoni,Tandale,-6.79638,39.23719,Commercial Bank,Akiba Commercial Bank Limited,Yes,07/10/10,2010-10-01
Dar es Salaam,Kinondoni,Ubungo,-6.79505,39.21708,Commercial Bank,Akiba Commercial Bank Limited,Yes,12/07/96,1996-7-01
Dar es Salaam,Kinondoni,Kijitonyama,-6.77512,39.24252,Commercial Bank,Akiba Commercial Bank Limited,No,21/02/10,2010-2-01
Kilimanjaro,Moshi Urban,Mawenzi,-3.3562,37.33849,Commercial Bank,Akiba Commercial Bank Limited,Yes,08/09/04,2004-9-01
Dar es Salaam,Kinondoni,Bunju,-6.65913,39.18149,Commercial Bank,Akiba Commercial Bank Limited,No,14/06/93,1993-6-01
Arusha,Arusha,Kati,-3.3755,36.68083,Commercial Bank,Akiba Commercial Bank Limited,Yes,17/08/02,2002-8-01
Dar es Salaam,Ilala,Segerea,-6.84677,39.18732,Commercial Bank,Amana Bank Limited,Yes,30/11/12,2012-11-01
Dar es Salaam,Ilala,Buguruni,-6.83825,39.24356,Commercial Bank,Amana Bank Limited,Yes,20/01/14,2014-1-01
Dar es Salaam,Temeke,Chang'ombe,-6.83772,39.25915,Commercial Bank,Amana Bank Limited,No,19/04/12,2012-4-01
Dar es Salaam,Ilala,Kariakoo,-6.82861,39.23148,Commercial Bank,Amana Bank Limited,Yes,19/12/13,2013-12-01
Dar es Salaam,Ilala,Kariakoo,-6.81775,39.27866,Commercial Bank,Amana Bank Limited,Yes,18/12/13,2013-12-01
Dar es Salaam,Ilala,Kivukoni,-6.81435,39.28875,Commercial Bank,Amana Bank Limited,Yes,14/10/12,2012-10-01
Arusha,Arusha,Kati,-3.37224,36.68458,Commercial Bank,Amana Bank Limited,Yes,10/05/13,2013-5-01
Mwanza,Nyamagana,Nyamagana,-2.52054,32.8995,Commercial Bank,Amana Bank Limited,No,12/11/13,2013-11-01
Arusha,Arusha,Levolosi,-3.372,36.68468,Commercial Bank,Amana Bank Limited,Yes,25/07/13,2013-7-01
Shinyanga,Kahama,Kahama Mjini,-3.83015,32.60485,Commercial Bank,Azania Bank Limited,Yes,14/12/13,2013-12-01
Dar es Salaam,Ilala,Kariakoo,-6.82195,39.27321,Commercial Bank,Azania Bank Limited,Yes,05/02/09,2009-2-01
Dar es Salaam,Ilala,Kivukoni,-6.81602,39.29003,Commercial Bank,Azania Bank Limited,Yes,13/06/08,2008-6-01
Dar es Salaam,Kinondoni,Sinza,-6.78415,39.21382,Commercial Bank,Azania Bank Limited,Yes,08/02/11,2011-2-01
Dar es Salaam,Kinondoni,Kijitonyama,-6.76692,39.22826,Commercial Bank,Azania Bank Limited,Yes,11/12/11,2011-12-01
Kilimanjaro,Moshi Urban,Mawenzi,-3.35454,37.33965,Commercial Bank,Azania Bank Limited,Yes,06/11/11,2011-11-01
Dar es Salaam,Kinondoni,Mbezi,-6.66333,39.18523,Commercial Bank,Azania Bank Limited,No,16/04/13,2013-4-01
Mwanza,Geita,Kalangala,-2.87043,32.23758,Commercial Bank,Azania Bank Limited,Yes,15/01/08,2008-1-01
Arusha,Arusha,Sombetini,-3.37734,36.66253,Commercial Bank,Azania Bank Limited,Yes,25/01/11,2011-1-01
Mwanza,Nyamagana,Nyamagana,-2.51611,32.90146,Commercial Bank,Azania Bank Limited,Yes,06/01/10,2010-1-01
Mwanza,Magu,Mkula,-2.24681,33.84891,Commercial Bank,Azania Bank Limited,Yes,24/01/10,2010-1-01
Arusha,Arusha,Levolosi,-3.37179,36.68471,Commercial Bank,Azania Bank Limited,Yes,13/12/06,2006-12-01
Dar es Salaam,Temeke,Chang'ombe,-6.83954,39.25574,Commercial Bank,BancABC,No,16/04/12,2012-4-01
Dar es Salaam,Ilala,Kisutu,-6.81163,39.28706,Commercial Bank,BancABC,Yes,03/08/12,2012-8-01
Dar es Salaam,Ilala,Kisutu,-6.81095,39.28601,Commercial Bank,BancABC,Yes,05/02/13,2013-2-01
Dar es Salaam,Temeke,Chang'ombe,-6.8407,39.25582,Commercial Bank,BancABC,No,27/06/12,2012-6-01
Dar es Salaam,Ilala,Kivukoni,-6.81064,39.28706,Commercial Bank,BancABC,Yes,10/12/13,2013-12-01
Dar es Salaam,Temeke,Chang'ombe,-6.8372,39.25916,Commercial Bank,Bank M (Tanzania) Limited,No,02/06/12,2012-6-01
Dar es Salaam,Ilala,Kisutu,-6.81446,39.28683,Commercial Bank,Bank M (Tanzania) Limited,Yes,01/01/12,2012-1-01
Dar es Salaam,Ilala,Upanga West,-6.80193,39.28656,Commercial Bank,Bank M (Tanzania) Limited,Yes,02/01/10,2010-1-01
Mwanza,Nyamagana,Nyamagana,-2.52201,32.89824,Commercial Bank,Bank M (Tanzania) Limited,No,18/02/12,2012-2-01
Arusha,Arusha,Kati,-3.37177,36.69351,Commercial Bank,Bank M (Tanzania) Limited,Yes,18/11/10,2010-11-01
Dar es Salaam,Ilala,Kariakoo,-6.82277,39.27629,Commercial Bank,Bank M (Tanzania) Limited,Yes,18/06/07,2007-6-01
Dar es Salaam,Temeke,Mtoni,-6.87318,39.27225,Commercial Bank,Bank of Africa (Tanzania) Limited,No,14/06/08,2008-6-01
Dar es Salaam,Temeke,Tandika,-6.8684,39.25997,Commercial Bank,Bank of Africa (Tanzania) Limited,No,31/07/09,2009-7-01
Dar es Salaam,Ilala,Vingunguti,-6.84489,39.24286,Commercial Bank,Bank of Africa (Tanzania) Limited,No,15/09/09,2009-9-01
Dar es Salaam,Ilala,Ilala,-6.82772,39.25929,Commercial Bank,Bank of Africa (Tanzania) Limited,No,25/08/07,2007-8-01
Dar es Salaam,Ilala,Kariakoo,-6.82172,39.27698,Commercial Bank,Bank of Africa (Tanzania) Limited,Yes,15/10/08,2008-10-01
Dar es Salaam,Ilala,Kariakoo,-6.81931,39.27348,Commercial Bank,Bank of Africa (Tanzania) Limited,Yes,19/12/13,2013-12-01
Morogoro,Morogoro Urban,Boma,-6.82743,37.66357,Commercial Bank,Bank of Africa (Tanzania) Limited,No,01/11/12,2012-11-01
Shinyanga,Kahama,Kahama Mjini,-3.82737,32.5965,Commercial Bank,Bank of Africa (Tanzania) Limited,No,08/02/13,2013-2-01
Dar es Salaam,Ilala,Kivukoni,-6.81763,39.29241,Commercial Bank,Bank of Africa (Tanzania) Limited,No,12/11/03,2003-11-01
Dar es Salaam,Kinondoni,Kijitonyama,-6.77434,39.24053,Commercial Bank,Bank of Africa (Tanzania) Limited,No,11/04/11,2011-4-01
Dar es Salaam,Kinondoni,Mbezi,-6.70128,39.20687,Commercial Bank,Bank of Africa (Tanzania) Limited,Yes,28/06/07,2007-6-01
Kilimanjaro,Moshi Urban,Kiusa,-3.35193,37.34236,Commercial Bank,Bank of Africa (Tanzania) Limited,No,11/08/02,2002-8-01
Mtwara,Mtwara Urban,Railway,-10.27137,40.18777,Commercial Bank,Bank of Africa (Tanzania) Limited,Yes,20/10/13,2013-10-01
Mbeya,Mbozi,Tunduma,-9.30604,32.76389,Commercial Bank,Bank of Africa (Tanzania) Limited,Yes,20/03/11,2011-3-01
Mbeya,Mbeya Urban,Ruanda,-8.91059,33.4554,Commercial Bank,Bank of Africa (Tanzania) Limited,Yes,15/07/10,2010-7-01
Mwanza,Nyamagana,Nyamagana,-2.52213,32.90152,Commercial Bank,Bank of Africa (Tanzania) Limited,No,07/02/01,2001-2-01
Arusha,Arusha,Kati,-3.37355,36.69052,Commercial Bank,Bank of Africa (Tanzania) Limited,Yes,06/05/05,2005-5-01
Dar es Salaam,Kinondoni,Sinza,-6.78671,39.22288,Commercial Bank,Bank of Africa (Tanzania) Limited,Yes,15/11/08,2008-11-01
Dar es Salaam,Ilala,Kariakoo,-6.81868,39.27378,Commercial Bank,Bank of Baroda (Tanzania) Limited,Yes,10/01/08,2008-1-01
Dar es Salaam,Ilala,Kivukoni,-6.81653,39.29093,Commercial Bank,Bank of Baroda (Tanzania) Limited,Yes,24/05/08,2008-5-01
Dar es Salaam,Ilala,Kivukoni,-6.81642,39.29164,Commercial Bank,Bank of Baroda (Tanzania) Limited,Yes,06/01/12,2012-1-01
Mwanza,Nyamagana,Nyamagana,-2.52398,32.90038,Commercial Bank,Bank of Baroda (Tanzania) Limited,No,07/01/14,2014-1-01
Arusha,Arusha,Kati,-3.37215,36.69314,Commercial Bank,Bank of Baroda (Tanzania) Limited,Yes,17/11/05,2005-11-01
Dar es Salaam,Ilala,Kisutu,-6.85434,39.3228,Commercial Bank,Bank of India (Tanzania) Limited,Yes,20/07/12,2012-7-01
Dar es Salaam,Ilala,Kisutu,-6.81771,39.28528,Commercial Bank,Bank of India (Tanzania) Limited,Yes,13/09/12,2012-9-01
Dar es Salaam,Ilala,Kivukoni,-6.81205,39.28556,Commercial Bank,Bank of India (Tanzania) Limited,Yes,23/04/11,2011-4-01
Iringa,Iringa Urban,Gangilonga,-7.77669,35.69893,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,01/12/08,2008-12-01
Dar es Salaam,Temeke,Chang'ombe,-6.83695,39.25885,Commercial Bank,Barclays Bank (Tanzania) Limited,No,20/07/11,2011-7-01
Dar es Salaam,Ilala,Kariakoo,-6.82158,39.27877,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,13/03/12,2012-3-01
Dar es Salaam,Ilala,Kariakoo,-6.81808,39.27702,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,15/10/12,2012-10-01
Morogoro,Morogoro Urban,Kingo,-6.82603,37.66424,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,15/03/10,2010-3-01
Dodoma,Dodoma Urban,Madukani,-6.1811,35.74454,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,05/09/08,2008-9-01
Dar es Salaam,Ilala,Kisutu,-6.81701,39.28219,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,01/07/07,2007-7-01
Dar es Salaam,Ilala,Kivukoni,-6.81118,39.28723,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,03/01/10,2010-1-01
Dar es Salaam,Kinondoni,Magomeni,-6.80803,39.25912,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,19/03/10,2010-3-01
Kilimanjaro,Moshi Urban,Mawenzi,-3.35517,37.34041,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,03/05/05,2005-5-01
Dar es Salaam,Kinondoni,Kinondoni,-6.79042,39.2701,Commercial Bank,Barclays Bank (Tanzania) Limited,No,09/12/12,2012-12-01
Dar es Salaam,Kinondoni,Kijitonyama,-6.76759,39.2343,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,17/09/08,2008-9-01
Mbeya,Mbeya Urban,Sisimba,-8.89378,33.44189,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,16/04/06,2006-4-01
Mwanza,Nyamagana,Pamba,-2.52245,32.90403,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,15/01/10,2010-1-01
Arusha,Arusha,Ngarenaro,-3.3758,36.67988,Commercial Bank,Barclays Bank (Tanzania) Limited,No,10/02/12,2012-2-01
Arusha,Arusha,Themi,-3.37339,36.69256,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,20/11/07,2007-11-01
Zanzibar,Zanzibar,Welezo,-6.16428,39.19382,Commercial Bank,Barclays Bank (Tanzania) Limited,No,01/05/07,2007-5-01
Dar es Salaam,Ilala,Buguruni,-6.83314,39.24774,Commercial Bank,Barclays Bank (Tanzania) Limited,Yes,01/05/09,2009-5-01
Dar es Salaam,Ilala,Kivukoni,-6.81444,39.29006,Commercial Bank,China Commercial Bank,Yes,18/02/14,2014-2-01
Dar es Salaam,Ilala,Kisutu,-6.81135,39.28694,Commercial Bank,Citibank (Tanzania) Limited,Yes,01/12/00,2000-12-01
Dar es Salaam,Temeke,Chang'ombe,-6.83639,39.26198,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,No,24/03/09,2009-3-01
Dar es Salaam,Ilala,Kisutu,-6.81972,39.28591,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,Yes,08/08/08,2008-8-01
Dar es Salaam,Kinondoni,Makumbusho,-6.77343,39.24238,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,No,12/08/07,2007-8-01
Kilimanjaro,Moshi Urban,Mawenzi,-3.34927,37.34272,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,Yes,05/12/12,2012-12-01
Mbeya,Mbozi,Tunduma,-9.31224,32.76452,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,Yes,20/05/12,2012-5-01
Mbeya,Mbeya Urban,Maanga,-8.91241,33.46927,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,Yes,10/02/11,2011-2-01
Mwanza,Nyamagana,Nyamagana,-2.5224,32.89995,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,No,11/01/09,2009-1-01
Arusha,Arusha,Kati,-3.37312,36.69408,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,Yes,20/01/13,2013-1-01
Mtwara,Mtwara Urban,Shangani,-10.27185,40.18608,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,Yes,12/02/10,2010-2-01
Mtwara,Mtwara Urban,Shangani,-10.27015,40.1864,Commercial Bank,Commercial Bank of Africa (Tanzania) Limited,Yes,05/05/13,2013-5-01
Dar es Salaam,Kinondoni,Kijitonyama,-6.7755,39.2439,Commercial Bank,Covenant Bank ,No,01/11/12,2012-11-01
Ruvuma,Mbinga,Mbinga Urban,-10.948,34.99195,Commercial Bank,CRDB Bank Plc,Yes,05/10/07,2007-10-01
Tabora,Urambo,Urambo,-5.07638,32.07101,Commercial Bank,CRDB Bank Plc,Yes,21/05/12,2012-5-01
Iringa,Njombe,Njombe Mjini,-9.33958,34.77022,Commercial Bank,CRDB Bank Plc,Yes,09/06/10,2010-6-01
Shinyanga,Kahama,Kahama Mjini,-3.82759,32.59607,Commercial Bank,CRDB Bank Plc,Yes,14/02/03,2003-2-01
Dar es Salaam,Temeke,Toangoma,-6.95355,39.28358,Commercial Bank,CRDB Bank Plc,Yes,04/09/13,2013-9-01
Singida,Manyoni,Manyoni,-5.74801,34.83928,Commercial Bank,CRDB Bank Plc,No,30/04/05,2005-4-01
Dar es Salaam,Temeke,Mbagala,-6.9159,39.27024,Commercial Bank,CRDB Bank Plc,Yes,15/03/09,2009-3-01
Dar es Salaam,Temeke,Chang'ombe,-6.85494,39.26982,Commercial Bank,CRDB Bank Plc,No,02/05/11,2011-5-01
Iringa,Njombe,Makambako,-8.85659,34.82471,Commercial Bank,CRDB Bank Plc,Yes,17/09/10,2010-9-01
Dar es Salaam,Ilala,Kinyerezi,-6.84344,39.17148,Commercial Bank,CRDB Bank Plc,Yes,15/12/12,2012-12-01
Dar es Salaam,Temeke,Kigamboni,-6.84065,39.31922,Commercial Bank,CRDB Bank Plc,Yes,06/12/12,2012-12-01
Kilimanjaro,Rombo,Olele,-3.34935,37.34385,Commercial Bank,CRDB Bank Plc,Yes,08/06/00,2000-6-01
Dar es Salaam,Temeke,Chang'ombe,-6.83955,39.25585,Commercial Bank,CRDB Bank Plc,No,24/02/11,2011-2-01
Lindi,Nachingwea,Nambambo,-10.3605,38.76145,Commercial Bank,CRDB Bank Plc,Yes,08/10/13,2013-10-01
Dar es Salaam,Temeke,Chang'ombe,-6.83484,39.26484,Commercial Bank,CRDB Bank Plc,No,27/07/10,2010-7-01
Dar es Salaam,Ilala,Kisutu,-6.82522,39.28362,Commercial Bank,CRDB Bank Plc,Yes,02/01/11,2011-1-01
Dar es Salaam,Ilala,Tabata,-6.82373,39.23526,Commercial Bank,CRDB Bank Plc,Yes,20/01/16,2016-1-01
Dar es Salaam,Ilala,Kariakoo,-6.82206,39.28022,Commercial Bank,CRDB Bank Plc,Yes,19/12/13,2013-12-01
Tanga,Korogwe,Korogwe,-5.15813,38.44886,Commercial Bank,CRDB Bank Plc,Yes,14/03/08,2008-3-01
Dar es Salaam,Ilala,Kariakoo,-6.8218,39.27818,Commercial Bank,CRDB Bank Plc,Yes,17/12/13,2013-12-01
Morogoro,Kilombero,Ifakara,-8.09695,36.6809,Commercial Bank,CRDB Bank Plc,Yes,15/10/13,2013-10-01
Dar es Salaam,Ilala,Kisutu,-6.8197,39.28001,Commercial Bank,CRDB Bank Plc,Yes,07/01/12,2012-1-01
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34607,36.48602,Commercial Bank,CRDB Bank Plc,Yes,28/10/13,2013-10-01
Dodoma,Dodoma Urban,Ng'ong'ona,-6.22129,35.81065,Commercial Bank,CRDB Bank Plc,Yes,18/04/11,2011-4-01
Singida,Singida Urban,Ipembe,-4.81785,34.75296,Commercial Bank,CRDB Bank Plc,Yes,11/10/06,2006-10-01
Morogoro,Kilombero,Kidatu,-7.6627,36.98847,Commercial Bank,CRDB Bank Plc,No,01/07/10,2010-7-01
Rukwa,Sumbawanga Urban,Katandala,-7.96714,31.61679,Commercial Bank,CRDB Bank Plc,Yes,10/05/96,1996-5-01
Dar es Salaam,Ilala,Tabata,-6.81949,39.21941,Commercial Bank,CRDB Bank Plc,Yes,09/11/13,2013-11-01
Rukwa,Mpanda,Kashaulili,-6.34465,31.06997,Commercial Bank,CRDB Bank Plc,Yes,17/08/11,2011-8-01
Morogoro,Mvomero,Mzumbe,-6.92737,37.56952,Commercial Bank,CRDB Bank Plc,Yes,30/01/02,2002-1-01
Morogoro,Morogoro Urban,Mbuyuni,-6.85183,37.65839,Commercial Bank,CRDB Bank Plc,Yes,29/09/08,2008-9-01
Kigoma,Kasulu,Kasulu Mjini,-4.58171,30.10193,Commercial Bank,CRDB Bank Plc,Yes,13/03/12,2012-3-01
Dar es Salaam,Ilala,Kariakoo,-6.81689,39.27833,Commercial Bank,CRDB Bank Plc,Yes,18/12/13,2013-12-01
