region,district,ward,latitude,longitude,microfinance_name,yr_operation_started,yr_started_reformatted,reg_no,MFI_mob_fin_services,tigo_pesa,m_pesa,ezy_pesa,airtel_cash,other_mobfin_services,other_mobfin_services_detail
Shinyanga,Kahama,Kahama Mjini,-3.82849,32.60023,Access Bank Microfinance,09/07/13,2013-7-01,0,Yes,,Yes,,,,
Dar es Salaam,Kinondoni,Makumbusho,-6.77679,39.24608,Access Bank Microfinance,19/12/10,2010-12-01,0,Yes,,Yes,,,,
Dar es Salaam,Ilala,Kariakoo,-6.82173,39.27973,Access Bank Microfinance,21/05/11,2011-5-01,669532,Yes,,Yes,,,,
Dar es Salaam,Kinondoni,Kawe,-6.7684,39.21735,African Microfinance Ltd,19/04/00,2000-4-01,734924,,,,,,,
Dar es Salaam,Kinondoni,Kunduchi,-6.65983,39.18134,Akiba Commercial Bank Microfinance,14/09/10,2010-9-01,0,Yes,Yes,,Yes,Yes,,
Dar es Salaam,Kinondoni,Tandale,-6.79626,39.23589,Akiba Commercial Bank Microfinance,16/05/07,2007-5-01,0,Yes,Yes,Yes,,,,
Dar es Salaam,Ilala,Buguruni,-6.83825,39.24386,Akiba Commercial Bank Microfinance,18/02/06,2006-2-01,128,,,,,,,
Dar es Salaam,Kinondoni,Ubungo,-6.79479,39.21576,Akiba Commercial Bank Microfinance,26/04/09,2009-4-01,79800760,,,,,,,
Dar es Salaam,Temeke,Tandika,-6.8673,39.26124,Akiba Commercial Bank Microfinance,22/04/10,2010-4-01,222856571,,,,,,,
Dar es Salaam,Ilala,Kariakoo,-6.82419,39.27228,Akiba Commercial Bank Microfinance,20/01/09,2009-1-01,235689505,,,,,,,
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.35497,37.33931,Akiba Commercial Bank Microfinance,25/10/11,2011-10-01,ACB1030,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.87069,39.19032,Akiba Commercial Bank Microfinance,17/01/97,1997-1-01,DBS/C.20/8,,,,,,,
Kagera,Karagwe,Kituntu,-1.41803,31.14534,Akiba Commercial Bank Microfinance,01/06/12,2012-6-01,KAR 477,,,,,,,
Singida,Manyoni,Manyoni,-5.7487,34.83728,Amacha Credit (T) Ltd,25/01/11,2011-1-01,00/05,,,,,,,
Dodoma,Dodoma Urban,Madukani,-6.17814,35.74353,Amacha Credit (T) Ltd,29/12/13,2013-12-01,104-654-007,,,,,,,
Arusha,Arusha,Ngarenaro,-3.3754,36.67862,Amani Microfinance,16/12/07,2007-12-01,ar/2921,,,,,,,
Dar es Salaam,Kinondoni,Sinza,-6.7876,39.22262,Amsha Microfinance,18/03/07,2007-3-01,D1789000,,,,,,,
Mbeya,Rungwe,Tukuyu,-9.2497,33.64166,Balimi Vicoba Microfinance,02/02/03,2003-2-01,84438,,,,,,,
Mbeya,Mbozi,Vwawa,-8.90548,33.44344,Banc Abc Microfinance,05/12/13,2013-12-01,104 109 824,,,,,,,
Pwani,Mkuranga,Mkuranga,-7.12393,39.20224,Banc Abc Microfinance,19/05/13,2013-5-01,0653 854885,,,,,,,
Arusha,Arusha,Kati,-3.36754,36.68483,Bayport Financial Services,20/05/12,2012-5-01,0,,,,,,,
Singida,Singida Urban,Ipembe,-4.81625,34.75096,Bayport Financial Services,10/07/10,2010-7-01,0,,,,,,,
Shinyanga,Bukombe,Ushirombo,-3.47069,31.89914,Bayport Financial Services,20/08/13,2013-8-01,215,,,,,,,
Shinyanga,Bariadi,Bariadi,-2.80447,33.98812,Bayport Financial Services,08/12/08,2008-12-01,421,,,,,,,
Shinyanga,Kahama,Kahama Mjini,-3.82918,32.60196,Bayport Financial Services,01/06/07,2007-6-01,752,,,,,,,
Mara,Bunda,Bunda,-2.02488,33.87324,Bayport Financial Services,11/09/12,2012-9-01,1850,,,,,,,
Mara,Tarime,Susuni,-1.34318,34.37776,Bayport Financial Services,17/03/13,2013-3-01,5501,,,,,,,
Mara,Tarime,Tarime,-1.34215,34.37637,Bayport Financial Services,08/12/13,2013-12-01,7860,,,,,,,
Mara,Musoma Urban,Mukendo,-1.49487,33.80772,Bayport Financial Services,04/05/13,2013-5-01,9931,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.0199,32.80742,Bayport Financial Services,24/08/02,2002-8-01,45566,,,,,,,
Tanga,Korogwe,Korogwe,-5.15893,38.45074,Bayport Financial Services,01/11/09,2009-11-01,55322,,,,,,,
Lindi,Nachingwea,Nambambo,-10.36926,38.76313,Bayport Financial Services,12/02/10,2010-2-01,60322,Yes,,Yes,,,,
Mbeya,Chunya,Itewe,-8.52099,33.42101,Bayport Financial Services,27/04/05,2005-4-01,1426232,,,,,,,
Mbeya,Mbeya Urban,Sisimba,-8.89443,33.4398,Bayport Financial Services,08/05/07,2007-5-01,140 360 653,,,,,,,
Dodoma,Dodoma Urban,Viwandani,-6.17969,35.74822,Bayport Financial Services,27/06/07,2007-6-01,999401273,,,,,,,
Arusha,Karatu,Karatu,-3.33865,35.67765,Bayport Financial Services,22/02/06,2006-2-01,2.55E+11,,,,,,,
Kilimanjaro,Moshi Urban,Mawenzi,-3.35387,37.34089,Bayport Financial Services,04/02/10,2010-2-01,065/19,,,,,,,
Singida,Manyoni,Manyoni,-5.74799,34.83828,Bayport Financial Services,30/09/10,2010-9-01,0B102,,,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34618,36.48739,Bayport Financial Services,19/04/12,2012-4-01,104-360-123,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90663,35.78797,Bayport Financial Services,26/07/06,2006-7-01,104-360-653,,,,,,,
Mbeya,Rungwe,Tukuyu,-9.25967,33.6455,Bayport Financial Services,20/02/02,2002-2-01,140-360-653,,,,,,,
Mbeya,Kyela,Kyela Mjini,-9.60255,33.86655,Bayport Financial Services,25/08/08,2008-8-01,140-360-653,,,,,,,
Mwanza,Nyamagana,Nyamagana,-2.51853,32.90243,Bayport Financial Services,17/01/08,2008-1-01,B00022,Yes,,Yes,,,,
Kilimanjaro,Hai,Hai Mjini,-3.33454,37.14561,Bayport Financial Services,24/08/12,2012-8-01,H104BP,,,,,,,
Kigoma,Kasulu,Kasulu Mjini,-4.57165,30.09619,Bayport Financial Services,26/09/13,2013-9-01,no reg no,,,,,,,
Kagera,Muleba,Muleba,-1.84261,31.6534,Bayport Financial Services,08/06/13,2013-6-01,No.Registration Number,,,,,,,
Arusha,Arusha,Kati,-3.3738,36.68928,Blue Microfinance,15/10/01,2001-10-01,ar/7134,,,,,,,
Arusha,Arumeru,Leguruki,-3.3742,36.68607,Blue Rock Microfinance,01/12/04,2004-12-01,0,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.8373,39.19587,Bogach Microfinance,26/09/06,2006-9-01,0,Yes,Yes,Yes,,Yes,,
Arusha,Arumeru,Nkoanrua,-3.34414,36.77677,Brac (T) Finance Ltd,08/12/13,2013-12-01,0,,,,,,,
Mbeya,Mbeya Urban,Nzovwe,-8.92086,33.42722,Brac (T) Finance Ltd,09/05/06,2006-5-01,0,,,,,,,
Mbeya,Mbeya Urban,Itezi,-8.89998,33.53956,Brac (T) Finance Ltd,16/01/12,2012-1-01,0,,,,,,,
Dar es Salaam,Temeke,Temeke,-6.8617,39.26775,Brac (T) Finance Ltd,18/04/07,2007-4-01,0,,,,,,,
Singida,Singida Urban,Kindai,-4.83682,34.75077,Brac (T) Finance Ltd,25/10/10,2010-10-01,0,,,,,,,
Mara,Musoma Urban,Nyakato,-1.50953,33.8095,Brac (T) Finance Ltd,02/01/13,2013-1-01,2363,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02348,32.8038,Brac (T) Finance Ltd,23/11/03,2003-11-01,54286,,,,,,,
Arusha,Monduli,Monduli Mjini,-3.29515,36.44533,Brac (T) Finance Ltd,13/11/10,2010-11-01,67364,,,,,,,
Tanga,Korogwe,Korogwe,-5.16128,38.45659,Brac (T) Finance Ltd,01/02/06,2006-2-01,67364,Yes,,Yes,,,,
Shinyanga,Kahama,Malunga,-3.81791,32.60158,Brac (T) Finance Ltd,06/02/08,2008-2-01,750719,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.9159,39.27548,Brac (T) Finance Ltd,21/06/09,2009-6-01,0754 953670,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90616,35.78685,Brac (T) Finance Ltd,13/05/09,2009-5-01,013-335-009,,,,,,,
Dodoma,Dodoma Urban,Miyuji,-6.14084,35.74802,Brac (T) Finance Ltd,16/12/13,2013-12-01,103-346-210,,,,,,,
Dodoma,Dodoma Urban,Makole,-6.16711,35.77286,Brac (T) Finance Ltd,04/11/06,2006-11-01,104-312-002,,,,,,,
Arusha,Arumeru,Usa River,-3.36676,36.85774,Brac (T) Finance Ltd,10/07/11,2011-7-01,104-312-004,,,,,,,
Kilimanjaro,Mwanga,Mwanga,-3.6581,37.58287,Brac (T) Finance Ltd,04/02/10,2010-2-01,119/015,,,,,,,
Kilimanjaro,Rombo,Kelamfua Mokala,-3.19327,37.62025,Brac (T) Finance Ltd,13/07/07,2007-7-01,129/08,,,,,,,
Kilimanjaro,Moshi Rural,Kilema Kaskazini,-3.38442,37.54851,Brac (T) Finance Ltd,12/10/05,2005-10-01,15N004,,,,,,,
Kilimanjaro,Moshi Urban,Karanga,-3.35064,37.32846,Brac (T) Finance Ltd,28/02/04,2004-2-01,351F19,,,,,,,
Singida,Singida Urban,Utemini,-4.80644,34.7375,Brac (T) Finance Ltd,22/05/10,2010-5-01,ACR/15,,,,,,,
Kilimanjaro,Hai,Siha Kati,-3.34086,37.1309,Brac (T) Finance Ltd,02/07/12,2012-7-01,H201,,,,,,,
Kilimanjaro,Hai,Machame Kaskazini,-3.32198,37.23448,Brac (T) Finance Ltd,22/09/05,2005-9-01,HN201,,,,,,,
Kilimanjaro,Moshi Urban,Kiboriloni,-3.351,37.34285,Brac (T) Finance Ltd,27/03/11,2011-3-01,KBB23,,,,,,,
Shinyanga,Bariadi,Bariadi,-2.80542,33.98527,CRDB Microfince,15/02/12,2012-2-01,0,,,,,,,
Dar es Salaam,Kinondoni,Mikocheni,-6.76598,39.23894,CRDB Microfince,15/11/12,2012-11-01,0,,,,,,,
Dar es Salaam,Kinondoni,Kawe,-6.77347,39.2199,CRDB Microfince,15/09/07,2007-9-01,735214,,,,,,,
Dar es Salaam,Ilala,Kariakoo,-6.8174,39.27846,CRDB Microfince,18/12/07,2007-12-01,369584693,Yes,,Yes,,Yes,,
Zanzibar,Zanzibar,Welezo,-6.16358,39.19147,CRDB Microfince,13/06/11,2011-6-01,2.56E+11,,,,,,,
Dodoma,Dodoma Urban,Madukani,-6.18133,35.7458,CRDB Microfince,18/03/13,2013-3-01,103-613-112,Yes,Yes,Yes,,Yes,,
Dodoma,Dodoma Urban,Ng'ong'ona,-6.221,35.81047,CRDB Microfince,20/05/10,2010-5-01,103-698-215,,,,,,,
Dodoma,Dodoma Urban,Viwandani,-6.17867,35.74675,CRDB Microfince,15/06/04,2004-6-01,104-012-612,,,,,,,
Arusha,Arusha,Kati,-3.37118,36.69551,CRDB Microfince,16/11/02,2002-11-01,AR/ BOT/ 4691,,,,,,,
Arusha,Arusha,Kati,-3.37354,36.68557,CRDB Microfince,10/02/05,2005-2-01,ar/731,Yes,Yes,Yes,,Yes,,
Arusha,Arusha,Sekei,-3.36901,36.69306,CRDB Microfince,10/01/06,2006-1-01,ar/749,Yes,Yes,Yes,,Yes,,
Arusha,Arusha,Ngarenaro,-3.37521,36.67835,CRDB Microfince,05/11/13,2013-11-01,ar/758,,,,,,,
Arusha,Arumeru,Usa River,-3.37326,36.84757,CRDB Microfince,20/02/11,2011-2-01,ar/761,Yes,Yes,Yes,,Yes,,
Singida,Singida Urban,Ipembe,-4.81777,34.75276,CRDB Microfince,25/04/06,2006-4-01,BLD/SGD/01,Yes,,Yes,,Yes,,
Dar es Salaam,Ilala,Kivukoni,-6.81434,39.28968,CRDB Microfince,10/02/05,2005-2-01,C.07812,,,,,,,
Dar es Salaam,Ilala,Kivukoni,-6.81436,39.29041,CRDB Microfince,12/02/08,2008-2-01,C.9545,,,,,,,
Kagera,Bukoba Urban,Birere,-1.32952,31.811,CRDB Microfince,25/02/14,2014-2-01,CBA 00028,Yes,Yes,Yes,,Yes,,
Mwanza,Ilemela,Kitangiri,-2.52914,32.90642,CRDB Microfince,09/02/11,2011-2-01,crdb00019968,Yes,Yes,Yes,,Yes,,
Mwanza,Nyamagana,Nyamagana,-2.51734,32.89837,CRDB Microfince,19/02/12,2012-2-01,crdb000209,Yes,Yes,Yes,,Yes,,
Mwanza,Nyamagana,Nyamagana,-2.52284,32.90008,CRDB Microfince,10/01/09,2009-1-01,crdb000209,Yes,Yes,Yes,,Yes,,
Mwanza,Sengerema,Sengerema,-2.64758,32.64488,CRDB Microfince,13/11/13,2013-11-01,crdb000256,,,,,,,
Mwanza,Nyamagana,Nyamagana,-2.60127,32.90026,CRDB Microfince,26/06/11,2011-6-01,crdb099109,Yes,Yes,Yes,,Yes,,
Kilimanjaro,Moshi Rural,Marangu Mashariki,-3.3494,37.34303,CRDB Microfince,27/02/10,2010-2-01,CRDBM56,,,,,,,
Kilimanjaro,Hai,Hai Mjini,-3.35556,37.33108,CRDB Microfince,21/09/02,2002-9-01,CRH2120,Yes,Yes,Yes,,Yes,,
Tabora,Tabora Urban,Gongoni,-5.01897,32.80957,CRDB Microfince,01/02/99,1999-2-01,TBR537,,,,,,,
Dar es Salaam,Kinondoni,Magomeni,-6.80564,39.25327,DCB Microfinance,10/05/11,2011-5-01,0,Yes,Yes,Yes,,,,
Dar es Salaam,Ilala,Tabata,-6.82387,39.23501,DCB Microfinance,20/02/09,2009-2-01,231,,,,,,,
Dar es Salaam,Ilala,Kariakoo,-6.81935,39.28052,DCB Microfinance,18/10/08,2008-10-01,2315649,,,,,,,
Dar es Salaam,Temeke,Temeke,-6.8572,39.26346,DCB Microfinance,22/07/10,2010-7-01,0222172200/1,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.87307,39.18787,DCB Microfinance,28/02/12,2012-2-01,DAR/01204,Yes,Yes,Yes,,,Yes,DCB jirani
Dodoma,Dodoma Urban,Makole,-6.17355,35.75194,Dodoma Cooperative And Credit Society,22/04/08,2008-4-01,103-807-331,,,,,,,
Arusha,Arusha,Kati,-3.37343,36.69131,Ecumenical Church Loan Fund (Eclof),20/05/11,2011-5-01,ar/7132,,,,,,,
Dar es Salaam,Temeke,Temeke,-6.86385,39.26383,Entrepreneurs Financial Centre,30/04/10,2010-4-01,0,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.83766,39.19635,Entrepreneurs Loan Centre & Co Ltd,28/02/12,2012-2-01,0,,,,,,,
Kagera,Karagwe,Bugene,-1.58933,31.14457,Facilitation For Intergrated Development And Relief Services (Faiders),26/06/07,2007-6-01,SO 8584,Yes,,Yes,,,,
Dodoma,Dodoma Urban,Viwandani,-6.17825,35.74902,Faidika Financial Services,14/04/11,2011-4-01,0,,,,,,,
Mbeya,Rungwe,Tukuyu,-9.25958,33.64557,Faidika Financial Services,20/02/03,2003-2-01,0,,,,,,,
Mbeya,Mbarali,Rujewa,-8.70558,34.37678,Faidika Financial Services,06/10/09,2009-10-01,0,,,,,,,
Kagera,Ngara,Ngara Mjini,-2.51398,30.65325,Faidika Financial Services,23/02/13,2013-2-01,0,,,,,,,
Kagera,Muleba,Muleba,-1.84351,31.65483,Faidika Financial Services,13/01/06,2006-1-01,0,,,,,,,
Kagera,Biharamulo,Biharamulo Mjini,-2.63416,31.3111,Faidika Financial Services,25/05/10,2010-5-01,0,,,,,,,
Shinyanga,Maswa,Isanga,-3.1846,33.77999,Faidika Financial Services,10/08/09,2009-8-01,0,,,,,,,
Shinyanga,Bariadi,Bariadi,-2.80249,33.98959,Faidika Financial Services,10/08/09,2009-8-01,0,,,,,,,
Singida,Singida Urban,Ipembe,-4.81634,34.75114,Faidika Financial Services,15/05/11,2011-5-01,116,,,,,,,
Singida,Iramba,Kiomboi,-4.28049,34.40929,Faidika Financial Services,09/08/10,2010-8-01,165,,,,,,,
Mara,Tarime,Turwa,-1.34121,34.3753,Faidika Financial Services,23/12/11,2011-12-01,453,,,,,,,
Mara,Musoma Urban,Mukendo,-1.49927,33.80932,Faidika Financial Services,16/01/13,2013-1-01,653,,,,,,,
Mara,Serengeti,Mugumu Mjini,-2.02403,33.86938,Faidika Financial Services,20/01/13,2013-1-01,985,,,,,,,
Lindi,Liwale,Liwale Mjini,-9.80436,37.9265,Faidika Financial Services,27/04/06,2006-4-01,1020,,,,,,,
Mara,Bunda,Bunda,-2.02102,33.86833,Faidika Financial Services,10/02/13,2013-2-01,3560,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02197,32.80816,Faidika Financial Services,29/06/05,2005-6-01,5243,,,,,,,
Ruvuma,Mbinga,Mbinga Urban,-10.95165,34.99661,Faidika Financial Services,27/09/11,2011-9-01,7856213,,,,,,,
Singida,Manyoni,Manyoni,-5.7476,34.8369,Faidika Financial Services,15/02/11,2011-2-01,00/52F,,,,,,,
Iringa,Makete,Lupalilo,-9.25735,34.0985,Faidika Financial Services,17/11/07,2007-11-01,104-409-032,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90531,35.7847,Faidika Financial Services,12/10/07,2007-10-01,104-409-032,,,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34973,36.48725,Faidika Financial Services,18/03/12,2012-3-01,104-409-032,,,,,,,
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.34826,37.34135,Faidika Financial Services,02/06/02,2002-6-01,250/15,,,,,,,
Dodoma,Kongwa,Kongwa,-6.1974,36.41481,Faidika Financial Services,04/03/11,2011-3-01,333-682-111,,,,,,,
Ruvuma,Songea Urban,Songea Mjini,-10.67951,35.65219,Faidika Financial Services,02/01/12,2012-1-01,535-7564,,,,,,,
Arusha,Arusha,Ngarenaro,-3.37485,36.68049,Faidika Financial Services,15/10/12,2012-10-01,ar/6580,,,,,,,
Mwanza,Magu,Kiloleni,-2.59275,33.44169,Faidika Financial Services,20/01/12,2012-1-01,F0005,,,,,,,
Kilimanjaro,Hai,Hai Mjini,-3.33493,37.14613,Faidika Financial Services,10/05/10,2010-5-01,FH801,,,,,,,
Kilimanjaro,Moshi Urban,Mawenzi,-3.35475,37.33044,Faidika Financial Services,05/08/05,2005-8-01,FM100,,,,,,,
Iringa,Njombe,Makambako,-8.84481,34.82323,Faraja Credit Finance,25/07/12,2012-7-01,119-891-965,Yes,,Yes,,,,
Morogoro,Morogoro Urban,Kingo,-6.82564,37.66389,Finca Financial Services,10/06/08,2008-6-01,0,,,,,,,
Shinyanga,Kahama,Kahama Mjini,-3.82911,32.59985,Finca Financial Services,16/05/10,2010-5-01,0,,,,,,,
Dar es Salaam,Kinondoni,Magomeni,-6.80346,39.2477,Finca Financial Services,10/05/09,2009-5-01,0,,,,,,,
Dar es Salaam,Temeke,Temeke,-6.85968,39.26055,Finca Financial Services,01/10/02,2002-10-01,0,,,,,,,
Dar es Salaam,Ilala,Buguruni,-6.82761,39.26158,Finca Financial Services,03/02/14,2014-2-01,0,,,,,,,
Mara,Bunda,Bunda,-2.02258,33.87272,Finca Financial Services,23/03/12,2012-3-01,135,,,,,,,
Mara,Tarime,Tarime,-1.49505,33.80867,Finca Financial Services,21/11/11,2011-11-01,1653,,,,,,,
Mara,Tarime,Tarime,-1.34234,34.377,Finca Financial Services,08/11/12,2012-11-01,7863,,,,,,,
