region,district,ward,latitude,longitude,microfinance_name,yr_operation_started,yr_started_reformatted,reg_no,MFI_mob_fin_services,tigo_pesa,m_pesa,ezy_pesa,airtel_cash,other_mobfin_services,other_mobfin_services_detail
Tanga,Muheza,Masuguru,-5.17426,38.78817,Finca Financial Services,02/04/12,2012-4-01,39974,,,,,,,
Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.66545,33.42058,Finca Financial Services,02/05/02,2002-5-01,44442,Yes,,Yes,,,,
Dodoma,Dodoma Urban,Madukani,-6.17814,35.74484,Finca Financial Services,10/01/06,2006-1-01,1395902,Yes,,Yes,,,,
Morogoro,Kilombero,Ifakara,-8.13669,36.6804,Finca Financial Services,22/10/06,2006-10-01,R4587000,,,,,,,
Kilimanjaro,Moshi Urban,Mawenzi,-3.35511,37.33706,Finca Financial Services,03/12/07,2007-12-01,017J0/45,Yes,,Yes,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34926,36.48666,Finca Financial Services,18/04/10,2010-4-01,101-256-369,,,,,,,
Ruvuma,Songea Urban,Songea Mjini,-10.67753,35.64504,Finca Financial Services,08/11/08,2008-11-01,836-6673,,,,,,,
Arusha,Arusha,Sekei,-3.36127,36.6871,Finca Financial Services,10/10/12,2012-10-01,ar/812,,,,,,,
Mbeya,Mbeya Urban,Sisimba,-8.89425,33.43956,Finca Financial Services,25/03/02,2002-3-01,Fd 56/433/04,,,,,,,
Mwanza,Nyamagana,Nyamagana,-2.52547,32.90076,Finca Financial Services,06/01/98,1998-1-01,MFC 00002,Yes,,Yes,,,,
Mwanza,Geita,Kalangala,-2.872,32.23417,Finca Financial Services,01/01/10,2010-1-01,MFC00002,Yes,,Yes,,,Yes,Western union
Kilimanjaro,Moshi Urban,Kiboriloni,-3.35518,37.33086,Finca Financial Services,11/03/12,2012-3-01,None,,,,,,,
Kagera,Bukoba Urban,Buhende,-1.33013,31.8086,Finca Financial Services,10/06/08,2008-6-01,,,,,,,,
Dodoma,Dodoma Urban,Viwandani,-6.17498,35.74753,Flogham Financial Services,29/05/12,2012-5-01,115-937-790,Yes,,Yes,,,,
Dar es Salaam,Temeke,Mtoni,-6.86898,39.27425,Florian Finance,20/01/12,2012-1-01,62295,Yes,Yes,Yes,,Yes,,
Dar es Salaam,Ilala,Buguruni,-6.83775,39.24305,Giant Finance Ltd,01/02/13,2013-2-01,2328,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.83274,39.21905,Healthy African Finance,30/01/14,2014-1-01,50984231,,,,,,,
Ruvuma,Mbinga,Mbinga Urban,-10.95037,34.99601,Interstate Financial Sevice Ltd ,24/02/14,2014-2-01,0,,,,,,,
Dar es Salaam,Temeke,Chang'ombe,-6.84637,39.26702,J&A Financial Aid (Jafa),04/04/13,2013-4-01,0,,,,,,,
Dar es Salaam,Kinondoni,Sinza,-6.77225,39.23546,K - Finance,22/11/01,2001-11-01,R00369700,Yes,Yes,Yes,,Yes,,
Dodoma,Kondoa,Kondoa Mjini,-4.90506,35.78441,Kondoa Saving And Credit Services,10/01/97,1997-1-01,112-662-332,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90368,35.7825,Kondoa Saving And Credit Services,26/11/12,2012-11-01,187-003-997,,,,,,,
Tanga,Korogwe,Korogwe,-5.15812,38.44938,Letshego Tanzania Limited (Faidika),01/04/02,2002-4-01,52622,,,,,,,
Mbeya,Mbozi,Vwawa,-9.11119,32.93352,Letshego Tanzania Limited (Faidika),14/04/08,2008-4-01,104409032,,,,,,,
Mbeya,Mbeya Urban,Sisimba,-8.8939,33.44241,Letshego Tanzania Limited (Faidika),07/10/06,2006-10-01,104 409 032,,,,,,,
Dar es Salaam,Kinondoni,Kawe,-6.76955,39.2189,Lista Financial Agency Limited,20/04/12,2012-4-01,R457690,,,,,,,
Dar es Salaam,Kinondoni,Kawe,-6.76893,39.22581,Maisha Finance,14/02/98,1998-2-01,D16583,Yes,Yes,Yes,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.77162,39.22324,Makini Microfinance Fund Ltd,20/07/05,2005-7-01,R452132000,,,,,,,
Arusha,Monduli,Engaruka,-3.29523,36.44611,Manana Microfinance Ltd,24/12/06,2006-12-01,ML/ 452,,,,,,,
Ruvuma,Mbinga,Mbamba Bay,-11.28703,34.80227,Mbinga Community Bank Microfinance,26/02/14,2014-2-01,ISO 9001,Yes,Yes,,,,,
Dar es Salaam,Kinondoni,Sinza,-6.76781,39.21636,Microfinance Credit Enterprises Ltd,28/09/99,1999-9-01,R4596000,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90461,35.77922,Mikopo Financial Services,24/07/10,2010-7-01,018-668-884,,,,,,,
Dar es Salaam,Ilala,Kariakoo,-6.82311,39.27298,Mkombozi Bank Limited,12/07/10,2010-7-01,33582713,,,,,,,
Dar es Salaam,Kinondoni,Mabibo,-6.80402,39.216,Mtaji Credit Facility,12/02/11,2011-2-01,526,,,,,,,
Mwanza,Nyamagana,Nyamagana,-2.53533,32.93868,NMB Microfinance,08/01/12,2012-1-01,0,Yes,Yes,Yes,,,,
Pwani,Rufiji,Kibiti,-7.72395,38.93866,NMB Microfinance,26/02/05,2005-2-01,2365845,,,,,,,
Singida,Singida Urban,Majengo,-4.81899,34.75184,NMB Microfinance,20/05/00,2000-5-01,BLD/SGD/012,Yes,,Yes,,,,
Dar es Salaam,Ilala,Tabata,-6.82785,39.23482,Onyx One Microfinance Ltd,10/02/13,2013-2-01,589,,,,,,,
Kilimanjaro,Moshi Urban,Mawenzi,-3.35484,37.33979,Opportunity Tanzania ,01/06/08,2008-6-01,440/15,,,,,,,
Arusha,Arusha,Ngarenaro,-3.37533,36.67921,Opportunity Tanzania ,18/12/03,2003-12-01,AR/8510,,,,,,,
Dar es Salaam,Temeke,Chang'ombe,-6.84977,39.26702,Parapanda Financial Services,29/09/13,2013-9-01,0,,,,,,,
Kagera,Karagwe,Kaisho,-1.27172,30.68615,Platinum Credit Ltd,24/02/13,2013-2-01,0,,,,,,,
Kigoma,Kibondo,Kibondo Mjini,-3.58587,30.71936,Platinum Credit Ltd,27/10/12,2012-10-01,0,,,,,,,
Kagera,Karagwe,Kayanga,-1.53421,31.15326,Platinum Credit Ltd,08/12/13,2013-12-01,0,,,,,,,
Singida,Singida Urban,Ipembe,-4.81931,34.74896,Platinum Credit Ltd,26/07/10,2010-7-01,0,,,,,,,
Singida,Iramba,Kiomboi,-4.28074,34.40894,Platinum Credit Ltd,10/01/14,2014-1-01,0,,,,,,,
Kilimanjaro,Same,Same Mjini,-4.0673,37.74188,Platinum Credit Ltd,04/01/11,2011-1-01,2440,,,,,,,
Mbeya,Mbeya Urban,Sisimba,-8.89612,33.4409,Platinum Credit Ltd,11/02/08,2008-2-01,53838,,,,,,,
Tabora,Tabora Urban,Cheyo,-5.02364,32.81002,Platinum Credit Ltd,08/09/06,2006-9-01,59254,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90712,35.78685,Platinum Credit Ltd,13/03/10,2010-3-01,013-995-666,,,,,,,
Dodoma,Dodoma Urban,Viwandani,-6.17955,35.74861,Platinum Credit Ltd,13/06/10,2010-6-01,066-335-285,,,,,,,
Kagera,Bukoba Urban,Birere,-1.32904,31.8134,Platinum Credit Ltd,29/09/13,2013-9-01,066-335-287,,,,,,,
Ruvuma,Songea Urban,Songea Mjini,-10.67883,35.645,Platinum Credit Ltd,28/03/10,2010-3-01,103-955-637,,,,,,,
Kilimanjaro,Moshi Urban,Mawenzi,-3.34832,37.34297,Platinum Credit Ltd,10/07/10,2010-7-01,680/07,,,,,,,
Arusha,Arusha,Ngarenaro,-3.37493,36.68082,Platinum Credit Ltd,23/02/13,2013-2-01,ar/786,,,,,,,
Kigoma,Kasulu,Kasulu Mjini,-4.57241,30.09766,Platinum Credit Ltd,26/11/13,2013-11-01,no reg no,,,,,,,
Shinyanga,Kahama,Kahama Mjini,-3.82916,32.59907,Pride Tanzania,08/03/10,2010-3-01,0,,,,,,,
Mwanza,Ilemela,Ilemela,-2.50615,32.89516,Pride Tanzania,08/01/99,1999-1-01,0,,,,,,,
Mbeya,Mbeya Urban,Sisimba,-8.89288,33.44661,Pride Tanzania,06/11/00,2000-11-01,0,,,,,,,
Mbeya,Rungwe,Bulyaga,-9.25762,33.6451,Pride Tanzania,10/02/02,2002-2-01,0,,,,,,,
Mbeya,Kyela,Kyela Mjini,-9.60266,33.86924,Pride Tanzania,25/02/98,1998-2-01,0,,,,,,,
Dar es Salaam,Kinondoni,Mbezi,-6.78494,39.11599,Pride Tanzania,03/11/10,2010-11-01,0,,,,,,,
Dar es Salaam,Ilala,Buguruni,-6.83625,39.2467,Pride Tanzania,16/02/03,2003-2-01,0,,,,,,,
Dar es Salaam,Kinondoni,Magomeni,-6.80724,39.25924,Pride Tanzania,30/01/03,2003-1-01,0,,,,,,,
Kagera,Karagwe,Kayanga,-1.53286,31.15317,Pride Tanzania,18/10/13,2013-10-01,0,,,,,,,
Kagera,Muleba,Muleba,-1.84018,31.65746,Pride Tanzania,16/04/13,2013-4-01,0,,,,,,,
Dar es Salaam,Temeke,Chang'ombe,-6.84998,39.26688,Pride Tanzania,12/08/08,2008-8-01,0,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.84446,39.18676,Pride Tanzania,01/02/06,2006-2-01,0,,,,,,,
Shinyanga,Bariadi,Bariadi,-2.7969,33.98937,Pride Tanzania,09/12/98,1998-12-01,0,,,,,,,
Shinyanga,Maswa,Isanga,-3.18387,33.77965,Pride Tanzania,07/06/98,1998-6-01,124,,,,,,,
Mara,Tarime,Tarime,-1.34076,34.37559,Pride Tanzania,09/01/05,2005-1-01,159,,,,,,,
Singida,Singida Urban,Ipembe,-4.81946,34.74879,Pride Tanzania,30/07/95,1995-7-01,161,,,,,,,
Mara,Bunda,Bunda,-2.02316,33.87402,Pride Tanzania,14/01/13,2013-1-01,642,,,,,,,
Dar es Salaam,Ilala,Ilala,-6.82882,39.25525,Pride Tanzania,19/02/03,2003-2-01,1419,,,,,,,
Mara,Musoma Urban,Mukendo,-1.49467,33.8076,Pride Tanzania,01/06/11,2011-6-01,1892,,,,,,,
Mwanza,Ilemela,Ilemela,-2.51661,32.90115,Pride Tanzania,10/02/01,2001-2-01,11389,,,,,,,
Tabora,Nzega,Nzega Mjini,-4.21876,33.18422,Pride Tanzania,07/10/22,2022-10-01,26134,,,,,,,
Tanga,Korogwe,Korogwe,-5.16079,38.4493,Pride Tanzania,01/11/10,2010-11-01,80147,,,,,,,
Dar es Salaam,Ilala,Kariakoo,-6.81646,39.27415,Pride Tanzania,18/02/97,1997-2-01,17323456,,,,,,,
Zanzibar,Zanzibar,Bububu,-6.15993,39.20012,Pride Tanzania,04/05/09,2009-5-01,242238618,,,,,,,
Singida,Singida Rural,Ngimu,-4.71038,35.0693,Pride Tanzania,10/05/11,2011-5-01,00/160,Yes,,Yes,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90257,35.77524,Pride Tanzania,08/03/07,2007-3-01,023-112-334,,,,,,,
Kagera,Ngara,Ngara Mjini,-2.51007,30.65622,Pride Tanzania,16/08/12,2012-8-01,100-898-780,,,,,,,
Rukwa,Sumbawanga Urban,Katandala,-7.96303,31.61316,Pride Tanzania,08/07/08,2008-7-01,104 632 904,,,,,,,
Kilimanjaro,Moshi Rural,Kilema Kusini,-3.38993,37.54997,Pride Tanzania,29/01/04,2004-1-01,13/005,,,,,,,
Dodoma,Dodoma Urban,Miyuji,-6.14034,35.74637,Pride Tanzania,18/09/12,2012-9-01,22 98 2,,,,,,,
Arusha,Arusha,Sekei,-3.3614,36.6838,Pride Tanzania,20/01/10,2010-1-01,ar/658,,,,,,,
Arusha,Arusha,Kati,-3.3722,36.68908,Pride Tanzania,24/12/09,2009-12-01,ar/741,,,,,,,
Arusha,Arumeru,Usa River,-3.3732,36.84871,Pride Tanzania,12/01/11,2011-1-01,ar/788,,,,,,,
Kilimanjaro,Hai,Hai Mjini,-3.33497,37.14743,Pride Tanzania,10/11/09,2009-11-01,FP233,,,,,,,
Kigoma,Kasulu,Kasulu Mjini,-4.57786,30.09912,Pride Tanzania,26/02/13,2013-2-01,no log no,,,,,,,
Kigoma,Kibondo,Kibondo Mjini,-3.58502,30.71925,Pride Tanzania,26/02/12,2012-2-01,no reg no,,,,,,,
Kagera,Bukoba Urban,Birere,-1.33205,31.81335,Pride Tanzania,17/05/11,2011-5-01,No.Registration Number,,,,,,,
Kigoma,Kigoma Urban,Kigoma town,-4.88422,29.63377,Pride Tanzania,17/11/93,1993-11-01,P. 22982,,,,,,,
Mwanza,Magu,Kiloleni,-2.59534,33.44432,Pride Tanzania,19/02/13,2013-2-01,P0002334,,,,,,,
Mwanza,Geita,Kalangala,-2.87752,32.22584,Pride Tanzania,07/01/00,2000-1-01,P0003,Yes,,Yes,,,,
Mwanza,Ilemela,Igoma,-2.54486,32.9826,Pride Tanzania,08/01/11,2011-1-01,PR0001450,,,,,,,
Dodoma,Dodoma Urban,Viwandani,-6.17878,35.74875,Pride Tanzania,14/01/08,2008-1-01,PRD/06/32,,,,,,,
Mwanza,Sengerema,Sengerema,-2.65238,32.64136,Pride Tanzania,24/02/09,2009-2-01,pride0005666,Yes,Yes,Yes,,Yes,,
Singida,Singida Rural,Mudida,-4.44564,34.87422,Pride Tanzania,15/05/11,2011-5-01,SR/108,,,,,,,
Tabora,Urambo,Urambo,-5.07246,32.06914,Pride Tanzania,21/05/06,2006-5-01,URP186,,,,,,,
Kilimanjaro,Moshi Urban,Mawenzi,-3.35669,37.33945,Real People Microfinance,08/09/04,2004-9-01,20040908,,,,,,,
Kilimanjaro,Same,Bombo,-3.35248,37.33279,Same Village Community Bank (Vicoba),24/10/10,2010-10-01,VC101,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.84492,39.19655,Segerea Community Trust (Secom),12/12/06,2006-12-01,117712499,,,,,,,
Mbeya,Mbozi,Vwawa,-9.11178,32.93594,Sero Lease And Finance Limited (Selfina),06/02/07,2007-2-01,0,,,,,,,
Tanga,Korogwe,Korogwe,-5.16246,38.45888,Small Enterprise Develpoment Agency (Seda),02/08/13,2013-8-01,1442,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.85628,39.21992,Small Industries Development Organization(Sido),29/02/04,2004-2-01,2.55E+11,,,,,,,
Dodoma,Dodoma Urban,Viwandani,-6.17938,35.75004,Small Industries Development Organization(Sido),06/06/90,1990-6-01,106-332-651,,,,,,,
Arusha,Arusha,Unga L.T.D.,-3.38122,36.68064,Small Industries Development Organization(Sido),20/02/00,2000-2-01,ar/650,,,,,,,
Dar es Salaam,Ilala,Upanga East,-6.81236,39.27732,Small Industries Development Organization(Sido),18/02/09,2009-2-01,S.2476,,,,,,,
Singida,Singida Urban,Kindai,-4.81999,34.74431,Small Industries Development Organization(Sido),31/08/95,1995-8-01,SND/BLD/012,,,,,,,
Mara,Bunda,Bunda,-2.02215,33.86692,Tanzania Teachers' Union (Ttu),15/01/12,2012-1-01,160,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.77484,39.24298,Tanzania Womens Bank Microfinance,16/04/10,2010-4-01,0,Yes,,Yes,,Yes,,
Dar es Salaam,Ilala,Kariakoo,-6.8235,39.27269,Tanzania Womens Bank Microfinance,10/09/09,2009-9-01,6882927,,,,,,,
Dodoma,Dodoma Urban,Tambukareli,-6.18416,35.74799,Tanzania Womens Bank Microfinance,15/04/09,2009-4-01,104-631-001,,,,,,,
Mara,Musoma Urban,Mwigobero,-1.49905,33.80981,Tujijenge Microfinance,28/05/12,2012-5-01,251,,,,,,,
Mara,Bunda,Bunda,-2.02039,33.8706,Tujijenge Microfinance,17/10/13,2013-10-01,5678,,,,,,,
Mbeya,Kyela,Kyela Mjini,-9.60038,33.86369,Tujijenge Microfinance,25/02/14,2014-2-01,o,,,,,,,
Kagera,Bukoba Urban,Hamgende,-1.32867,31.80674,Tunakopesha Limited,25/02/14,2014-2-01,0,,,,,,,
Mbeya,Mbeya Urban,Sisimba,-8.89593,33.4409,Tunakopesha Limited,22/02/95,1995-2-01,0,,,,,,,
Mbeya,Mbarali,Rujewa,-8.70782,34.37975,Tunakopesha Limited,15/01/12,2012-1-01,0,,,,,,,
Shinyanga,Bukombe,Ushirombo,-3.47182,31.90184,Tunakopesha Limited,20/10/10,2010-10-01,0,,,,,,,
Singida,Iramba,Kiomboi,-4.27983,34.4087,Tunakopesha Limited,20/04/10,2010-4-01,0,,,,,,,
Singida,Manyoni,Manyoni,-5.74749,34.83539,Tunakopesha Limited,30/04/11,2011-4-01,0,,,,,,,
Singida,Singida Urban,Ipembe,-4.81926,34.74888,Tunakopesha Limited,16/04/10,2010-4-01,00/09,,,,,,,
Singida,Iramba,Kiomboi,-4.27994,34.40757,Tunakopesha Limited,15/06/11,2011-6-01,00/45,,,,,,,
Singida,Manyoni,Itigi,-5.69558,34.4987,Tunakopesha Limited,15/05/11,2011-5-01,00/IT03,,,,,,,
Pwani,Mkuranga,Vikindu,-7.11293,39.20556,Tunakopesha Limited,15/11/12,2012-11-01,7.85E+18,,,,,,,
Dodoma,Dodoma Urban,Makole,-6.17697,35.75003,Tunakopesha Limited,18/05/01,2001-5-01,28 66 23,,,,,,,
Dodoma,Dodoma Urban,Viwandani,-6.17454,35.74922,Vision Fund Tanzania,16/09/11,2011-9-01,0,,,,,,,
Shinyanga,Bukombe,Ushirombo,-3.47116,31.90075,Vision Fund Tanzania,17/08/13,2013-8-01,0,,,,,,,
Shinyanga,Bariadi,Bariadi,-2.80304,33.99099,Vision Fund Tanzania,10/08/13,2013-8-01,132,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.8445,39.18671,Vision Fund Tanzania,08/02/11,2011-2-01,135,,,,,,,
Shinyanga,Maswa,Isanga,-3.18466,33.77827,Vision Fund Tanzania,21/08/13,2013-8-01,331,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90526,35.78464,Vision Fund Tanzania,18/07/09,2009-7-01,0123-603-321,,,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34556,36.48635,Vision Fund Tanzania,22/05/11,2011-5-01,104-305-612,,,,,,,
Arusha,Arusha,Kati,-3.37133,36.69439,Vision Fund Tanzania,15/01/07,2007-1-01,ar/7661,,,,,,,
Singida,Singida Urban,Mughanga,-4.81767,34.753,Vision Fund Tanzania,10/02/13,2013-2-01,BR/011,,,,,,,
Kilimanjaro,Hai,Hai Mjini,-3.3348,37.14642,Vision Fund Tanzania,18/07/09,2009-7-01,MH110,,,,,,,
Mwanza,Magu,Kiloleni,-2.59232,33.44455,Vision Fund Tanzania,09/01/10,2010-1-01,VF000123,,,,,,,
Mwanza,Nyamagana,Nyamagana,-2.51968,32.89748,Vision Fund Tanzania,20/01/12,2012-1-01,vs777000,Yes,,Yes,,,,
Mwanza,Sengerema,Sengerema,-2.6511,32.6412,Vision Fund Tanzania,22/01/13,2013-1-01,vs99187,Yes,Yes,Yes,,Yes,,
Manyara,Babati,Babati,-4.21695,35.71795,Women Development Fund (Wedtf),17/04/96,1996-4-01,0,,,,,,,
Arusha,Monduli,Monduli Mjini,-3.30736,36.44617,Women Economic Development Agency Company (Wedac),18/11/99,1999-11-01,ml/1842,,,,,,,
Zanzibar,Zanzibar,Mwanakwerekwe,-6.17809,39.22306,Women Entrepreneurial Development Trust Fund (Wedtf),01/10/11,2011-10-01,777475583,,,,,,,
Dar es Salaam,Kinondoni,Kawe,-6.76881,39.21825,Woyege Trust Fund,23/08/10,2010-8-01,D15893,,,,,,,
Dar es Salaam,Kinondoni,Sinza,-6.77604,39.22594,Xpan Microfinance,03/06/06,2006-6-01,R6905890,,,,,,,
Dar es Salaam,Ilala,Kariakoo,-6.82381,39.27865,Youth Self Employment Foundation (Yosefo) ,23/08/09,2009-8-01,2266782,Yes,Yes,Yes,,,,
Zanzibar,Zanzibar,Mwanakwerekwe,-6.17792,39.22305,Youth Self Employment Foundation (Yosefo) ,09/10/11,2011-10-01,2.56E+11,,,,,,,
Morogoro,Kilombero,Ifakara,-8.14308,36.6781,Youth Self Employment Foundation (Yosefo) ,26/01/14,2014-1-01,MGR 239,,,,,,,