region,district,ward,latitude,longitude,business_name,financial_institution_name,yr_started,visa,mastercard,other_cards,other_cards_details,business_type,business_type_detail
Dar es Salaam,Ilala,Kivukoni,-6.8102,39.29562,A To Z Supermarket,CRDB,02/02/2013 00:00,Yes,Yes,,,Grocery Store,
Dar es Salaam,Ilala,Kivukoni,-6.81526,39.29286,Abc Computer Ltd,CRDB,30/07/2013 00:00,Yes,Yes,,,Stationary,
Ruvuma,Songea Urban,Bomba Mbili,-10.66382,35.65184,Abiudi Msigwa,CRDB,24/02/2013 00:00,Yes,Yes,,,Duka,
Tanga,Muheza,Mbaramo,-5.17381,38.78804,Acha 2 Phone,CRDB,23/09/2013 00:00,,,,,Electronic Shop,
Arusha,Arusha,Kati,-3.36287,36.69558,Afican Galleria,Exim Bank,27/12/2013 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Ilala,Upanga West,-6.8036,39.28773,Aga Khan Hospital,Barclays Bank,01/02/2011 00:00,Yes,Yes,,,General Dealer,
Dar es Salaam,Ilala,Upanga West,-6.80367,39.28816,Aga Khan Hospital,Barclays Bank,01/02/2011 00:00,Yes,Yes,,,Pharmacy,
Dar es Salaam,Ilala,Upanga West,-6.80392,39.28816,Aga Khan Hospital,Barclays Bank,01/02/2011 00:00,Yes,Yes,,,Pharmacy,
Dar es Salaam,Ilala,Kivukoni,-6.81842,39.28635,Ak'S Fashions,CRDB,13/03/2013 00:00,Yes,Yes,,,Salon,
Mtwara,Mtwara Rural,Ziwani,-10.34491,40.24823,Almas Shop,Tanzania Postal Bank,13/09/2012 00:00,Yes,Yes,,,General Dealer,
Mwanza,Geita,Kalangala,-2.8735,32.23138,Alpha  Hotel Ltd,CRDB,06/01/2010 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Ilala,Kariakoo,-6.82033,39.27662,Amaly Investment,CRDB,20/06/2013 00:00,,,,,Wholesale,
Mwanza,Geita,Kalangala,-2.88077,32.22063,Ambassador Pub,CRDB,02/01/2010 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Ilala,Ukonga,-6.92019,39.14767,Amina Rajabu,Equit Bank,01/10/2013 00:00,Yes,Yes,,,Other,None
Kagera,Bukoba Urban,Mimbeni,-1.33028,31.81142,Amiri Hamza,CRDB,08/04/2013 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Ilala,Ukonga,-6.87126,39.18906,Anasima Joel,CRDB,14/02/2014 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Ilala,Kivukoni,-6.82,39.288,Azam  Marine,Exim Bank,14/09/2010 00:00,Yes,Yes,,,Other,Marine Transportation
Dar es Salaam,Ilala,Kivukoni,-6.82127,39.2882,Azam Marine,Barclays Bank,06/02/2012 00:00,Yes,Yes,,,Other,Travel Agency
Dar es Salaam,Ilala,Kivukoni,-6.81998,39.2879,Azam Marine,CRDB,05/02/2014 00:00,Yes,Yes,,,Other,Transportation Services
Dar es Salaam,Ilala,Kivukoni,-6.82016,39.28788,Azam Marine,CRDB,10/10/2010 00:00,Yes,Yes,,,Other,Transportation Services
Zanzibar,Zanzibar,Fumba,-6.15663,39.19384,Azam Marine,CRDB,13/08/2010 00:00,Yes,Yes,,,Other,Transportation Services
Arusha,Arusha,Elerai,-3.36136,36.67071,Baclays Pos,Barclays Bank,25/01/2013 00:00,,,,,Hotel,
Arusha,Arumeru,Akheri,-3.38038,36.79259,Baclays Pos,Barclays Bank,16/05/2013 00:00,,,,,Hotel,
Arusha,Arusha,Kati,-3.37184,36.68549,Baclays Pos,Barclays Bank,30/05/2012 00:00,,,,,Hotel,
Arusha,Arusha,Oloirien,-3.37518,36.69897,Baclays Pos,Barclays Bank,08/01/2009 00:00,,,,,Hotel,
Pwani,Bagamoyo,Dunda,-6.44412,38.90591,Bagamoyo Service Centre,CRDB,26/05/2013 00:00,Yes,Yes,,,Other,Cellphone and accessories
Dar es Salaam,Ilala,Gerezani,-6.82316,39.27655,Bariki Pharmarcy,Barclays Bank,11/02/2012 00:00,Yes,Yes,,,Pharmacy,
Mbeya,Mbeya Urban,Forest (Mbeya ward),-8.91124,33.4377,Beaco Hotel,CRDB,21/02/2013 00:00,Yes,Yes,,,Hotel,
Ruvuma,Mbinga,Mbinga Urban,-10.9511,34.99712,Benasi Andole Mbunda,CRDB,26/02/2013 00:00,Yes,Yes,,,Stationary,
Ruvuma,Mbinga,Mbinga Urban,-10.94899,34.99755,Benny Karama Investment,CRDB,26/02/2013 00:00,Yes,Yes,,,Electronic Shop,
Arusha,Arusha,Kati,-3.37417,36.68486,Benso & Company,Exim Bank,03/06/2013 00:00,,,,,Wholesale,
Dar es Salaam,Ilala,Gerezani,-6.82444,39.2752,Bfy,CRDB,05/07/2013 00:00,Yes,Yes,,,Duka,
Mbeya,Mbeya Urban,Sisimba,-8.89228,33.44235,Blue Bert Bureau De Exchange,CRDB,22/02/2013 00:00,Yes,Yes,,,Bureau de Exchange,
Zanzibar,Zanzibar,Chuini,-6.16329,39.18953,Blue Safari,Barclays Bank,28/05/2012 00:00,Yes,Yes,,,Other,Car Rental
Dar es Salaam,Ilala,Ukonga,-6.90674,39.14393,Brasio,DCB  Commercial Bank,31/10/2013 00:00,Yes,Yes,,,Duka,
Iringa,Iringa Urban,Mkwawa,-7.76293,35.68676,Chap Chap,NMB,16/01/2009 00:00,,,,,Other,Gazebo
Ruvuma,Mbinga,Mbamba Bay,-11.28658,34.80309,Chimundala Shop,CRDB,26/02/2013 00:00,Yes,Yes,,,Bar,
Dar es Salaam,Temeke,Yombo Vituka,-6.8804,39.24546,Clara Ruhara Shop,DCB  Commercial Bank,13/11/2012 00:00,Yes,Yes,,,Other,Cosmetics Shop
Dar es Salaam,Kinondoni,Mikocheni,-6.75641,39.24829,Codesh Silver Jewelery,CRDB,28/06/2013 00:00,,Yes,,,Other,Jewelery Shop
Dar es Salaam,Ilala,Kariakoo,-6.82224,39.27421,Conrad Tomas Mushi,CRDB,08/02/2013 00:00,Yes,Yes,,,Duka,
Arusha,Arusha,Themi,-3.37705,36.69723,Corrido Prings Hotel,Exim Bank,27/07/2013 00:00,,,,,Hotel,
Singida,Singida Urban,Ipembe,-4.81778,34.75279,Crdb,CRDB,14/07/2012 00:00,Yes,Yes,,,Other,Bank
Singida,Iramba,Kiomboi,-4.28179,34.40738,Crdb Bank,CRDB,22/05/2013 00:00,Yes,Yes,,,Other,Bank
Singida,Manyoni,Manyoni,-5.74924,34.83781,Crdb Bank,CRDB,26/05/2013 00:00,Yes,Yes,,,Other,Bank
Kagera,Bukoba Urban,Birere,-1.33013,31.81155,Crdb Bank,CRDB,31/03/2013 00:00,Yes,Yes,,,Duka,
Singida,Manyoni,Manyoni,-5.74919,34.83799,Crdb Bank,CRDB,28/05/2013 00:00,Yes,Yes,,,Other,Bank
Pwani,Bagamoyo,Dunda,-6.44746,38.90816,Crdb Bank,CRDB,01/07/2013 00:00,Yes,Yes,,,Wholesale,
Mwanza,Kwimba,Bupamwa,-2.52233,32.9048,Crdb Bank,CRDB,07/11/2013 00:00,Yes,,,,Duka,
Arusha,Arusha,Kimandolu,-3.37976,36.70685,Crdb Pos,CRDB,07/01/2014 00:00,,,,,Grocery Store,
Arusha,Arusha,Levolosi,-3.36857,36.68024,Crdb Pos,CRDB,05/01/2014 00:00,,,,,Hotel,
Rukwa,Sumbawanga Urban,Kizwite,-7.96195,31.61302,Crdb Sumbawanga Branch,CRDB,26/05/2013 00:00,Yes,Yes,,,Duka,
Kagera,Muleba,Muleba,-1.84235,31.65357,Crdb Tpc Muleba Agency,CRDB,17/09/2013 00:00,Yes,Yes,,,Other,Post Office
Dar es Salaam,Ilala,Chanika,-6.99848,39.08382,Criss Stationery,DCB  Commercial Bank,14/10/2012 00:00,Yes,Yes,,,Stationary,
Arusha,Arusha,Kati,-3.37013,36.68643,Crown Hotel,NBC,26/11/2013 00:00,Yes,Yes,,,Hotel,
Arusha,Arumeru,Kisongo,-3.37652,36.65217,Culture Heltage,CRDB,22/10/2009 00:00,Yes,Yes,,,General Dealer,
Ruvuma,Mbinga,Mbinga Urban,-10.9533,34.99757,Dae Petrol Station,CRDB,24/03/2013 00:00,Yes,Yes,,,Other,Petrol Station
Mara,Tarime,Tarime,-1.34409,34.3802,Daisy Hotel,CRDB,10/02/2010 00:00,,Yes,,,Hotel,
Mwanza,Kwimba,Bupamwa,-2.51954,32.90785,Daudi Benja,Equit Bank,08/02/2013 00:00,Yes,,,,Duka,
Dar es Salaam,Ilala,Ukonga,-6.86222,39.20556,Dcb Jirani,DCB  Commercial Bank,04/11/2013 00:00,Yes,Yes,,,Stationary,
Dar es Salaam,Kinondoni,Goba,-6.64835,39.17449,Dcb Jirani,DCB  Commercial Bank,07/09/2013 00:00,Yes,Yes,,,General Dealer,
Dar es Salaam,Ilala,Ukonga,-6.86885,39.19252,Dela Traders,DCB  Commercial Bank,02/01/2014 00:00,Yes,Yes,,,General Dealer,
Dar es Salaam,Kinondoni,Sinza,-6.78322,39.2285,Denejo,Tanzania Postal Bank,29/08/2013 00:00,,Yes,,,Stationary,
Dodoma,Dodoma Urban,Makutupora,-6.02483,35.7559,Deo Shop,CRDB,13/01/2013 00:00,,,,,Duka,
Dar es Salaam,Ilala,Tabata,-6.82093,39.2277,Donald Mizambo,DCB  Commercial Bank,27/12/2012 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Kinondoni,Kijitonyama,-6.76959,39.22955,Doroth Shop,Tanzania Postal Bank,25/09/2012 00:00,,Yes,,,Duka,
Mwanza,Nyamagana,Nyamagana,-2.51932,32.89973,Duka,CRDB,01/02/2013 00:00,Yes,Yes,,,Duka,
Mara,Tarime,Tarime,-1.50649,33.79469,Edis,CRDB,25/09/2013 00:00,,,,,Duka,
Arusha,Arumeru,Usa River,-3.32618,36.87736,Edmound Shop,CRDB,11/11/2013 00:00,Yes,Yes,,,General Dealer,
Dar es Salaam,Ilala,Kariakoo,-6.82296,39.27382,Elangwa Mchmvu,CRDB,07/10/2013 00:00,,,,,Wholesale,
Dar es Salaam,Ilala,Ukonga,-6.87912,39.16105,Elasto Kitashu,Equit Bank,01/12/2013 00:00,Yes,,,,Stationary,
Mwanza,Nyamagana,Nyamagana,-2.51905,32.89909,Electronic Shop,Equit Bank,02/01/2013 00:00,Yes,Yes,,,Electronic Shop,
Dar es Salaam,Ilala,Kivukoni,-6.8162,39.28934,Eliedo Boutique,CRDB,08/02/2014 00:00,Yes,Yes,,,Other,Salon
Ruvuma,Songea Urban,Mfaranyaki,-10.67842,35.6453,Eliza Kija,CRDB,27/02/2013 00:00,Yes,Yes,,,Other,Cellphone and accessories
Dar es Salaam,Ilala,Ukonga,-6.87831,39.16526,Elizabeth Mchilasi Masinde,DCB  Commercial Bank,08/02/2014 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Ilala,Mchafukoge,-6.82184,39.28299,Ellytex Investment,CRDB,17/10/2013 00:00,Yes,Yes,,,Duka,
Ruvuma,Songea Urban,Mfaranyaki,-10.67789,35.64675,Emanuel Kindole Shop,CRDB,27/02/2013 00:00,Yes,Yes,,,Wholesale,
Mwanza,Nyamagana,Nyamagana,-2.60079,32.89671,Emily Sambu,CRDB,04/07/2013 00:00,Yes,,,,Stationary,
Dar es Salaam,Ilala,Kivukoni,-6.81884,39.28698,Emmanuel Elegant Wear,Exim Bank,02/02/2013 00:00,Yes,Yes,,,Other,Salon
Dar es Salaam,Ilala,Kiwalani,-6.871,39.22938,Emmanuel Shayo,CRDB,16/06/2013 00:00,Yes,Yes,,,Electronic Shop,
Dar es Salaam,Ilala,Ukonga,-6.89389,39.19349,Epason Group Investment,Equit Bank,10/01/2014 00:00,Yes,,,,Other,Tailoring Services
Dar es Salaam,Ilala,Kiwalani,-6.86752,39.22421,Equity Agent,Equit Bank,30/01/2014 00:00,Yes,Yes,,,Duka,
Arusha,Arumeru,Usa River,-3.37104,36.85853,Equity Pos,Equit Bank,23/12/2013 00:00,,,,,Duka,
Arusha,Arusha,Lemara,-3.43133,36.70379,Equity Pos,Equit Bank,08/01/2014 00:00,,,,,General Dealer,
Arusha,Arusha,Kimandolu,-3.37984,36.70684,Equity Pos,Equit Bank,15/12/2012 00:00,,,,,Wholesale,
Arusha,Arusha,Ngarenaro,-3.37533,36.67817,Equity Wakala,Equit Bank,10/11/2013 00:00,,,,,Cafe,
Arusha,Arumeru,Usa River,-3.37357,36.84877,Equty Agent,Equit Bank,10/08/2013 00:00,,,,,Stationary,
Mbeya,Kyela,Matema,-9.50614,34.00402,Ex-Crocodile Camp,CRDB,25/06/1988 00:00,Yes,Yes,,,Hotel,
Arusha,Arusha,Elerai,-3.36205,36.6728,Exim Pos,Exim Bank,30/06/2013 00:00,,,,,Bar,
Arusha,Arumeru,Akheri,-3.38043,36.78837,Exim Pos,Exim Bank,20/10/2012 00:00,,,,,Hotel,
Arusha,Arusha,Kimandolu,-3.36737,36.71118,Exim Pos,Exim Bank,23/07/2013 00:00,,,,,Hotel,
Arusha,Arusha,Kati,-3.37045,36.6952,Exim Pos,Exim Bank,22/02/2013 00:00,,,,,Hotel,
Arusha,Arusha,Ngarenaro,-3.37516,36.67902,Exim Pos,Exim Bank,14/10/2012 00:00,,,,,Wholesale,
Arusha,Arusha,Sekei,-3.36533,36.70727,Exim Pos,Exim Bank,30/05/2013 00:00,,,,,Wholesale,
Dodoma,Dodoma Urban,Madukani,-6.17735,35.74515,Fahari Hiduma,CRDB,08/11/2012 00:00,Yes,,,,General Dealer,
Dodoma,Dodoma Urban,Tambukareli,-6.18295,35.75222,Fahari Huduma,CRDB,17/09/2013 00:00,,Yes,,,Duka,
Dodoma,Dodoma Urban,Majengo,-6.17791,35.74124,Fahari Huduma,CRDB,17/08/2013 00:00,,Yes,,,Duka,
Shinyanga,Bukombe,Runzewe,-3.33927,31.52384,Fahari Huduma,CRDB,24/10/2013 00:00,Yes,Yes,,,Duka,
Dodoma,Dodoma Urban,Majengo,-6.1769,35.74236,Fahari Huduma,CRDB,14/06/2013 00:00,Yes,,,,Duka,
Dodoma,Dodoma Urban,Madukani,-6.17831,35.74552,Fahari Huduma,CRDB,01/10/2012 00:00,Yes,,,,Electronic Shop,
Dodoma,Dodoma Urban,Viwandani,-6.1796,35.7492,Fahari Huduma,CRDB,15/11/2013 00:00,Yes,,,,Electronic Shop,
Dodoma,Dodoma Urban,Viwandani,-6.18119,35.74785,Fahari Huduma,CRDB,15/12/2012 00:00,Yes,Yes,,,General Dealer,
Dodoma,Dodoma Urban,Madukani,-6.17933,35.74624,Fahari Huduma,CRDB,10/10/2013 00:00,Yes,,,,General Dealer,
Dodoma,Dodoma Urban,Viwandani,-6.1813,35.74811,Fahari Huduma,CRDB,21/09/2013 00:00,Yes,,,,Pharmacy,
Dar es Salaam,Temeke,Mtoni,-6.86689,39.27483,Fahari Huduma,CRDB,01/11/2013 00:00,Yes,Yes,,,General Dealer,
Dar es Salaam,Kinondoni,Bunju,-6.63755,39.16184,Fahari Huduma,CRDB,29/10/2013 00:00,Yes,Yes,,,Electronic Shop,
Dar es Salaam,Kinondoni,Goba,-6.66459,39.18655,Fahari Huduma,CRDB,11/08/2013 00:00,,,,,Other,Bank
Dar es Salaam,Ilala,Kisutu,-6.81809,39.28701,Fahari Huduma,CRDB,27/03/2013 00:00,Yes,Yes,,,Other,Cellphone and accessories
Pwani,Bagamoyo,Dunda,-6.44605,38.90655,Fahari Huduma,CRDB,19/02/2013 00:00,Yes,Yes,,,Other,Cellphone and accessories
Pwani,Bagamoyo,Dunda,-6.44613,38.9066,Fahari Huduma,CRDB,10/01/2013 00:00,Yes,Yes,,,Other,Dry cleaner
Dar es Salaam,Ilala,Kisutu,-6.81661,39.28642,Fahari Huduma,CRDB,30/05/2013 00:00,Yes,Yes,,,Stationary,
Mbeya,Chunya,Chokaa,-8.52248,33.42183,Fahari Huduma,CRDB,06/01/2014 00:00,Yes,Yes,,,Pharmacy,
Dar es Salaam,Kinondoni,Mbweni,-6.65842,39.18053,Fahari Huduma,CRDB,26/06/2013 00:00,Yes,Yes,,,Stationary,
Dar es Salaam,Kinondoni,Kawe,-6.73878,39.22512,Fahari Huduma J W Power,CRDB,26/06/2013 00:00,Yes,Yes,,,Stationary,
Dar es Salaam,Ilala,Ukonga,-6.87043,39.19084,Fahari Huduma Ulipo Wakala,CRDB,27/11/2013 00:00,Yes,Yes,,,Other,Bank
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.34829,37.34281,Fahari Huduma Wakala,CRDB,06/12/2013 00:00,Yes,Yes,,,Duka,
Shinyanga,Maswa,Nyalikungu,-3.18069,33.78544,Fahari Popote,CRDB,24/01/2014 00:00,Yes,,,,Other,Post Office
Dar es Salaam,Ilala,Ukonga,-6.88119,39.17835,Fide Stationary,DCB  Commercial Bank,01/10/2013 00:00,Yes,Yes,,,Stationary,
Dar es Salaam,Ilala,Ukonga,-6.88198,39.15654,Fide Stationery,DCB  Commercial Bank,11/02/2014 00:00,Yes,Yes,,,Stationary,
Arusha,Arusha,Kati,-3.37552,36.70035,Fig Ansd Olive,CRDB,24/12/2012 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Ilala,Kivukoni,-6.81868,39.28651,Freetown Excutive Wear,Barclays Bank,14/11/2012 00:00,,Yes,,,Other,Salon
Dar es Salaam,Ilala,Kivukoni,-6.81561,39.28777,Freetown Executive Wear,CRDB,29/12/2012 00:00,Yes,Yes,,,Other,Salon
Ruvuma,Mbinga,Mbamba Bay,-11.2861,34.80217,Gabriel Matia Matembo,CRDB,26/02/2013 00:00,Yes,Yes,,,Wholesale,
Ruvuma,Mbinga,Mbamba Bay,-11.28644,34.80233,Gabriel Mwangosi,CRDB,26/02/2013 00:00,Yes,Yes,,,Duka,
Mbeya,Mbeya Urban,Sisimba,-8.89562,33.44177,Gazele Safaries Limited,CRDB,22/02/2011 00:00,Yes,Yes,,,General Dealer,
Dar es Salaam,Temeke,Yombo Vituka,-6.86256,39.23201,Gesarf,Equit Bank,01/07/2012 00:00,Yes,Yes,,,General Dealer,
Kilimanjaro,Moshi Urban,Mawenzi,-3.35331,37.34115,Glads Adveture Tours,CRDB,10/05/2010 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Kinondoni,Kawe,-6.77143,39.18873,Gloria Shop,CRDB,21/09/2010 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Ilala,Ukonga,-6.87917,39.16502,Godson Kato,DCB  Commercial Bank,01/12/2013 00:00,Yes,Yes,,,Duka,
Mbeya,Mbeya Urban,Ilomba,-8.91217,33.49568,Golden City Hotel,CRDB,21/02/2013 00:00,Yes,Yes,,,Hotel,
Arusha,Arusha,Themi,-3.37672,36.70143,Golden Tulip Africa,Exim Bank,24/10/2013 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Kinondoni,Mikocheni,-6.71935,39.23329,Gourmet,Exim Bank,31/01/2011 00:00,Yes,Yes,,,Restaurant,
Dar es Salaam,Ilala,Tabata,-6.83004,39.22744,Green Light Hotel,CRDB,13/12/2012 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Ilala,Kariakoo,-6.82593,39.27144,Hadija Stationery,Equit Bank,19/12/2012 00:00,Yes,Yes,,,Stationary,
Dar es Salaam,Ilala,Kariakoo,-6.81978,39.27497,Hakika Limited,CRDB,26/08/2013 00:00,,,,,Wholesale,
Dar es Salaam,Kinondoni,Mikocheni,-6.75779,39.24925,Harrys Sizzler And Steak House,Exim Bank,28/08/2013 00:00,Yes,Yes,,,Restaurant,
Dar es Salaam,Kinondoni,Kawe,-6.76757,39.22592,Haruna Shop,Tanzania Postal Bank,27/08/2010 00:00,Yes,Yes,,,Stationary,
Ruvuma,Songea Urban,Bomba Mbili,-10.64917,35.65076,Heritage Cortage Hotel,CRDB,24/02/2013 00:00,Yes,Yes,,,Hotel,
Mbeya,Mbeya Urban,Sisimba,-8.89003,33.44596,Hill View Hotel,CRDB,22/02/2013 00:00,Yes,Yes,,,Hotel,
