region,district,ward,latitude,longitude,business_name,financial_institution_name,yr_started,visa,mastercard,other_cards,other_cards_details,business_type,business_type_detail
Arusha,Arusha,Levolosi,-3.36574,36.70267,Tai Chii,CRDB,26/09/2013 00:00,Yes,Yes,,,Cafe,
Kagera,Bukoba Urban,Birere,-1.33006,31.81162,Takibiri Investiment Ltd,CRDB,20/09/2013 00:00,Yes,Yes,,,Duka,
Rukwa,Sumbawanga Urban,Izia,-7.95644,31.60719,Tawaqal Super  Market,CRDB,21/02/2014 00:00,Yes,Yes,,,Grocery Store,
Mbeya,Mbozi,Tunduma,-9.31238,32.7639,Tbc Tunduma Branch,Tanzania Postal Bank,24/12/2013 00:00,,Yes,,,Other,Post Office
Dar es Salaam,Kinondoni,Ubungo,-6.79232,39.20929,Teete,Equit Bank,12/07/2013 00:00,Yes,,,,Electronic Shop,
Mbeya,Rungwe,Bulyaga,-9.25746,33.64532,Tpb Popote,Tanzania Postal Bank,30/01/2014 00:00,Yes,Yes,,,General Dealer,
Ruvuma,Mbinga,Mbinga Urban,-10.95043,34.99734,Tpb Popote,Tanzania Postal Bank,26/02/2013 00:00,Yes,Yes,,,Other,Post Office
Mara,Bunda,Bunda,-2.02029,33.87083,Tpc Bunda,CRDB,22/05/2012 00:00,Yes,Yes,,,Other,Clothing Shop
Tanga,Muheza,Majengo,-5.17648,38.7933,Tpc Muheza,CRDB,02/04/2013 00:00,Yes,Yes,,,Other,Bank
Mbeya,Kyela,Ikolo,-9.58644,33.77647,Tra - Boda Kasumulu,CRDB,25/02/1998 00:00,Yes,Yes,,,Bureau de Exchange,
Arusha,Arusha,Kimandolu,-3.38363,36.71156,Trust Trader,CRDB,01/11/2000 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Kinondoni,Mikocheni,-6.75649,39.24845,Tsn Supermarket,CRDB,31/01/2014 00:00,Yes,Yes,,,Grocery Store,
Dar es Salaam,Ilala,Kisutu,-6.81655,39.28029,Ttt Worldwide Ltd,Exim Bank,08/02/2013 00:00,Yes,Yes,,,Other,Travel Agency
Dar es Salaam,Temeke,Chang'ombe,-6.83964,39.2557,Uchumi Supermarket,CRDB,18/06/2012 00:00,Yes,Yes,,,Grocery Store,
Dar es Salaam,Temeke,Chang'ombe,-6.83948,39.25601,Uchumi Supermarket,Exim Bank,13/01/2013 00:00,Yes,Yes,,,Grocery Store,
Dar es Salaam,Temeke,Chang'ombe,-6.8397,39.25574,Uchumi Supermarket,Exim Bank,06/01/2013 00:00,Yes,Yes,,,Grocery Store,
Mbeya,Mbeya Rural,Utengule Usongwe,-8.88484,33.32037,Utengule Hotel,CRDB,28/12/2007 00:00,Yes,,,,Hotel,
Dar es Salaam,Kinondoni,Sinza,-6.77174,39.2216,Vidarose Dennis,Equit Bank,16/01/2014 00:00,,,,,Duka,
Dar es Salaam,Ilala,Ukonga,-6.87696,39.17053,Wakala M Pesa,DCB  Commercial Bank,03/11/2013 00:00,Yes,Yes,,,Duka,
Arusha,Arumeru,Usa River,-3.32561,36.8772,Wakwetu General Supply,CRDB,13/11/2013 00:00,Yes,Yes,,,General Dealer,
Mbeya,Mbeya Rural,Utengule Usongwe,-8.93846,33.35798,Wasamba Saccos,Tanzania Postal Bank,12/12/2013 00:00,,,,,Other,SACCO
Dar es Salaam,Ilala,Kivukoni,-6.81487,39.28935,Woolworth,CRDB,06/08/2012 00:00,Yes,Yes,,,Other,Clothing Shop
Dar es Salaam,Ilala,Kivukoni,-6.81504,39.28891,Woolworths,CRDB,08/06/2012 00:00,Yes,Yes,,,Other,Salon
Dar es Salaam,Ilala,Kivukoni,-6.81429,39.28696,World Jet Travel And Tours Ltd,Exim Bank,11/02/2013 00:00,Yes,Yes,,,Other,Airline Transport
Dar es Salaam,Ilala,Kivukoni,-6.81907,39.28668,World Of Shoes,CRDB,09/05/2010 00:00,Yes,Yes,,,Other,Clothing Shop
Dar es Salaam,Ilala,Kivukoni,-6.82012,39.2852,Yakubu Jewellers,Exim Bank,10/02/2012 00:00,Yes,Yes,,,Other,Jewelery Shop
Dar es Salaam,Ilala,Buguruni,-6.84125,39.24459,Yj General Traders2,Equit Bank,20/01/2014 00:00,Yes,Yes,,,Stationary,
Dar es Salaam,Kinondoni,Kawe,-6.76666,39.22864,Zacharia Shop,CRDB,10/08/2013 00:00,Yes,Yes,,,Duka,
Kilimanjaro,Moshi Urban,Pasua,-3.37807,37.34336,Zara Tours,CRDB,02/05/2006 00:00,Yes,Yes,,,Hotel,
Arusha,Arusha,Kimandolu,-3.36429,36.71358,Zawadi House Lodge,Exim Bank,02/01/2014 00:00,,,,,Hotel,
Dar es Salaam,Ilala,Kisutu,-6.81862,39.28418,Ze Phoner,Tanzania Postal Bank,15/05/2010 00:00,Yes,,,,Other,Cellphone and accessories
Arusha,Arusha,Kimandolu,-3.36743,36.72923,Zmeru View Hotel,Barclays Bank,25/11/2013 00:00,,,,,Hotel,
Dar es Salaam,Kinondoni,Msasani,-6.77892,39.27124,Dina Flower Company,Equit Bank,14/08/2013 00:00,Yes,Yes,Yes,Automatic Equity,Duka,
Dar es Salaam,Kinondoni,Mikocheni,-6.7564,39.24828,Tsn Supermarket,B-Pesa,31/01/2012 00:00,,,Yes,B-Pesa,Grocery Store,
Dar es Salaam,Kinondoni,Goba,-6.65968,39.18149,Therry Investiment,CRDB,30/04/2011 00:00,Yes,Yes,Yes,Cirrus,General Dealer,
Iringa,Iringa Urban,Mkwawa,-7.76302,35.68665,Chap Chap Account,NMB,10/04/2010 00:00,,,Yes,NMB Card,Other,Gazebo
Iringa,Iringa Urban,Mkwawa,-7.76283,35.68675,Chap Chap Account,NMB,09/04/2010 00:00,,,Yes,NMB Card,Other,Gazebo
Dar es Salaam,Ilala,Kivukoni,-6.81636,39.28977,Chap Chap Account,NMB,23/01/2014 00:00,,,Yes,NMB Card,Other,Bank
Lindi,Lindi Urban,Makonde,-9.99791,39.71537,Nmb Pos,NMB,01/02/2013 00:00,,,Yes,NMB Card,Other,Bank
Iringa,Iringa Urban,Kitanzini,-7.78267,35.69703,Mgs Min Market,Tanzania Postal Bank,01/10/2013 00:00,,,Yes,Postal Bank Card,Duka,
Dar es Salaam,Kinondoni,Msasani,-6.77267,39.27055,Tpb Popote,Tanzania Postal Bank,02/08/2013 00:00,,,Yes,Postal Bank Card,General Dealer,
Lindi,Lindi Urban,Makonde,-9.99749,39.71725,Tpb Popote,Tanzania Postal Bank,15/02/2013 00:00,,,Yes,Postal Bank Card,Other,Bank
Arusha,Arumeru,Usa River,-3.32569,36.87727,Crdb Agent,CRDB,06/12/2013 00:00,,,Yes,Sim Banking,Electronic Shop,
Arusha,Arumeru,Moshono,-3.38495,36.72369,Crdb Agent,CRDB,01/02/2014 00:00,,,Yes,Sim Banking,Grocery Store,
Arusha,Arumeru,Usa River,-3.37161,36.85839,Crdb Agent,CRDB,03/01/2014 00:00,,,Yes,Sim Banking,Stationary,
Arusha,Arumeru,Usa River,-3.32615,36.87733,Crdb Agent,CRDB,02/11/2013 00:00,,,Yes,Sim Banking,Stationary,
Tanga,Korogwe,Korogwe,-5.15657,38.44877,Elff Traders,CRDB,04/11/2013 00:00,,,Yes,Sim Banking,General Dealer,
Tanga,Korogwe,Mnyuzi,-5.29564,38.60619,Salehe Shabani,CRDB,03/11/2013 00:00,,,Yes,Sim Banking,Duka,
Arusha,Arumeru,Usa River,-3.37101,36.85817,Stationery,CRDB,02/12/2013 00:00,,,Yes,Sim Banking,Stationary,
Kilimanjaro,Moshi Rural,Marangu Mashariki,-3.24261,37.51821,Tanzania National Park,CRDB,01/10/2007 00:00,Yes,Yes,Yes,Tembo Card,Other,Travel Agency
Dar es Salaam,Kinondoni,Kunduchi,-6.66717,39.21901,Tanpay,FNB Bank,28/02/2011 00:00,Yes,Yes,Yes,TanPay Card,Hotel,
Dar es Salaam,Kinondoni,Goba,-6.66458,39.18806,Fahari Huduma,CRDB,17/09/2013 00:00,Yes,Yes,Yes,Tembo Card,General Dealer,
Dar es Salaam,Ilala,Kariakoo,-6.81643,39.2897,Happy Mvungi Trading Company,CRDB,20/07/2013 00:00,Yes,Yes,Yes,Tembo Card,Other,Cellphone and accessories
Tanga,Korogwe,Korogwe,-5.15339,38.44246,Kb Petro Station,CRDB,17/02/2008 00:00,Yes,Yes,Yes,Tembo Card,Other,Petrol Station
Dar es Salaam,Kinondoni,Kinondoni,-6.78479,39.26329,4H Buy &Sell In Tanzania,Tanzania Postal Bank,26/08/2013 00:00,,,Yes,UMJOA Card,Other,Post Office
Dar es Salaam,Temeke,Mtoni,-6.86692,39.27535,Daniel Lymo,Tanzania Postal Bank,15/11/2012 00:00,,,Yes,UMJOA Card,Duka,
Dar es Salaam,Kinondoni,Ubungo,-6.78857,39.20738,Eden Shop,Tanzania Postal Bank,13/10/2013 00:00,Yes,,Yes,UMJOA Card,Duka,
Dar es Salaam,Kinondoni,Kawe,-6.76682,39.22868,Elisha Shop,Tanzania Postal Bank,12/04/2012 00:00,,,Yes,UMJOA Card,Duka,
Mwanza,Nyamagana,Nyamagana,-2.44463,32.92267,Farend Agents And Bureau,CRDB,20/08/2012 00:00,Yes,Yes,Yes,UMJOA Card,Bureau de Exchange,
Mwanza,Nyamagana,Nyamagana,-2.5177,32.90513,"Farend Smarts Bureau,Travel And Tours.",CRDB,06/06/2011 00:00,Yes,Yes,Yes,UMJOA Card,Bureau de Exchange,
Dar es Salaam,Temeke,Mjimwema,-6.84295,39.35259,Idalhad Trade Centre,Tanzania Postal Bank,18/02/2014 00:00,,,Yes,UMJOA Card,Duka,
Dar es Salaam,Kinondoni,Kawe,-6.76768,39.22497,Jambele Shop,Tanzania Postal Bank,12/07/2013 00:00,,,Yes,UMJOA Card,Electronic Shop,
Dar es Salaam,Temeke,Mbagala,-6.90465,39.26964,Jk Shope,Tanzania Postal Bank,01/12/2012 00:00,,,Yes,UMJOA Card,General Dealer,
Pwani,Mkuranga,Vikindu,-7.00604,39.30862,Kaka Shop,Tanzania Postal Bank,26/11/2013 00:00,,,Yes,UMJOA Card,General Dealer,
Dar es Salaam,Kinondoni,Ubungo,-6.79186,39.20886,Luhanjo Shop,Tanzania Postal Bank,08/12/2013 00:00,Yes,,Yes,UMJOA Card,Duka,
Shinyanga,Kishapu,Songwa,-3.55036,33.55862,Maganzo Petrol Station,Tanzania Postal Bank,09/09/2013 00:00,Yes,,Yes,UMJOA Card,Restaurant,
Dar es Salaam,Ilala,Kisutu,-6.81792,39.28154,Matlida Shop,DCB  Commercial Bank,01/01/2014 00:00,,,Yes,UMJOA Card,Duka,
Dar es Salaam,Kinondoni,Sinza,-6.77854,39.22705,Mrcons Shop,Barclays Bank,19/06/2013 00:00,,,Yes,UMJOA Card,Duka,
Dar es Salaam,Kinondoni,Ubungo,-6.7926,39.20983,Mwigulu Shop,Tanzania Postal Bank,11/11/2013 00:00,Yes,,Yes,UMJOA Card,Duka,
Dar es Salaam,Kinondoni,Kawe,-6.78539,39.20612,Ndudu Shop,Tanzania Postal Bank,05/12/2013 00:00,,,Yes,UMJOA Card,Electronic Shop,
Dar es Salaam,Ilala,Segerea,-6.82587,39.19104,Nico Money Transfer,DCB  Commercial Bank,27/11/2013 00:00,,,Yes,UMJOA Card,Duka,
Dar es Salaam,Kinondoni,Kawe,-6.77156,39.22133,Pendaely Shop,Equit Bank,12/09/2013 00:00,,,Yes,UMJOA Card,Duka,
Dar es Salaam,Temeke,Mbagala,-6.90264,39.26912,Roal Marka,Tanzania Postal Bank,01/10/2012 00:00,,,Yes,UMJOA Card,General Dealer,
Dar es Salaam,Kinondoni,Sinza,-6.79406,39.21936,Rombo Pharmacy,Tanzania Postal Bank,07/11/2013 00:00,Yes,,Yes,UMJOA Card,Pharmacy,
Dar es Salaam,Temeke,Kibada,-6.89044,39.33926,Salumu Abdullah,Tanzania Postal Bank,05/02/2014 00:00,,,Yes,UMJOA Card,Duka,
Dar es Salaam,Kinondoni,Kawe,-6.76734,39.22509,Shimi Shop,Tanzania Postal Bank,03/04/2013 00:00,,Yes,Yes,UMJOA Card,Stationary,
Dar es Salaam,Temeke,Yombo Vituka,-6.89193,39.2344,Slemu Nassoro,DCB  Commercial Bank,28/11/2012 00:00,,,Yes,UMJOA Card,Duka,
Iringa,Njombe,Makambako,-8.84391,34.82396,Tanzania Post Bank,Tanzania Postal Bank,25/09/2013 00:00,,,Yes,UMJOA Card,Electronic Shop,
Lindi,Nachingwea,Nambambo,-10.362,38.7615,Tpb Popote,Tanzania Postal Bank,21/09/2013 00:00,Yes,Yes,Yes,UMJOA Card,Duka,
Lindi,Lindi Urban,Makonde,-9.99808,39.71511,Tpb Popote,Tanzania Postal Bank,10/07/2013 00:00,Yes,Yes,Yes,UMJOA Card,Duka,
Lindi,Ruangwa,Ruangwa,-10.06288,38.92934,Tpb Popote,Tanzania Postal Bank,01/07/2013 00:00,,,Yes,UMJOA Card,Duka,
Lindi,Kilwa,Masoko,-8.92592,39.51195,Tpb Popote,Tanzania Postal Bank,15/10/2013 00:00,Yes,Yes,Yes,UMJOA Card,General Dealer,
Lindi,Kilwa,Kivinje Singino,-8.74868,39.41454,Tpb Popote,Tanzania Postal Bank,25/09/2013 00:00,,,Yes,UMJOA Card,General Dealer,
Lindi,Nachingwea,Nambambo,-10.36057,38.76136,Tpb Popote,Tanzania Postal Bank,01/08/2012 00:00,,,Yes,UMJOA Card,Other,Bank
Tanga,Tanga,Central,-5.07011,39.10392,Dar Worth,CRDB,05/06/2012 00:00,Yes,Yes,Yes,Union Pay Card,Stationary,
Dar es Salaam,Kinondoni,Mikocheni,-6.7619,39.25163,Essy Body Fix And Fashion,CRDB,31/01/2013 00:00,Yes,Yes,Yes,Union Pay Card,Duka,
Mwanza,Nyamagana,Nyamagana,-2.52292,32.90484,G&G Hotel,CRDB,01/01/2010 00:00,,Yes,Yes,Union Pay Card,Hotel,
Tanga,Tanga,Central,-5.07014,39.10394,Gate Way To Zanzibar,CRDB,07/03/2013 00:00,Yes,Yes,Yes,Union Pay Card,Hotel,
Dar es Salaam,Kinondoni,Mikocheni,-6.75628,39.24726,Giant Super Market,CRDB,31/01/2013 00:00,Yes,Yes,Yes,Union Pay Card,Grocery Store,
Mwanza,Nyamagana,Nyamagana,-2.51938,32.89807,Gold Crest Hotel,CRDB,01/01/2010 00:00,Yes,Yes,Yes,Union Pay Card,Hotel,
Mwanza,Nyamagana,Nyamagana,-2.52016,32.90745,Hotel Kembice,CRDB,01/01/2010 00:00,Yes,Yes,Yes,Union Pay Card,Hotel,
Mwanza,Nyamagana,Nyamagana,-2.52408,32.89665,Victoria Palace Hotel,CRDB,01/01/2010 00:00,Yes,Yes,Yes,Union Pay Card,Hotel,
Dar es Salaam,Kinondoni,Msasani,-6.74239,39.27704,Ami Hospital,Exim Bank,15/12/2012 00:00,Yes,Yes,Yes,,Hospital,
Dar es Salaam,Kinondoni,Msasani,-6.7723,39.27046,Celebrity Style,CRDB,03/12/2013 00:00,Yes,Yes,,,Wholesale,
Dar es Salaam,Ilala,Kivukoni,-6.81551,39.2883,Chap Chap Account,NMB,04/06/2012 00:00,,,,,Other,Bank
Dar es Salaam,Kinondoni,Mikocheni,-6.76271,39.23222,Dcb Jirani,DCB  Commercial Bank,06/12/2013 00:00,Yes,Yes,,,Stationary,
Mwanza,Nyamagana,Nyamagana,-2.60777,32.90391,Deogratias Shop,CRDB,30/10/1993 00:00,,,,,Wholesale,
Mara,Musoma Urban,Mukendo,-1.49836,33.8091,Dickson Modest,CRDB,03/01/2013 00:00,,,,,Duka,
Mwanza,Ilemela,Nyakato,-2.5355,32.93941,Duka,Equit Bank,31/03/2013 00:00,Yes,,,,Duka,
Mwanza,Ilemela,Pasiansi,-2.48112,32.9093,Electronic Shop,CRDB,01/02/2013 00:00,Yes,Yes,,,Electronic Shop,
Arusha,Arusha,Engutoto,-3.42403,36.70584,Exim Pos,Exim Bank,10/01/2013 00:00,,,,,Stationary,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34819,36.48923,Fahari Huduma,CRDB,26/01/2014 00:00,Yes,Yes,,,Duka,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34672,36.48627,Fahari Huduma,CRDB,21/11/2013 00:00,Yes,Yes,,,Other,Bank
Dar es Salaam,Temeke,Yombo Vituka,-6.89232,39.2258,Frank Mgumba,CRDB,14/12/2014 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Temeke,Yombo Vituka,-6.89227,39.22576,Frank Mgumba,DCB  Commercial Bank,29/12/2013 00:00,Yes,Yes,,,Duka,
Singida,Singida Urban,Ipembe,-4.81721,34.7522,Gapco Fuel Station,CRDB,20/03/2010 00:00,Yes,Yes,,,Other,Petrol Station
Singida,Singida Urban,Ipembe,-4.81717,34.75215,Gapco Fuel Station,CRDB,20/05/2011 00:00,Yes,Yes,,,Other,Petrol Station
Tanga,Lushoto,Mlalo,-4.58427,38.34951,Gilla Computer Centre,CRDB,04/12/2013 00:00,,,,,Stationary,
Dar es Salaam,Kinondoni,Kimara,-6.78747,39.16647,Green Technical Suppot,Equit Bank,07/01/2014 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Kinondoni,Bunju,-6.6166,39.09726,John Nkini,CRDB,08/09/2013 00:00,,,,,General Dealer,
Singida,Singida Urban,Mandewa,-4.7989,34.7415,Kbh Hotel,CRDB,10/05/2012 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Kinondoni,Mikocheni,-6.76305,39.24966,Mageru Communication,CRDB,31/01/2012 00:00,,,,,Duka,
Mara,Musoma Urban,Mukendo,-1.49511,33.80777,Mnaka,CRDB,12/08/2013 00:00,,Yes,,,General Dealer,
Dar es Salaam,Kinondoni,Mbezi,-6.69973,39.20713,Mwachangala Investiment,Equit Bank,24/06/2012 00:00,Yes,Yes,Yes,,General Dealer,
Kilimanjaro,Mwanga,Mwanga,-3.6564,37.58807,Mwanga Post Office,CRDB,03/04/2012 00:00,Yes,Yes,,,Other,Post Office
Mara,Musoma Urban,Mukendo,-1.4952,33.80778,Nadhifu,CRDB,11/10/2013 00:00,,,,,General Dealer,
Dar es Salaam,Kinondoni,Mbezi,-6.71345,39.21047,Nguruko Bar,CRDB,05/05/2013 00:00,Yes,Yes,Yes,,Bar,
Singida,Singida Urban,Majengo,-4.81937,34.75145,Oryx Fuel Station,CRDB,25/03/2010 00:00,Yes,Yes,,,Other,Petrol Station
Mwanza,Nyamagana,Nyamagana,-2.51934,32.89833,Petrol Station,CRDB,01/01/2010 00:00,Yes,Yes,,,Other,Petrol Station
Arusha,Arusha,Ngarenaro,-3.37195,36.67914,Posta Pos,Tanzania Postal Bank,10/05/2013 00:00,,,,,Stationary,
Mwanza,Nyamagana,Nyamagana,-2.52045,32.9044,Puma Petrol Station,CRDB,10/01/2010 00:00,Yes,Yes,,,Other,Petrol Station
Dar es Salaam,Kinondoni,Msasani,-6.77336,39.27032,Quick Mtsm Supermarket,Equit Bank,05/11/2013 00:00,Yes,Yes,Yes,,Grocery Store,
Singida,Singida Urban,Utemini,-4.80923,34.73713,Rafiki Resort,CRDB,25/04/2012 00:00,Yes,Yes,,,Hotel,
Mara,Musoma Urban,Mukendo,-1.49573,33.80754,Rest Africa Investment,CRDB,12/07/2013 00:00,Yes,Yes,,,Stationary,
Dar es Salaam,Temeke,Chang'ombe,-6.84036,39.25597,Samsung,Barclays Bank,01/05/2013 00:00,Yes,Yes,Yes,,Electronic Shop,
Mwanza,Nyamagana,Nyamagana,-2.51827,32.90063,Serengeti Expeditions,CRDB,01/01/2010 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Temeke,Yombo Vituka,-6.89414,39.23505,Silim Gumba,DCB  Commercial Bank,14/12/2013 00:00,Yes,Yes,,,Duka,
Mwanza,Nyamagana,Nyamagana,-2.52019,32.90266,Super Market,CRDB,01/01/2010 00:00,Yes,Yes,,,Duka,
Arusha,Monduli,Engaruka,-3.38341,36.71125,Trast Trader,CRDB,11/12/2012 00:00,Yes,Yes,,,General Dealer,