region,district,ward,latitude,longitude,post_office_name,post_office_yr_started,services_mail,services_fin_services,services_agency_services,services_EMS_courier,services_ebusiness,services_philatel,services_other_services,services_other_services_detail
Arusha,Arumeru,Akheri,-3.37348,36.78644,Tengeru Post Office,21/10/2013,,Yes,,Yes,,Yes,,
Dar es Salaam,Ilala,Kisutu,-6.8165,39.28235,Post Office kisutu,19/06/2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank
Arusha,Arusha,Kati,-3.37418,36.68566,Posta Uhuru Road,18/08/1998,Yes,Yes,Yes,Yes,,Yes,,
Arusha,Arusha,Kati,-3.37198,36.6945,posta meru,02/10/1982,Yes,Yes,Yes,Yes,Yes,Yes,,
Arusha,Arusha,Kati,-3.3697,36.69588,Arusha Posta,22/08/1983,Yes,Yes,,Yes,,Yes,,
Arusha,Arusha,Elerai,-3.36412,36.67663,ATC Post Office,10/12/2013,,Yes,,Yes,,,,
Manyara,Babati,Babati,-4.21688,35.7179,Boman Post Office,09/03/1978,Yes,Yes,Yes,Yes,,,,
Manyara,Babati,Babati,-4.21424,35.74862,Babati Post Office,01/01/1994,Yes,Yes,Yes,Yes,Yes,Yes,,
Pwani,Bagamoyo,Dunda,-6.44653,38.90877,Bagamoyo post office,01/01/1970,Yes,Yes,Yes,Yes,,,,
Shinyanga,Bariadi,Bariadi,-2.79758,33.98922,Bariabi post office,09/09/1989,,Yes,,Yes,,Yes,,
Kagera,Biharamulo,Katende,-2.63522,31.31233,Biharamulo Post,26/03/1991,Yes,Yes,,Yes,,,,
Kagera,Bukoba Rural,Kishanje,-1.25184,31.42096,Kyaka Post Office,09/02/1997,Yes,,,Yes,,,,
Kagera,Bukoba Urban,Birere,-1.33157,31.81274,BUKOBA POST OFFICE,20/05/1983,Yes,,,Yes,,,,
Shinyanga,Bukombe,Masumbwe,-3.64625,32.16475,Masumbwe Post Office,02/07/2001,Yes,,Yes,Yes,,Yes,,
Shinyanga,Bukombe,Ushirombo,-3.46744,31.89827,Ushirimbo post office,14/04/2003,,Yes,,,,Yes,,
Mara,Bunda,Bunda,-2.02052,33.86959,BUNDA POST OFFICE,21/01/2012,Yes,Yes,,Yes,,,,
Kilimanjaro,Rombo,Mahida Holili,-3.28434,37.52283,Mahida Holili Post Office,13/04/1991,Yes,,,Yes,,Yes,Yes,3rd Party Payments
Mbeya,Chunya,Mkwajuni,-8.44478,33.01215,Mkwajuni Post Office,17/10/1980,,,,,,,,
Dodoma,Dodoma Urban,Ng'ong'ona,-6.2047,35.79699,Posta Office Udom,30/01/2014,Yes,Yes,Yes,Yes,,Yes,,
Dodoma,Dodoma Urban,Kikuyu South,-6.19694,35.72929,St johns Post Office,09/01/2008,Yes,Yes,Yes,,,Yes,,
Dodoma,Dodoma Urban,Tambukareli,-6.18423,35.74901,Dodoma Posta Office,11/12/1997,Yes,Yes,Yes,Yes,Yes,Yes,,
Dodoma,Dodoma Urban,Viwandani,-6.17928,35.75137,Maktaba Post Office,07/06/2005,,,Yes,Yes,,Yes,,
Dodoma,Dodoma Urban,Majengo,-6.17837,35.7422,Soko kuu Post Office,23/06/1996,Yes,Yes,Yes,Yes,,Yes,,
Dodoma,Dodoma Urban,Makole,-6.17658,35.75129,Makole Posta Office,06/02/2000,Yes,Yes,Yes,Yes,,Yes,,
Dodoma,Dodoma Urban,Kizota,-6.15266,35.72487,Nkuhungu Post,22/04/2010,,,,Yes,Yes,Yes,,
Dodoma,Dodoma Urban,Miyuji,-6.12133,35.74468,Mipango Post Office,17/11/2012,,Yes,Yes,,,Yes,,
Mwanza,Geita,Kalangala,-2.87327,32.22873,Geita Post Officce,14/01/1988,Yes,Yes,Yes,Yes,Yes,Yes,,
Kilimanjaro,Hai,Machame Magharibi,-3.33468,37.14495,Machame Post Office,01/01/1970,,,,,,,,
Kilimanjaro,Hai,Hai Mjini,-3.33303,37.14844,HAI Post Office,05/10/1985,Yes,Yes,Yes,Yes,,Yes,,
Kilimanjaro,Hai,Masama Magharibi,-3.24262,37.18978,Masama Mula Post Office,15/12/1970,,,,,,,,
Manyara,Hanang,Katesh,-4.52375,35.38466,Katesh Post Office,10/07/1973,,Yes,Yes,Yes,,,,
Dar es Salaam,Ilala,Ukonga,-6.87831,39.16784,Ukonga Posta office,01/01/1970,Yes,,,Yes,,,,
Dar es Salaam,Ilala,Kipawa,-6.8647,39.20277,Posta airport,17/12/2003,Yes,Yes,,Yes,,,,
Kilimanjaro,Same,Myamba,-3.33394,37.1464,Rongai Post Office,12/07/1984,Yes,,,,,,Yes,3rd Party Payments
Kilimanjaro,Siha,Sanya juu,-3.34776,37.3377,Sanya Juu Post Office,25/06/1996,Yes,,,Yes,,Yes,Yes,3rd Party Payments
Dar es Salaam,Ilala,Tabata,-6.82463,39.22638,Tabata,06/11/2002,,,Yes,,,,,
Dar es Salaam,Ilala,Kivukoni,-6.81843,39.28954,Sokoine Drive Post Office,03/01/1985,Yes,Yes,Yes,Yes,Yes,Yes,,
Kilimanjaro,Rombo,Olele,-3.34969,37.34288,Rombo Post Office,28/05/1988,Yes,,,Yes,,Yes,Yes,3rd Party Payments
Singida,Iramba,Kiomboi,-4.28131,34.40786,KIOMBOI POST OFFICE,14/02/2008,Yes,Yes,Yes,Yes,,Yes,Yes,Mobile Money
Dar es Salaam,Ilala,Kisutu,-6.81341,39.28368,Posta Bureau De Change,01/01/1970,Yes,Yes,Yes,Yes,Yes,Yes,,
Dar es Salaam,Ilala,Upanga West,-6.80865,39.28372,Upanga Postal Office,06/01/2009,Yes,Yes,Yes,Yes,Yes,Yes,,
Mwanza,Ilemela,Ilemela,-2.53512,32.93954,Nyakato Post Office,19/07/2009,Yes,Yes,Yes,,,,,
Singida,Iramba,Iguguno,-4.5687,34.62657,IGUGUNO POST OFFICE,15/04/1993,,,,,,,,
Singida,Iramba,Kinampanda,-4.39435,34.52686,Kinampanda Post Office,04/05/2000,,,,,,,,
Singida,Iramba,Nduguti,-4.30455,34.70046,NDUGUTI POST OFFICE,11/02/1992,,,,,,,,
Kagera,Karagwe,Kayanga,-1.5338,31.15457,Posta Karagwe,29/05/1999,Yes,,,Yes,,,Yes,Mobile Money
Shinyanga,Kahama,Isaka,-3.90573,32.9434,Isaka Post Office,25/05/1990,Yes,,,Yes,,Yes,,
Singida,Singida Urban,Majengo,-4.8197,34.75247,MAJENGO POST OFFICE,03/06/1992,Yes,Yes,Yes,Yes,,Yes,Yes,Mobile Money
Kagera,Karagwe,Bugene,-1.53646,31.15418,Post Karagwe,05/09/1982,Yes,,Yes,,,,,
Morogoro,Kilosa,Mikumi,-7.40148,36.99233,Mikumi Post Ofice,15/11/2000,Yes,,Yes,Yes,,,Yes,Mobile Money
Arusha,Karatu,Karatu,-3.33901,35.6769,Karatu Post ofice,01/02/1991,Yes,Yes,,Yes,,,,
Kigoma,Kasulu,Kasulu Mjini,-4.57228,30.09351,Kasulu Post Office,19/06/1981,Yes,Yes,,,,,,
Kigoma,Kibondo,Kibondo Mjini,-3.5885,30.71867,Kibondo Post office,18/06/1981,,Yes,,Yes,,,,
Kigoma,Kigoma Rural,Uvinza,-5.1086,30.39048,Uvinza Post Office,07/11/1986,,,,,Yes,,,
Kigoma,Kigoma Urban,Kigoma town,-4.87676,29.63126,Kigoma Post Office,01/01/1970,,Yes,,Yes,,,,
Tanga,Kilindi,Songe,-5.58482,37.28165,Songe Post Office,26/07/2004,Yes,Yes,,,Yes,,,
Iringa,Kilolo,Ilula,-7.79027,35.70085,Ilula Post Office,08/11/2000,Yes,Yes,Yes,Yes,Yes,Yes,,
Morogoro,Kilombero,Ifakara,-8.14247,36.67735,Ifakara Post Office,01/09/2009,Yes,,Yes,Yes,,Yes,,
Morogoro,Kilombero,Kidatu,-7.66609,36.97657,Kilombero Post Office,10/08/2004,Yes,Yes,Yes,Yes,,,,
Mbeya,Kyela,Kyela Mjini,-9.6031,33.86924,Kyela Post Office,20/12/1984,Yes,Yes,,Yes,,,Yes,3rd Party Payments
Lindi,Kilwa,Masoko,-8.93532,39.51092,Kilwa Post Office,01/01/1970,Yes,,Yes,Yes,,,,
Lindi,Kilwa,Kivinje Singino,-8.74887,39.4146,Kilwa Kivinje Post Office,01/12/2013,Yes,,Yes,Yes,,,,
Dar es Salaam,Kinondoni,Makuburi,-6.81204,39.21508,usesi Center,16/11/1998,Yes,,Yes,Yes,,,,
Dar es Salaam,Kinondoni,Magomeni,-6.80687,39.25695,Magomen Post Office,15/09/1999,Yes,,,,,,,
Dar es Salaam,Kinondoni,Mwananyamala,-6.78712,39.24887,Mwananyamala,22/09/1998,Yes,Yes,Yes,,,,,
Dar es Salaam,Kinondoni,Ubungo,-6.77891,39.2062,University post office,01/01/1970,Yes,Yes,,,,,,
Dar es Salaam,Kinondoni,Msasani,-6.77629,39.26949,Msasani Post office,03/02/1981,Yes,Yes,Yes,Yes,,Yes,,
Dar es Salaam,Kinondoni,Kunduchi,-6.66807,39.18939,Tegeta Post Office,05/10/1994,Yes,Yes,,Yes,Yes,,,
Shinyanga,Kishapu,Kishapu,-3.61994,33.80647,Kishapu Posta 0ffice,06/12/2013,,Yes,,,,Yes,,
Shinyanga,Kishapu,Mwadui Lohumbo,-3.53203,33.59317,Mwadui Post Office,10/02/1983,Yes,Yes,,,,Yes,,
Manyara,Kiteto,Kibaya,-5.31301,36.56201,Kibaya Post Office,01/01/1970,,,Yes,Yes,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.9101,35.79106,Kondoa Posta Office,06/01/2000,Yes,Yes,Yes,Yes,,Yes,,
Dodoma,Kondoa,Pahi,-4.71578,35.9154,Pahi post Office,16/06/2000,,Yes,,,,Yes,,
Dodoma,Kondoa,Bereko,-4.45189,35.74025,Bereko Post Office,08/11/1992,Yes,,Yes,Yes,,,,
Dodoma,Kongwa,Kongwa,-6.19739,36.41381,Kongwa Post Office,03/01/2000,Yes,Yes,Yes,Yes,Yes,,,
Dodoma,Kongwa,Kibaigwa,-6.08096,36.65006,Kibaigwa Post Office,13/04/2009,Yes,Yes,Yes,,,Yes,,
Tanga,Korogwe,Korogwe,-5.1584,38.44987,Korogwe Post Office,03/02/1993,Yes,Yes,Yes,Yes,Yes,Yes,,
Tanga,Korogwe,Mombo,-4.89062,38.28924,Mombo Post Office,10/02/1984,Yes,Yes,Yes,Yes,Yes,Yes,,
Mtwara,Mtwara Urban,Shangani,-10.26977,40.1862,Mtwara Post Office,18/04/1970,Yes,Yes,,Yes,,Yes,Yes,3rd Party Payments
Lindi,Lindi Rural,Nyangao,-10.33246,39.30019,NYANGAO POST OFFICE,05/01/2013,Yes,,,Yes,,,,
Lindi,Lindi Urban,Msinjahili,-9.99764,39.71732,Lindi Post Office,19/12/2013,Yes,,Yes,Yes,,,,
Lindi,Liwale,Liwale Mjini,-9.80349,37.92092,Liwale Post Office,05/02/1970,Yes,,Yes,Yes,,,,
Tanga,Lushoto,Lushoto,-4.79012,38.2906,Lushoto Post Office,11/02/1975,Yes,Yes,Yes,Yes,Yes,Yes,,
Mwanza,Magu,Kiloleni,-2.59206,33.44346,Tanzania Posts Corporation Magu,17/01/2002,Yes,Yes,Yes,Yes,Yes,Yes,,
Singida,Manyoni,Manyoni,-5.74813,34.83898,Manyoni Post Office,15/04/1990,Yes,Yes,,Yes,,,,
Singida,Manyoni,Itigi,-5.70683,34.4931,Itigi Post Office,10/03/1985,Yes,,,Yes,,Yes,,
Mtwara,Masasi,Marika,-10.72402,38.81855,Masasi Post Office,10/04/1978,Yes,Yes,Yes,Yes,,Yes,,
Mtwara,Masasi,Mwena,-10.49659,39.02718,Ndanda Post Office,26/02/1994,Yes,Yes,Yes,Yes,Yes,Yes,,
Shinyanga,Maswa,Lalango,-3.44614,33.95134,Lalago post office,01/01/1970,,,,,,Yes,,
Shinyanga,Maswa,Nyalikungu,-3.18075,33.78544,Maswa Post Office,01/01/1970,Yes,Yes,Yes,,,Yes,,
Arusha,Arusha,Kati,-3.37435,36.68323,Meru Post Office,03/05/1978,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mobile Money
Mbeya,Mbarali,Chimala,-8.85859,34.01716,Chimala Post Office,23/04/1972,,,,,,,,
Mbeya,Mbeya Urban,Iyunga,-8.92767,33.41585,Iyunga Posta Office,02/06/1994,,,,,,,,
Mbeya,Mbeya Urban,Iyela,-8.91164,33.45992,Mwanjelwa Post Ofice,01/10/1987,,Yes,Yes,Yes,,,,
Mbeya,Mbeya Urban,Forest (Mbeya ward),-8.90957,33.44541,Mzumbe Post Office,24/10/2012,Yes,,Yes,,,,,
Ruvuma,Mbinga,Mbamba Bay,-11.28584,34.80041,Mbamba Bay Post Office,26/06/1982,Yes,,,Yes,,,,
Ruvuma,Mbinga,Litembo,-10.97954,34.82643,Litembo Post Office,25/02/2013,Yes,Yes,Yes,,,,,
Ruvuma,Mbinga,Mbinga Urban,-10.95035,34.99726,Mbinga posta office,03/08/1994,,Yes,,Yes,,,,
Dar es Salaam,Ilala,Kivukoni,-6.81407,39.28949,General Post Office,01/01/1970,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mobile Money
Shinyanga,Maswa,Malampaka,-3.13692,33.52252,Malamapaka Post Office,05/01/1988,,,,,,Yes,Yes,Mobile Money
Manyara,Mbulu,Haidom,-4.19368,35.02555,Haydom Post Office,02/11/2010,,,Yes,Yes,,,,
Manyara,Mbulu,Mbulu Mjini,-3.85697,35.54054,Mbulu Post Office,04/02/1999,Yes,Yes,Yes,Yes,,,,
Shinyanga,Meatu,Mwanhuze,-3.52587,34.31467,Posta ya zamani,13/11/1992,Yes,,,Yes,,,,
Shinyanga,Meatu,Mwanhuze,-3.52417,34.30641,Post Office Mwanuz,16/04/1991,Yes,Yes,Yes,,Yes,,,
Pwani,Mkuranga,Mkuranga,-7.12006,39.20608,Mkuranga post office,19/02/2014,Yes,,,Yes,,Yes,,
Arusha,Monduli,Mto wa Mbu,-3.37368,35.85491,Mto wa Mbu post Ofice,01/11/2001,Yes,Yes,,,,Yes,Yes,Mobile Money
Arusha,Monduli,Lolkisale,-3.29876,36.44512,mondul posta office,24/11/2008,Yes,Yes,Yes,Yes,Yes,Yes,,
Arusha,Monduli,Longido,-2.73319,36.69905,Longido Post Office,10/02/2005,,,,,,Yes,,
Morogoro,Morogoro Urban,Sabasaba,-6.82751,37.66215,Madaraka Post Office,20/01/1991,Yes,Yes,,Yes,,,,
Morogoro,Morogoro Urban,Uwanja wa Ndege,-6.82083,37.65289,Mawenzi,23/01/1992,Yes,Yes,,,,Yes,,
Kilimanjaro,Moshi Rural,Arusha Chini,-3.53453,37.32648,LANGASANI POST OFFICE,06/12/2004,Yes,Yes,,Yes,,,,
Kilimanjaro,Moshi Rural,Kirua Vunjo Kusini,-3.39517,37.47105,Uchira Post Office,03/05/1979,,,,,,,,
Kilimanjaro,Moshi Rural,Marangu Mashariki,-3.3882,37.54918,Himo Post Office,12/04/1996,Yes,,,Yes,,,,
Kilimanjaro,Moshi Rural,Uru South Mawela,-3.34897,37.34329,Old Moshi Post Office,19/02/1976,,,,,,,,
Kilimanjaro,Moshi Rural,Marangu Magharibi,-3.33308,37.14812,Marangu Post Office,01/01/1970,Yes,,,,,,,
Kilimanjaro,Moshi Rural,Kirua Vunjo Magharibi,-3.28251,37.49711,Marangu Post Office,18/11/1973,Yes,,,,,Yes,,
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.34914,37.34313,MOSHI POST OFFICE,10/02/2014,Yes,Yes,Yes,Yes,Yes,Yes,,
Kilimanjaro,Moshi Urban,Longuo,-3.3206,37.33204,KCMC POST OFFICE,15/03/1994,Yes,Yes,Yes,Yes,,,,
Kagera,Muleba,Kamachumu,-1.62061,31.61992,Kamachumu Post Office,01/01/1970,Yes,Yes,Yes,Yes,,,Yes,Mobile Money
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34621,36.48616,Mpwapwa Posta Office,24/05/1988,Yes,Yes,Yes,Yes,Yes,Yes,,
Shinyanga,Kahama,Kahama Mjini,-3.82747,32.59649,Kahama Post Office,25/04/1986,,,,Yes,,Yes,Yes,Mobile Money
Iringa,Mufindi,Nyololo,-8.30182,35.29898,Mafinga Post Office,30/05/1971,Yes,Yes,Yes,Yes,Yes,Yes,,
Kagera,Muleba,Muleba,-1.8493,31.65101,MULEBA POST OFFICE,06/09/1996,Yes,,,Yes,Yes,,,
Kagera,Muleba,Kashasha,-1.75024,31.62014,Rubya Post Office,07/11/1986,Yes,,,Yes,,Yes,,
Dar es Salaam,Ilala,Ilala,-6.82767,39.25903,AMANA POST OFFCE,03/01/1995,Yes,Yes,,Yes,,,Yes,Mobile Money
Mara,Musoma Urban,Iringo,-1.4944,33.80744,musoma post office,17/02/2014,Yes,Yes,,Yes,,,,
Kilimanjaro,Mwanga,Mwanga,-3.65964,37.5885,MWANGA POST OFFICE,12/05/1981,Yes,Yes,Yes,Yes,,,,
Lindi,Nachingwea,Nambambo,-10.36054,38.76142,Nachingwea Post Office,10/02/1989,Yes,Yes,,Yes,,Yes,,
Ruvuma,Namtumbo,Namtumbo,-10.46839,36.13207,Namtumbo Post Office,11/11/2013,,,,Yes,,Yes,,
Mtwara,Newala,Luchingu,-10.95235,39.2726,Newala Post Office,22/02/1971,Yes,Yes,,Yes,,Yes,,
Mtwara,Newala,Kitangari,-10.65077,39.33354,Kitangali,08/10/1981,,Yes,Yes,Yes,,Yes,,
Kagera,Ngara,Ngara Mjini,-2.51099,30.65713,Ngara Post Office,26/03/1989,,Yes,Yes,,Yes,,,
Arusha,Ngorongoro,Ngorongoro,-3.24474,35.48746,Ngorongoro Post Office,01/01/1970,Yes,,Yes,,,,,
Arusha,Ngorongoro,Orgosorok,-2.05116,35.62648,Loliondo post Office,28/11/2013,Yes,Yes,,Yes,,,,
Iringa,Njombe,Njombe Mjini,-9.3416,34.76845,Njombe post officr,19/06/1977,Yes,Yes,,Yes,Yes,Yes,,
Iringa,Njombe,Ilembula,-8.89532,34.58039,ilembula post office,29/11/1987,Yes,Yes,Yes,Yes,,Yes,,
Iringa,Njombe,Makambako,-8.84375,34.82403,makambako post office,07/07/1989,Yes,Yes,Yes,Yes,,Yes,,
Mwanza,Nyamagana,Nyamagana,-2.60954,32.93117,Pamba Road Post office,10/02/1999,Yes,Yes,,Yes,,,,
Mwanza,Nyamagana,Nyamagana,-2.51963,32.89785,Tanzania Posts Corporation Mwanza head Post Office,04/02/1988,Yes,Yes,,Yes,,,,
Tabora,Nzega,Nzega Mjini,-4.21458,33.18324,Nzega post office,03/08/1991,,Yes,,Yes,Yes,Yes,,
Kilimanjaro,Rombo,Mengwe Manda,-3.38864,37.54838,Useri Post Office,12/09/1979,,,,,,,,
Kilimanjaro,Rombo,Tarakea Motamburu,-3.38786,37.54959,Tarakea Post Office,26/02/1970,Yes,,,,,,,
Kilimanjaro,Rombo,Mahida Holili,-3.38761,37.55002,Mkuu Post Office,18/02/1998,Yes,,,,,Yes,,
Mbeya,Mbozi,Tunduma,-9.31235,32.76363,Tunduma Branch,04/12/2012,Yes,Yes,,,,,Yes,Mobile Money
Mbeya,Chunya,Chokaa,-8.52268,33.42201,Chunya post Office,08/04/1973,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mobile Money Bank services.
Lindi,Ruangwa,Ruangwa,-10.06395,38.92796,Ruangwa post office,01/01/2012,Yes,,Yes,Yes,,,,
Pwani,Rufiji,Ikwiriri,-7.95051,38.9846,ikwiriri,25/02/1975,Yes,,Yes,Yes,,Yes,,
Mbeya,Rungwe,Bulyaga,-9.25744,33.64535,Tukuyu Post Office,30/01/1980,Yes,,,Yes,,,,
Kilimanjaro,Same,Same Mjini,-4.06745,37.73671,SAME POST OFFICE,04/12/1987,Yes,Yes,Yes,Yes,,Yes,,
Kilimanjaro,Same,Suji,-3.35043,37.34258,Suji Post Office,18/06/1977,Yes,,,,,,,
Kilimanjaro,Same,Bombo,-3.34925,37.34305,Bombo Post Office,19/02/1977,Yes,,,,,,,
Rukwa,Mpanda,Kashaulili,-6.34322,31.07431,Posta Office Mpanda Branch,01/01/1970,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mobile Money
Kilimanjaro,Same,Maore,-3.32209,37.23451,Ugweno Same Post Office,14/06/1989,Yes,,,Yes,,,,
Mara,Serengeti,Mugumu Mjini,-1.8393,34.67509,Mgumu Post Office,12/10/1998,,Yes,,Yes,,Yes,,
Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.67142,33.4298,Shinyanga Post Office,11/12/2013,Yes,Yes,,,,Yes,,
Shinyanga,Shinyanga Urban,Ngokolo,-3.66456,33.42307,Bunungu,20/08/2012,,Yes,,Yes,,Yes,,
Mbeya,Mbozi,Vwawa,-9.11218,32.93237,Vwawa,13/02/2014,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mobile Money 3rd Party Payments
Manyara,Simanjiro,Orkesumet,-4.46131,37.20456,Orkesumet Post Office,23/11/2013,Yes,,Yes,Yes,,,,
Singida,Singida Rural,Mungaa,-4.96863,34.86285,MAKIUNGU POST OFFICE,12/05/2005,Yes,,,Yes,,,,
Singida,Singida Rural,Ilongero,-4.66952,34.87271,ILONGERO POST OFFICE,09/05/1995,,,,,,,,
Singida,Singida Rural,Mtinko,-4.54938,34.84378,MTINKO POST OFFICE,17/09/2002,,,,,,,,
Dar es Salaam,Ilala,Tabata,-6.82982,39.22545,Posta Tabata,22/10/2011,Yes,,,Yes,,,Yes,Mobile Money
Singida,Singida Urban,Ipembe,-4.81527,34.74873,SINGIDA POST OFFICE,18/10/1993,Yes,Yes,Yes,Yes,,,,
Ruvuma,Songea Urban,Songea Mjini,-10.68042,35.65372,Songea Head Post Office,05/11/2013,Yes,,,Yes,,Yes,,
Tabora,Tabora Urban,Kanyenye,-5.02347,32.81027,Tabora Post Office,19/03/1991,Yes,Yes,Yes,Yes,Yes,Yes,,
Mtwara,Tandahimba,Tandahimba,-10.75471,39.62968,Tandahimba Post Office,23/04/1990,Yes,Yes,,Yes,,Yes,,
Mara,Tarime,Tarime,-1.3426,34.37447,TARIME POST  OFFICE,04/05/2003,Yes,Yes,,Yes,,Yes,,
Dar es Salaam,Temeke,Mbagala,-6.91505,39.27295,Mbagala Zakhem Mail Derived Centre,23/07/2008,Yes,,,Yes,,,,
Dar es Salaam,Temeke,Mbagala,-6.90265,39.26911,Mbagala post office,08/05/2010,Yes,,,,,Yes,,
Dar es Salaam,Temeke,Mtoni,-6.88481,39.28113,Mtoni kijichi Post office,18/04/2000,Yes,,,,,Yes,,
Dar es Salaam,Temeke,Tandika,-6.87016,39.25735,Karim Musa,01/12/2013,,Yes,,,,,,
Dar es Salaam,Temeke,Tandika,-6.86883,39.25922,Omari shop,16/12/2013,,,Yes,,,,,
Dar es Salaam,Temeke,Temeke,-6.86525,39.26695,tanzania post office (temeke),05/12/1980,Yes,Yes,,Yes,Yes,Yes,,
Dar es Salaam,Temeke,Chang'ombe,-6.84461,39.26818,Chang'ombe Postal Office,17/04/1998,Yes,Yes,Yes,Yes,,Yes,,
Dar es Salaam,Temeke,Chang'ombe,-6.84057,39.25437,tanzania post ofice (pugu road),03/08/2006,Yes,,Yes,Yes,Yes,Yes,,
Dar es Salaam,Temeke,Kigamboni,-6.82239,39.30315,Kigamboni Postal Office,14/04/2004,Yes,Yes,Yes,Yes,Yes,Yes,,
Tabora,Urambo,Urambo,-5.07112,32.0704,Urambo post office,20/06/1977,Yes,Yes,Yes,Yes,Yes,Yes,,
Zanzibar,Zanzibar,Kama,-6.16504,39.2057,Zanzibar post office,01/01/1970,Yes,Yes,Yes,Yes,,Yes,,
Mwanza,Sengerema,Sengerema,-2.65118,32.64101,Sengerema Post Office,28/02/2010,Yes,Yes,Yes,Yes,Yes,Yes,,
Tanga,Tanga,Central,-5.0703,39.10452,Tanga Post Office,01/01/1970,Yes,Yes,Yes,Yes,Yes,Yes,,