region,district,ward,latitude,longitude,SACCO_name,SACCO_yr_started,linked_mob_fin_services,tigo_pesa,m_pesa,ezy_pesa,airtel_cash,other_mob_fin_services,other_mob_fin_services_detail
Rukwa,Sumbawanga Urban,Katandala,-7.95806,31.61371,2 Ways Saccos Ltd,22/04/2009,,,,,,,
Arusha,Arusha,Kimandolu,-3.36767,36.70687,Aar Workers Saccos,07/12/2010,,,,,,,
Mara,Bunda,Bunda,-2.10549,33.08824,Abajuni Saccos,27/04/2013,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02299,32.80904,Acs,12/12/2008,,,,,,,
Arusha,Arusha,Kati,-3.36985,36.69519,Acu Saccos,03/11/2007,,,,,,,
Manyara,Babati,Dareda,-4.23449,35.51444,Adada Saccos,01/07/1998,,,,,,,
Mbeya,Mbeya Urban,Iyunga,-8.93476,33.41507,Afri Savings Saccos Ltd,03/10/1995,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02394,32.80162,Afric,14/06/2012,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02377,32.81,Afya Bora Project,03/08/2008,,,,,,,
Tabora,Tabora Urban,Cheyo,-5.03032,32.81616,Afya Jamii,07/10/2012,,,,,,,
Mbeya,Chunya,Itewe,-8.52097,33.42103,Afya Saccos,03/10/2004,,,,,,,
Dodoma,Dodoma Urban,Madukani,-6.18235,35.7446,Afya Saccos,17/04/2003,,,,,,,
Manyara,Hanang,Katesh,-4.51733,35.38953,Afya Saccos (Katesh),08/01/2005,,,,,,,
Mbeya,Kyela,Kyela Mjini,-9.6036,33.86916,Afya Saccos Kyela Hospital,22/10/2007,,,,,,,
Dar es Salaam,Kinondoni,Ubungo,-6.79033,39.21287,Agape Saccos,30/05/2005,,,,,,,
Shinyanga,Meatu,Mwanhuze,-3.52566,34.31258,Akiba Na Mikopo,09/12/2006,,,,,,,
Kagera,Bukoba Rural,Maruku,-1.40889,31.77799,Akiba Saccos Ltd,12/02/2008,,,,,,,
Shinyanga,Kahama,Segese,-3.53071,32.41778,Akina Mama Saccos,21/09/2012,,,,,,,
Tabora,Tabora Urban,Cheyo,-5.03519,32.81997,Alpha,16/10/2012,Yes,,Yes,,,,
Ruvuma,Namtumbo,Namtumbo,-10.46584,36.13561,Amacha Credit,11/11/2013,,,,,,,
Dodoma,Kondoa,Chandama,-5.14694,36.16906,Amani Group Sacoss,26/01/2009,,,,,,,
Dar es Salaam,Kinondoni,Kunduchi,-6.68714,39.20388,Amani Saccos,05/08/2002,Yes,Yes,Yes,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34714,36.48707,Amani Saccos,14/10/2010,,,,,,,
Shinyanga,Kahama,Isagehe,-3.87418,32.76338,Amani Saccos,03/10/2007,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02569,32.8149,Ameli Sacco,08/09/2005,,,,,,,
Kagera,Muleba,Izigo,-1.62757,31.71503,Amka Saccos Ltd,25/01/2013,,,,,,,
Mbeya,Mbeya Urban,Mwakibete,-8.91637,33.48834,Amkeni Sakosi,11/10/2009,,,,,,,
Lindi,Lindi Urban,Msinjahili,-10.00074,39.7158,Amkeniwomen Sacos,21/08/2006,,,,,,,
Arusha,Arusha,Kati,-3.36921,36.69395,Amsd Saccos,30/08/2002,,,,,,,
Dodoma,Kondoa,Goima,-5.10958,36.00597,Amsha Saccos,07/03/2009,,,,,,,
Iringa,Njombe,Njombe Mjini,-9.34983,34.77071,Anglican Diocese Of South West Tanganyika Saccos,14/05/2012,,,,,,,
Arusha,Arusha,Levolosi,-3.37257,36.69289,Ansa Saccos,14/10/2009,,,,,,,
Manyara,Mbulu,Bargish,-3.79554,35.55024,Antsi Saccos,12/11/2009,,,,,,,
Arusha,Arusha,Kaloleni,-3.37949,36.69031,Ar Women In Business,06/01/2003,,,,,,,
Tabora,Tabora Urban,Cheyo,-5.0346,32.81851,Arisa,08/10/2013,,,,,,,
Arusha,Arusha,Sekei,-3.36401,36.70905,Arumeru Teachers Saccos Ltd,15/10/2009,,,,,,,
Arusha,Arusha,Levolosi,-3.37264,36.69265,Arusha Almc Staff Saccos,09/10/2009,,,,,,,
Arusha,Arusha,Kati,-3.38142,36.70878,Arusha Club Saccos Ltd,01/12/2011,Yes,,Yes,,,,
Arusha,Arusha,Kati,-3.38398,36.71178,Arusha Cosmopolitian Saccos,25/06/1999,,,,,,,
Arusha,Arusha,Levolosi,-3.37088,36.69475,Arusha Kikikoma Saccos,16/10/2010,,,,,,,
Arusha,Arusha,Kati,-3.37046,36.69581,Arusha Municipal Workers SACCO,02/10/1989,,,,,,,
Arusha,Arusha,Sekei,-3.36409,36.70919,Arusha Meru Woman Saccos,01/11/2008,Yes,,Yes,,,,
Arusha,Arusha,Kati,-3.37188,36.68157,Arusha Modern Saccos,24/02/2014,,,,,,,
Arusha,Arusha,Kati,-3.3745,36.69332,Arusha Mshikamano,25/11/2006,,,,,,,
Arusha,Arusha,Kati,-3.38362,36.71117,Arusha Municipal Saccos,30/10/2008,,,,,,,
Arusha,Arusha,Kati,-3.36994,36.69523,Arusha Teachers Saccos,01/11/1997,,,,,,,
Arusha,Arusha,Levolosi,-3.3722,36.68299,Auwsa Saccos,25/04/2000,,,,,,,
Manyara,Babati,Babati,-4.21303,35.74681,Babati Saccos,15/08/2006,,,,,,,
Pwani,Bagamoyo,Dunda,-6.44553,38.90879,Bagamoyo Rutheran Church Saccos,28/06/2000,,,,,,,
Mbeya,Rungwe,Bagamoyo,-9.25279,33.64303,Bagamoyo Saccos,17/02/2007,,,,,,,
Kilimanjaro,Moshi Rural,Arusha Chini,-3.36178,36.69702,Balbera Saccos,26/08/2012,,,,,,,
Kagera,Bukoba Rural,Kaagya,-1.2087,31.41121,Baraka Saccos Ltd,24/02/1997,,,,,,,
Shinyanga,Bariadi,Bariadi,-2.79869,33.98878,Bariad Kurugenzi Saccos,12/10/2006,,,,,,,
Shinyanga,Bariadi,Bariadi,-2.79915,33.98866,Bariadi Teacher'S Savings,11/06/2006,,,,,,,
Tabora,Tabora Urban,Gongoni,-5.01667,32.81387,Basu Saccos,04/09/2009,,,,,,,
Mbeya,Kyela,Matema,-9.43207,33.97704,Bateko Saccos - Mababu Village,25/09/2003,,,,,,,
Mwanza,Misungwi,Misungwi,-2.83298,33.07871,Bayport Financial Service,04/01/2014,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90658,35.78799,Bayport Financial Services,15/10/2010,,,,,,,
Singida,Singida Urban,Ipembe,-4.82099,34.74926,Bdg Saccos Ltd,14/02/2009,,,,,,,
Tabora,Tabora Urban,Mbugani,-5.01905,32.80474,Benie Sacco,19/08/2007,,,,,,,
Kigoma,Kigoma Urban,Kigoma town,-4.87742,29.63991,Bethlehemu Saccos Ltd,23/09/2012,,,,,,,
Mbeya,Rungwe,Bulyaga,-9.25846,33.64273,Bewatu Saccos,10/06/2005,,,,,,,
Arusha,Arumeru,Kiranyi,-3.36503,36.69809,Bhunumbundi,04/11/2009,,,,,,,
Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.6707,33.4244,Biashara Saccos,16/03/2011,,,,,,,
Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.67067,33.42447,Biashara Saccos Ltd,09/04/2012,,,,,,,
Dodoma,Dodoma Urban,Madukani,-6.18038,35.74658,Biashara Savings And Credit Cooperative Society,10/12/2005,,,,,,,
Kagera,Biharamulo,Katende,-2.63574,31.31082,Biharamulo Women Saccos,24/06/2006,Yes,,Yes,,,,
Kagera,Biharamulo,Biharamulo Mjini,-2.63626,31.31255,Biwosa Saccos Ltd,17/01/2011,Yes,Yes,,,,,
Kigoma,Kibondo,Kakonko,-3.28196,30.96507,Bodaboda Saccos,04/07/2013,,,,,,,
Dodoma,Kondoa,Kolo,-4.81666,35.81285,Bolisa Saccos,20/10/2006,,,,,,,
Dodoma,Dodoma Urban,Viwandani,-6.17891,35.74999,Boma Kuu Saccos,14/06/2006,,,,,,,
Mbeya,Rungwe,Bulyaga,-9.26022,33.6475,Bomani Saccos,20/02/2011,,,,,,,
Mbeya,Rungwe,Kandete,-9.14841,33.79238,Bombaga Vicoba Group,15/09/2010,,,,,,,
Manyara,Babati,Bonga,-4.34921,35.73733,Bonga Group Saccos,08/11/2005,,,,,,,
Arusha,Arusha,Kati,-3.3711,36.69411,Bot Saccos,11/09/1989,,,,,,,
Arusha,Arumeru,Nkoanrua,-3.34414,36.77677,Brac,08/12/2013,,,,,,,
Arusha,Arusha,Kimandolu,-3.3692,36.73102,Brac Kimandolu Branch,10/06/2012,,,,,,,
Kagera,Bukoba Urban,Rwanishenye,-1.32237,31.79177,Brac Rwamishenyi Office,10/12/2010,,,,,,,
Arusha,Arumeru,Usa River,-3.36676,36.85774,Brac Sacco,10/07/2011,,,,,,,
Arusha,Arusha,Kati,-3.36938,36.69242,Braeburn Staff Saccos,13/08/2004,,,,,,,
Kagera,Muleba,Mubunda,-1.94588,31.51645,Bubonero Saccos Ltd,08/07/2006,,,,,,,
Kagera,Muleba,Ijumbi,-1.74781,31.62394,Buchwaihembe Saccos Ltd,10/01/2012,,,,,,,
Mbeya,Kyela,Ikolo,-9.60662,33.85141,Bugema Saccos,18/08/2007,,,,,,,
Kagera,Bukoba Urban,Bakoba,-1.3375,31.81488,Bukoba Saccos Ltd,25/10/2010,,,,,,,
Arusha,Arusha,Elerai,-3.37039,36.69489,Bulka Saccos,14/11/2003,,,,,,,
Mbeya,Rungwe,Bulyaga,-9.25742,33.64738,Bulyaga Saccos Tukuyu Mjini,20/02/1998,,,,,,,
Dar es Salaam,Kinondoni,Bunju,-6.61951,39.11348,Bunju Comminite Saccos,14/11/2006,Yes,,Yes,,Yes,,
Kagera,Bukoba Urban,Birere,-1.33208,31.80772,Burete Saccos Ltd,15/01/2012,,,,,,,
Mbeya,Kyela,Busole,-9.51857,33.7475,Busale Saccos Ltd,02/03/2007,,,,,,,
Dodoma,Kondoa,Busi,-4.8506,36.05274,Busi Saccos Ltd,18/07/2009,,,,,,,
Tabora,Tabora Urban,Gongoni,-5.01907,32.80484,Bwanakazi,20/11/2010,Yes,Yes,Yes,,Yes,,
Dar es Salaam,Kinondoni,Kimara,-6.79469,39.15259,Bwawani Saccos,08/04/2010,,,,,,,
Dodoma,Dodoma Rural,Buigiri,-6.09983,36.03875,Bwigili Sacoc,18/09/2010,,,,,,,
Shinyanga,Kahama,Malunga,-3.82219,32.59765,Cargo Saccos,01/03/2013,,,,,,,
Arusha,Arusha,Kimandolu,-3.38385,36.71098,Carvary Bathel Saccos,08/01/2006,,,,,,,
Dodoma,Kongwa,Mkoka,-5.81501,36.43464,Cavi Saccos,10/10/1998,,,,,,,
Arusha,Arumeru,Bangata,-3.37327,36.69208,Cc Africa Saccos,17/09/2006,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02393,32.81096,Ccm Saccos,11/06/2009,,,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.3456,36.47792,Ccu Saccos,20/04/2000,,,,,,,
Dar es Salaam,Kinondoni,Sinza,-6.7862,39.22528,Cdh Sacoss,23/09/2008,,,,,,,
Arusha,Arusha,Engutoto,-3.40372,36.70366,CFID SACCOS,20/11/2003,,,,,,,
Kilimanjaro,Rombo,Ubetu Kahe,-3.35091,37.34419,Chademai Youth Saccos,20/08/2011,,,,,,,
Shinyanga,Bariadi,Bariadi,-2.80169,33.98779,Chama Cha Akiba Na Mikopo,27/12/2006,,,,,,,
Kilimanjaro,Moshi Rural,Kirua Vunjo Mashariki,-3.39504,37.47103,Chama Cha Akiba Na Mikopo Kirua Vunjo Magharibi (Saccos),18/11/2009,,,,,,,
Shinyanga,Meatu,Mwanhuze,-3.52553,34.31267,Chama Cha Akiba Na Mikopo Vijana,18/02/2014,,,,,,,
Mwanza,Magu,Mkula,-2.24595,33.84944,Chama Cha Kukopa Na Kuweka Kalemera Saccos,24/02/2010,Yes,,Yes,,,,
Ruvuma,Songea Urban,Mshangano,-10.65399,35.64933,Chama Cha Umoja Wa Akina Mama Cha Kuweka Na Kukopa,08/11/2008,,,,,,,
Mwanza,Magu,Kiloleni,-2.59361,33.44189,Chama Cha Ushirika Cha Akiba Na Mikopo,18/01/2012,,,,,,,
Kagera,Bukoba Urban,Buhende,-1.28038,31.81598,Chama Cha Ushirika Cha Akiba Na Mikopo Tweyambe,03/08/2012,,,,,,,
Ruvuma,Songea Urban,Songea Mjini,-10.68031,35.64779,Chama Cha Ushirika Wa Akiba Na Mikopo,05/12/2009,,,,,,,
Ruvuma,Songea Urban,Songea Mjini,-10.67691,35.65128,Chama Cha Waalimu Tanzania,17/11/2013,Yes,,Yes,,,,
Dar es Salaam,Temeke,Chamazi,-6.97801,39.21392,Chamazi Saccos Ltd,18/09/2009,,,,,,,
Dodoma,Kongwa,Hogoro,-5.89242,36.4498,Chambasho Saccos,18/11/2002,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02559,32.81469,Chamita,02/07/2009,Yes,Yes,Yes,,,,
Mbeya,Rungwe,Bulyaga,-9.25787,33.64512,Chamiwaru Saccos Ltd,10/07/2003,,,,,,,
Dodoma,Kongwa,Chamkoroma,-6.32133,36.67005,Chamtuma Saccos,07/05/2004,,,,,,,
Dodoma,Dodoma Rural,Buigiri,-6.09993,36.03865,Chamwino Saccos,13/08/2007,,,,,,,
Ruvuma,Songea Urban,Songea Mjini,-10.67855,35.65158,Changanyikeni Saccos,28/11/2005,Yes,Yes,Yes,,,,
Manyara,Simanjiro,Loibor-Siret,-4.27194,36.3755,Chapakazi Saccos Lobor-Siret Ltd,02/06/2013,,,,,,,
Shinyanga,Maswa,Malampaka,-3.13864,33.52438,Chawama Saccos,05/02/2013,,,,,,,
Mbeya,Rungwe,Bulyaga,-9.25793,33.64599,Chawamitu Saccos Tukuyu Mjini,18/02/2007,,,,,,,
Tabora,Tabora Urban,Chemchem,-5.02258,32.81404,Chawata Sacco,28/07/2004,,,,,,,
Dar es Salaam,Temeke,Tandika,-6.86524,39.2628,Chawate Saccos,05/05/1997,,,,,,,
Ruvuma,Mbinga,Mbinga Urban,-10.95081,34.99843,Chemba Saccos,24/02/1989,,,,,,,
Kilimanjaro,Moshi Rural,Arusha Chini,-3.38415,37.32992,Chemchem Saccos,04/06/2005,,,,,,,
Tabora,Tabora Urban,Cheyo,-5.03496,32.81961,Children Support,08/02/2009,Yes,Yes,Yes,,Yes,,
Tabora,Tabora Urban,Kanyenye,-5.02144,32.80432,Childs Foundation,02/10/2007,,,,,,,
Mbeya,Mbarali,Chimala,-8.85673,34.01456,Chimala Saccos Benk Ltd,18/11/2001,,,,,,,
Mbeya,Mbozi,Chitete,-9.26535,32.84056,Chitete Saccos,06/02/2014,,,,,,,
Tabora,Tabora Urban,Gongoni,-5.01629,32.81322,Community Youth Forum Sacco,09/10/2003,,,,,,,
Arusha,Arusha,Kati,-3.37091,36.69601,Continental Saccos,02/04/2000,,,,,,,
Arusha,Arusha,Kati,-3.36954,36.69415,Cooling Bed Saccos,10/10/2007,,,,,,,
Singida,Iramba,Kiomboi,-4.27998,34.40853,Cooperative Society,17/03/2008,,,,,,,
Arusha,Arusha,Kati,-3.37366,36.68764,Cosmopolitian Arusha Saccos,20/11/2000,,,,,,,
Ruvuma,Namtumbo,Namtumbo,-10.47605,36.12848,Cwt Saccos,11/11/2013,,,,,,,
Arusha,Arumeru,Kikwe,-3.37204,36.68305,Devine Saccos,02/11/2010,,,,,,,
Tabora,Igunga,Igunga,-4.2977,33.87624,Dew,07/10/2008,,,,,,,
Tabora,Nzega,Nata,-3.87126,33.19582,Dezeva Center,21/03/2012,,,,,,,
Arusha,Arusha,Kati,-3.37194,36.6975,Dioces Saccos Arusha ,07/12/1997,,,,,,,
Dodoma,Dodoma Urban,Viwandani,-6.1808,35.74954,Dodoma Cct Saccos,14/08/2010,,,,,,,
Dodoma,Dodoma Urban,Madukani,-6.1824,35.74608,Dodoma Rural Teachers Saccos,03/06/2002,,,,,,,
Dodoma,Dodoma Urban,Miyuji,-6.1301,35.73706,Don Bosco Dodoma Saccos,11/11/2013,,,,,,,
Dar es Salaam,Temeke,Yombo Vituka,-6.87873,39.25109,Dovya Lutheran Church Saccos,27/06/2003,Yes,,Yes,,,,
Tabora,Tabora Urban,Cheyo,-5.03461,32.82007,Drug Abuse,19/08/2008,,,,,,,
Arusha,Arusha,Kimandolu,-3.38361,36.71101,Dukuya Saccoss,04/11/2005,,,,,,,
Arusha,Arumeru,Akheri,-3.37616,36.78324,Duluti Saccos,20/01/2004,,,,,,,
Arusha,Arumeru,Usa River,-3.37323,36.78633,Duluti Saccos,09/01/2010,,,,,,,
Mwanza,Ilemela,Ilemela,-2.51546,32.90188,Ebenezer Saccos Bank,17/03/2012,,,,,,,
Arusha,Arumeru,Usa River,-3.37415,36.8481,Eclof Saccos,10/10/2013,,,,,,,
Arusha,Arusha,Kati,-3.37167,36.69475,Edimond Rice Saccos,16/09/2010,,,,,,,
Dodoma,Kongwa,Kongwa,-6.19786,36.41318,Ega Saccos,06/02/2012,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.0256,32.80945,Egpaf,19/12/2004,,,,,,,
Arusha,Monduli,Engaruka,-3.36297,36.67515,Elcos Saccos,06/08/2006,,,,,,,
Arusha,Arusha,Kati,-3.37182,36.69484,Elct Hq Saccos,01/05/2008,,,,,,,
Arusha,Arusha,Kati,-3.37259,36.69475,Elturoto Saccos,02/01/2005,,,,,,,
Arusha,Arumeru,Moivo,-3.3572,36.68903,Embesi Saccos,15/10/2012,,,,,,,
Arusha,Arusha,Kati,-3.3722,36.69309,Enashiva Saccos,13/10/2004,,,,,,,
Arusha,Karatu,Endabash,-3.49484,35.66592,Endamarariek Saccos,28/09/2006,,,,,,,
Manyara,Hanang,Endasaki,-4.42394,35.50982,Endasaki Saccos Ltd,15/10/2006,,,,,,,
Arusha,Arusha,Kati,-3.37079,36.68705,Endes Saccos,19/11/2008,,,,,,,
Arusha,Monduli,Longido,-2.74187,36.70173,Eng'Ape Saccos,01/05/2006,,,,,,,
Arusha,Monduli,Engaruka,-3.3814,36.70857,Engesai Parish Saccos,14/11/2008,,,,,,,
Arusha,Arusha,Kati,-3.37083,36.67768,Engosengiu Saccos,16/08/2006,,,,,,,
Arusha,Arumeru,Kimnyaki,-3.37048,36.68065,Enyoito Saccos,11/07/2010,,,,,,,
Arusha,Monduli,Longido,-2.64014,36.70052,Enyora Saccos,10/01/2002,,,,,,,
Arusha,Arumeru,Akheri,-3.37374,36.786,Enza Saccos,01/10/2008,Yes,,Yes,,,,
Arusha,Arusha,Levolosi,-3.36574,36.68465,Ephata Mafanikio Saccos,17/01/2008,,,,,,,
Arusha,Arusha,Kati,-3.37067,36.69534,Equator Saccos,12/03/2009,Yes,,,,,,
Tabora,Tabora Urban,Cheyo,-5.02552,32.81725,Equip Tanzaniaa,03/12/2010,,,,,,,
Arusha,Monduli,Engaruka,-3.38351,36.71107,Equity For Tanzania,10/12/2005,,,,,,,
Morogoro,Morogoro Urban,Boma,-6.82909,37.66904,Ettoc Consultancy Limited,19/04/2007,,,,,,,
Arusha,Arumeru,Moshono,-3.37264,36.69439,Eumata Saccos,01/10/2007,,,,,,,
Tabora,Tabora Urban,Itetemia,-5.02867,32.80727,Eye Care,08/07/2012,,,,,,,
Arusha,Arusha,Kati,-3.36852,36.69458,Fahari Yetu Saccos,03/09/1996,,,,,,,
Kagera,Biharamulo,Biharamulo Mjini,-2.63485,31.3118,Faiders.,01/09/1995,,,,,,,
Shinyanga,Maswa,Nyalikungu,-3.18286,33.78036,Faidiaka,06/03/2010,,,,,,,
Ruvuma,Namtumbo,Namtumbo,-10.46579,36.13578,Faidika Namtumbo,11/11/2012,,,,,,,
Ruvuma,Songea Urban,Songea Mjini,-10.67925,35.65198,Faidika Saccos,17/11/2013,,,,,,,
Kagera,Biharamulo,Katende,-2.63552,31.31256,Faidika Saccos,24/06/2003,,,,,,,
Kagera,Biharamulo,Biharamulo Mjini,-2.63416,31.3111,Faidika Saccos Ltd,25/05/2010,,,,,,,
Tabora,Tabora Urban,Gongoni,-5.01912,32.80935,Fame,10/11/2006,,,,,,,
Kilimanjaro,Rombo,Makiidi,-3.28795,37.51045,Faraja Catering Saccos,12/06/2013,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.01968,32.80468,Feisal,20/11/2010,,,,,,,
Tabora,Tabora Urban,Isevya,-5.01568,32.81217,Fida,03/10/2007,,,,,,,
Arusha,Arumeru,Usa River,-3.37558,36.84894,Fides Saccos,18/01/2007,,,,,,,
Mwanza,Geita,Kalangala,-2.87221,32.23359,Finca,11/03/2012,,,,,,,
Kagera,Bukoba Urban,Buhende,-1.33013,31.8086,Finca,28/03/2007,,,,,,,
Dodoma,Dodoma Urban,Viwandani,-6.17496,35.74759,Flogham Finanicial Seves,16/03/2012,Yes,,Yes,,,,
Mbeya,Mbeya Urban,Forest (Mbeya ward),-8.90618,33.44751,Forest Lutheran Saccos,20/05/2012,,,,,,,
Tabora,Tabora Urban,Isevya,-5.01675,32.81318,Fransisco,05/08/2006,,,,,,,
Arusha,Arusha,Ngarenaro,-3.36151,36.67546,Freidking Saccos,15/01/2000,,,,,,,
Mwanza,Misungwi,Misungwi,-2.62543,32.9464,Fsa Mkolan Saccos Limited,08/01/2011,,,,,,,
Mwanza,Nyamagana,Mkuyuni,-2.60199,32.93149,Fsa Mkolani Saccos,30/09/2005,Yes,,Yes,,,,
Mwanza,Nyamagana,Mkuyuni,-2.55865,32.91319,Fsa Saccos,29/10/2009,,,,,,,
Manyara,Babati,Gallapo,-4.28674,35.85357,Gallapo Farmers Saccos,10/03/2006,,,,,,,
Mwanza,Nyamagana,Nyamagana,-2.62385,32.94541,Gamas Savings Finance,11/06/2013,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02282,32.81379,Gasper,30/01/2010,,,,,,,
Mwanza,Geita,Kalangala,-2.87148,32.23461,Geita Saccos Bank,19/02/2007,,,,,,,
Arusha,Karatu,Rhotia,-3.3903,35.70507,Gelame Saccos Ltd,28/01/2006,,,,,,,
Manyara,Babati,Singe,-4.25737,35.74717,Gendi Saccos,10/12/1988,,,,,,,
Dodoma,Kondoa,Goima,-5.1461,35.97026,Goima Saccos,06/02/2010,,,,,,,
Ruvuma,Songea Urban,Bomba Mbili,-10.65555,35.65348,Green Hill Saccos,08/11/2012,,,,,,,
Ruvuma,Songea Rural,Gumbiro,-9.90165,35.44848,Gumbiro Caccos Text Calls,23/02/2014,,,,,,,
Manyara,Mbulu,Gehandu,-3.84348,35.5709,Guwangw Irrigation Saccos,01/11/2003,,,,,,,
Mbeya,Rungwe,Kandete,-9.14706,33.79476,Gwalikugu Saccos,18/01/2011,,,,,,,
Kilimanjaro,Hai,Hai Mjini,-3.33253,37.14641,H.R.T Saccos (Fosa),16/09/2007,,,,,,,
Arusha,Arusha,Levolosi,-3.36561,36.69662,Habari Maalum Saccos,03/09/2000,,,,,,,
Kilimanjaro,Hai,Hai Mjini,-3.34777,37.33683,Hai Rural Teachers Saccos,07/10/2005,,,,,,,
Kilimanjaro,Hai,Hai Mjini,-3.35424,37.33721,Hai Teachers' Saccos,01/07/2010,Yes,,Yes,,,,
Dar es Salaam,Ilala,Kisutu,-6.82153,39.28098,Hajj Trust Saccos Limited,25/12/2011,,,,,,,
Arusha,Arumeru,Kimnyaki,-3.39846,36.71269,Hanspaul Workers Saccos,20/10/2008,,,,,,,
Manyara,Hanang,Katesh,-4.52131,35.38124,Hekima Saccos,14/10/2010,Yes,,Yes,,,,
Mbeya,Rungwe,Kandete,-9.14874,33.79212,Hiari Saccos Ltd,13/06/2006,,,,,,,
Arusha,Arusha,Kati,-3.3721,36.69447,Hifadhi Saccos,29/11/1999,,,,,,,
Mwanza,Nyamagana,Mkuyuni,-2.55935,32.91441,Hodea,01/01/2010,,,,,,,
Ruvuma,Songea Urban,Mshangano,-10.64949,35.64641,Hoja Project Songea,01/11/2010,,,,,,,
Arusha,Arusha,Kimandolu,-3.37182,36.70522,Hotel 77 Saccos,05/12/1983,,,,,,,
Shinyanga,Kahama,Mwendakulima,-3.83249,32.62063,Human Develepment Association Saccos,12/03/2013,,,,,,,
Arusha,Arusha,Kati,-3.36923,36.69467,Iaa Saccoss,30/10/2001,,,,,,,
Kagera,Muleba,Kamachumu,-1.62081,31.61935,Ibuga Parish Saccos,20/05/1999,,,,,,,
Kagera,Muleba,Kamachumu,-1.62067,31.61932,Ibuga Saccos Ltd,04/09/2009,,,,,,,
Kagera,Bukoba Urban,Kideta,-1.33711,31.78814,Ibura Saccos Ltd,17/05/2012,,,,,,,
Arusha,Arusha,Kati,-3.37745,36.68913,Ich. Staff Saccos,06/01/2002,,,,,,,
Mbeya,Mbozi,Igamba,-8.98482,32.93179,Igamba Saccos,15/05/2006,,,,,,,
Mbeya,Mbarali,Madibira,-8.58366,34.4748,Igava Saccos,30/01/2009,,,,,,,
Tabora,Igunga,Igunga,-4.29766,33.87644,Igunga Sacco,05/12/2004,,,,,,,
Tabora,Igunga,Igunga,-4.28697,33.87472,Igunga Teachers Saccos Ltd,01/04/2002,,,,,,,
Tabora,Igunga,Igurubi,-4.29781,33.87614,Igurubi Sacco,05/09/2005,,,,,,,
Kagera,Muleba,Kashasha,-1.79989,31.58881,Ihangiro Saccos Ltd,03/07/2011,,,,,,,
Mbeya,Kyela,Ikolo,-9.63558,33.88308,Ikolo Saccos,20/10/2007,,,,,,,
Singida,Singida Rural,Ikungi+B2253,-5.12782,34.76843,Ikungi Saccos,11/06/2008,,,,,,,
Mbeya,Rungwe,Ikuti,-9.29836,33.53167,Ikuti Saccos Ltd,26/03/2004,,,,,,,
Mbeya,Ileje,Itumba,-9.41035,33.18622,Ileje Employee Saccos,30/12/1993,,,,,,,
Mbeya,Mbeya Urban,Ilemi,-8.90271,33.46284,Ilemi Saccos Mbr Reg 789,04/01/2014,,,,,,,
