region,district,ward,latitude,longitude,SACCO_name,SACCO_yr_started,linked_mob_fin_services,tigo_pesa,m_pesa,ezy_pesa,airtel_cash,other_mob_fin_services,other_mob_fin_services_detail
Mbeya,Rungwe,Ilima,-9.3394,33.66295,Ilima Saccos,25/02/2007,,,,,,,
Singida,Singida Rural,Ilongero,-4.67053,34.87303,Ilongero Saccos,03/08/2010,,,,,,,
Mbeya,Kyela,Ipinda,-9.48249,33.87711,Ilopa Group,25/05/2013,,,,,,,
Lindi,Lindi Urban,Makonde,-9.99933,39.7167,Ilulusacco,06/02/2006,Yes,Yes,,,Yes,,
Mara,Tarime,Tarime,-1.49462,33.80915,Imara Saccos,01/06/2012,,,,,,,
Mbeya,Mbozi,Vwawa,-9.1081,32.93543,Imperial,06/02/2014,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.76804,39.2295,Inawezekana Saccoos,20/02/2013,,,,,,,
Arusha,Monduli,Engaruka,-3.29632,36.44713,Inyuat Emoita Saccos,24/01/2010,,,,,,,
Mbeya,Kyela,Ipinda,-9.48296,33.88304,Ipinda Amcos,25/02/2003,,,,,,,
Mbeya,Kyela,Ipinda,-9.48296,33.88332,Ipinda Saccos,03/04/2007,,,,,,,
Singida,Iramba,Kiomboi,-4.27777,34.4104,Iramba Teachers Saccos,10/05/1990,,,,,,,
Shinyanga,Kahama,Isaka,-3.90513,32.9466,Isaka Saccos,27/07/2009,,,,,,,
Mwanza,Ilemela,Ilemela,-2.51029,32.90113,Isamilo Saccos,13/01/2012,,,,,,,
Mbeya,Mbozi,Isansa,-8.92529,32.96895,Isansa Saccos,02/04/2002,,,,,,,
Mbeya,Mbozi,Ihanda,-9.06403,32.97113,Isumi Amcos Ltd,01/12/1983,,,,,,,
Shinyanga,Kahama,Kahama Mjini,-3.82058,32.60162,Jackson Tunakopesha,20/10/2013,,,,,,,
Mbeya,Mbarali,Utengule,-8.76026,33.79477,Jakaya Saccos,04/02/2014,,,,,,,
Mara,Bunda,Neruma,-1.76432,33.85402,Jamaa Saccos,23/10/2007,Yes,,Yes,,Yes,,
Manyara,Babati,Babati,-4.21894,35.74788,Jamii Farm Africa Sacos,11/02/1998,,,,,,,
Arusha,Arusha,Ngarenaro,-3.37505,36.6805,Jamio Saccos,28/11/2002,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02342,32.8089,Jhg,20/10/2009,,,,,,,
Mara,Tarime,Tarime,-1.34534,34.38328,Jiendeleze Saccos,13/03/2013,,,,,,,
Tabora,Tabora Urban,Isevya,-5.01672,32.81266,Jijari Ujirinde,08/07/2010,,,,,,,
Shinyanga,Shinyanga Urban,Kambarage,-3.67016,33.41993,Jijenge Saccos,27/11/2013,,,,,,,
Arusha,Arumeru,Kikwe,-3.37219,36.68134,Jikomboe Saccos,05/09/2012,,,,,,,
Mbeya,Rungwe,Katumba,-9.21816,33.64475,Jilanjo Ukombozi,23/02/2010,,,,,,,
Singida,Iramba,Nduguti,-4.30519,34.70244,Jima Saccos Ltd,14/06/2008,,,,,,,
Singida,Iramba,Shelui,-4.35993,34.19565,Jipemoyo Saccos Ltd,18/05/2010,Yes,,Yes,,,Yes,
Tabora,Tabora Urban,Isevya,-5.01658,32.81269,Jitambue,02/07/2008,,,,,,,
Mara,Serengeti,Ring'wani,-1.50971,33.80597,Jitegeme Saccos,01/02/2012,Yes,,Yes,,,,
Shinyanga,Bariadi,Bariadi,-2.80242,33.98962,Jitegemee Saccos,31/01/2001,,,,,,,
Mbeya,Rungwe,Isongole,-9.0337,33.60605,Jitihada Saca Rungwe - Isongole,28/02/2004,,,,,,,
Arusha,Arusha,Kimandolu,-3.37024,36.68544,Jitume Plus Finance,04/01/2007,,,,,,,
Arusha,Arumeru,Usa River,-3.37352,36.84866,Jobet Financial Service,07/12/2014,Yes,,Yes,,,,
Singida,Manyoni,Itigi,-5.69563,34.4988,Joseph Matumaini Huduma Ltd,30/05/2008,,,,,,,
Singida,Manyoni,Manyoni,-5.74755,34.83685,Joseph S. Raongo Saccos Ltd,16/05/2008,,,,,,,
Arusha,Arusha,Kati,-3.3744,36.68849,Jr Staff Saccos,11/10/2013,,,,,,,
Mbeya,Kyela,Kyela Mjini,-9.60181,33.86555,Juhudi Kyela Saccos Reg Mbr 528,21/12/2011,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90435,35.7955,Juhudi Afya Saccos,14/07/2008,,,,,,,
Mbeya,Kyela,Kyela Mjini,-9.60206,33.86571,Juhudi Saccos Ltd,23/11/2006,,,,,,,
Mwanza,Nyamagana,Pamba,-2.52256,32.90491,Jumak Saccos Ltd,16/01/2011,,,,,,,
Kagera,Muleba,Muleba,-1.84246,31.65286,Jumuika Saccos Ltd,28/01/2013,,,,,,,
Mbeya,Rungwe,Lufingo,-9.28999,33.60039,Kagwina Amcos,03/02/1993,,,,,,,
Shinyanga,Kahama,Kahama Mjini,-3.82284,32.58845,Kahama District Education Trust Fund,07/05/2006,,,,,,,
Kilimanjaro,Moshi Rural,Kahe Mashariki (East),-3.36166,36.69729,Kahe Women With Vision Saccos (Bar),22/08/2012,,,,,,,
Kilimanjaro,Hai,Hai Mjini,-3.33551,37.14693,Kai Saccos,08/08/2006,,,,,,,
Mbeya,Kyela,Kajunjumele,-9.59486,33.93562,Kajunjumele Saccos Ltd,24/09/2002,,,,,,,
Kilimanjaro,Hai,Machame Kaskazini,-3.21861,37.22248,Kalali Dairy Co-Operative Society Ltd,18/05/2008,,,,,,,
Kilimanjaro,Hai,Machame Kusini,-3.2187,37.22076,Kalali Saccos,11/09/2000,,,,,,,
Kilimanjaro,Rombo,Ushiri Ikuini,-3.35466,37.33041,Kalembo Bar & Guest House,15/08/2010,,,,,,,
Kagera,Muleba,Kamachumu,-1.62214,31.61628,Kamachumu Plateua Saccos Ltd,08/03/1998,Yes,Yes,Yes,,,,
Dar es Salaam,Temeke,Mtoni,-6.88501,39.27817,Kanaani Saccos,18/05/2010,Yes,,Yes,,,,
Shinyanga,Kahama,Ulowa,-4.21079,32.1516,Kangeme,05/01/2011,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02428,32.80869,Kanyenye Sacco,17/10/2011,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.0245,32.81198,Kape,06/11/2011,,,,,,,
Tabora,Tabora Urban,Gongoni,-5.01676,32.81382,Kapella Sacco,20/06/2009,,,,,,,
Kagera,Karagwe,Kayanga,-1.53443,31.15596,Karadea Saccos Ltd,18/10/2006,,,,,,,
Kilimanjaro,Moshi Urban,Karanga,-3.35771,37.32434,Karanga Saccos,10/11/2003,Yes,,Yes,,,,
Kilimanjaro,Moshi Urban,Karanga,-3.32541,37.34933,Karanga Women Saccos,10/05/2010,,,,,,,
Arusha,Karatu,Karatu,-3.34513,35.67121,Karatu District Council Saccos,17/01/2001,,,,,,,
Arusha,Karatu,Karatu,-3.34122,35.66567,Karatu District Teachers Saccos Ltd,24/01/1997,,,,,,,
Arusha,Karatu,Karatu,-3.33883,35.66703,Karatu Elct Saccos,22/01/1997,,,,,,,
Dar es Salaam,Kinondoni,Sinza,-6.77329,39.22348,Karida Saccos,26/11/2009,,,,,,,
Rukwa,Sumbawanga Urban,Katandala,-7.96836,31.61901,Kasama Wantu Saccos,28/05/2008,,,,,,,
Mwanza,Geita,Katoro,-3.00468,31.92474,Kasembe Mabamba,14/12/2013,Yes,,Yes,,,,
Singida,Singida Urban,Mughanga,-4.8159,34.75461,Kasi Mpya Saccos,25/08/2006,,,,,,,
Kagera,Karagwe,Kituntu,-1.41836,31.14534,Katembe Saccos Ltd,30/03/2005,,,,,,,
Arusha,Arusha,Kati,-3.37349,36.68782,Kati Saccos,23/02/2006,,,,,,,
Mbeya,Rungwe,Katumba,-9.22228,33.64177,Katumba Amcos,25/02/2003,,,,,,,
Mbeya,Rungwe,Katumba,-9.21959,33.64391,Katumba Chai Saccos,01/02/1993,,,,,,,
Kagera,Karagwe,Kayanga,-1.53217,31.155,Kawosa Saccos Ltd,10/01/2012,,,,,,,
Tabora,Tabora Urban,Cheyo,-5.02278,32.80914,Kazamwendo,07/03/2012,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.0227,32.80931,Kazehil Saccos,17/01/2009,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.89477,39.1652,Kblc Saccos,23/12/2011,,,,,,,
Kagera,Bukoba Urban,Mimbeni,-1.3359,31.81646,Kcu Saccos Ltd,04/09/1988,,,,,,,
Kagera,Karagwe,Kayanga,-1.54039,31.15456,Kdcu Workers Saccos Ltd,10/06/2010,,,,,,,
Mara,Tarime,Kemambo,-1.46138,34.53303,Kema Saccos,01/11/2013,,,,,,,
Kilimanjaro,Rombo,Makiidi,-3.3546,37.33019,Kemrime Saccos (Molases Centre),02/03/2011,,,,,,,
Dar es Salaam,Temeke,Kigamboni,-6.83043,39.31517,Kibabane Saccos,16/09/2009,,,,,,,
Dodoma,Kongwa,Kibaigwa,-6.075,36.64378,Kibaigwa Saccos,09/01/2008,,,,,,,
Dodoma,Dodoma Urban,Madukani,-6.17614,35.74493,Kibo Saccos,13/04/2004,,,,,,,
Kilimanjaro,Moshi Urban,Kiusa,-3.35599,37.33209,Kibo Savings & Credit Society Ltd,08/07/2001,,,,,,,
Kilimanjaro,Moshi Rural,Kahe Mashariki (East),-3.35324,37.33593,Kibol Saccos,14/05/2000,Yes,Yes,Yes,,Yes,,
Kigoma,Kibondo,Kibondo Mjini,-3.58531,30.72002,Kibondo Hopes Saccos,26/02/2006,,,,,,,
Kigoma,Kibondo,Kibondo Mjini,-3.58444,30.71763,Kibondo Teachers Saccos,26/02/1999,,,,,,,
Iringa,Njombe,Luduga,-9.55105,35.10907,Kifanya Saccos,28/07/2006,Yes,,Yes,,,,
Dodoma,Kongwa,Kibaigwa,-6.08105,36.64658,Kifi Saccoss,21/09/2000,,,,,,,
Kilimanjaro,Mwanga,Kifula,-3.39513,37.47089,Kifula Chini Saccos,02/06/2010,,,,,,,
Kilimanjaro,Mwanga,Kighare,-3.3552,37.3307,Kighare Sifuni Choir Saccos,15/08/2010,,,,,,,
Kilimanjaro,Mwanga,Kighare,-3.35546,37.3343,Kighare Welding Youth Saccos,10/02/2010,Yes,,Yes,,,,
Ruvuma,Mbinga,Kigonsera,-10.7955,35.08281,Kigonsera Saccos,18/11/2007,,,,,,,
Ruvuma,Mbinga,Litembo,-10.92884,34.85229,Kihagano Saccos,03/12/2013,,,,,,,
Arusha,Arusha,Kimandolu,-3.38355,36.71103,Kijenge Animal Product,29/12/2004,,,,,,,
Arusha,Arusha,Oloirien,-3.38406,36.70956,Kijenge Rc Saccos,01/04/2007,Yes,,Yes,,,,
Kilimanjaro,Moshi Urban,Longuo,-3.30659,37.33088,Kikalola Saccos,09/02/2009,Yes,,Yes,,,,
Arusha,Arumeru,Kikatiti,-3.3874,36.94236,Kikatiti Saccos Ltd,30/07/2010,,,,,,,
Singida,Iramba,Kaselya,-4.68797,34.46285,Kikonge Saccos,25/05/2005,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.84086,39.20178,Kikua Sacco,27/09/2011,,,,,,,
Ruvuma,Mbinga,Kigonsera,-10.79734,35.0818,Kikundi Cha Jitambue Kigonsera,18/11/2013,,,,,,,
Ruvuma,Songea Urban,Mshangano,-10.54257,35.6141,Kikundi Cha Muungano - Mpandangindo,13/11/2004,,,,,,,
Kilimanjaro,Moshi Rural,Uru Kaskazini,-3.3583,37.33846,Kilahia Women Dairy Saccos,12/03/2013,,,,,,,
Kilimanjaro,Rombo,Kelamfua Mokala,-3.19096,37.6083,Kilemfua Mokala Saccos,26/03/2008,,,,,,,
Mwanza,Ilemela,Nyamanoro,-2.49206,32.90728,Kilimahewa Saccos,20/04/2011,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.0252,32.81206,Kilimo Sacco,18/06/2005,,,,,,,
Manyara,Hanang,Katesh,-4.523,35.37512,Kilimo Saccos,01/07/2003,,,,,,,
Lindi,Lindi Urban,Mitande,-9.99461,39.71098,Kilisacco,29/10/1996,Yes,Yes,Yes,,Yes,Yes,NMB Mobile
Arusha,Arusha,Levolosi,-3.37389,36.67897,Kilombero Saccos,01/02/2006,Yes,,Yes,,Yes,,
Morogoro,Kilombero,Ifakara,-8.14302,36.67823,Kilombero Teachers Saccos,22/09/2001,,,,,,,
Kilimanjaro,Mwanga,Kilomeni,-3.3457,37.32219,Kilomeni Kkkt Saccoss,21/08/2009,,,,,,,
Arusha,Arusha,Unga L.T.D.,-3.40295,36.66704,Kimahama Saccos,26/09/2005,,,,,,,
Arusha,Arusha,Lemara,-3.37122,36.68601,Kimandolu Utu Family,18/11/2006,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.82983,39.20549,Kimanga Saccos,20/12/2011,,,,,,,
Dar es Salaam,Kinondoni,Kimara,-6.78225,39.15657,Kingongo,09/02/2009,,,,,,,
Mbeya,Rungwe,Kinyala,-9.11799,33.49265,Kinyala Saccos,24/02/2004,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.76642,39.22916,Kinyamvuo,24/01/2008,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.76622,39.22904,Kinyanvuo Saccos,01/01/2008,Yes,,Yes,,,,
Tabora,Tabora Urban,Gongoni,-5.01813,32.80381,Kipama Saccos Ltd,20/07/2012,,,,,,,
Mbeya,Chunya,Lupa Tingatinga,-8.03621,33.26726,Kipembawe Saccos Ltd,10/10/2012,,,,,,,
Dar es Salaam,Ilala,Kitunda,-6.88926,39.18799,Kipunguni Saccos,01/10/2010,,,,,,,
Morogoro,Morogoro Rural,Kiroka,-6.842,37.82354,Kiroka Ukombozi Saccos,25/04/2007,,,,,,,
Arusha,Arusha,Kati,-3.37271,36.69276,Kirumbi Saccos,15/11/2006,,,,,,,
Arusha,Arusha,Kati,-3.37259,36.69298,Kisam Sam Saccos,19/02/2014,,,,,,,
Pwani,Kisarawe,Kisarawe,-6.90665,39.07409,Kisarawe Teachers Saccos Ltd,09/11/2007,,,,,,,
Shinyanga,Kishapu,Kishapu,-3.6196,33.81212,Kishapu Saccoss,22/04/2006,,,,,,,
Arusha,Arumeru,Kisongo,-3.37343,36.57382,Kisolupa Saccos,10/01/2013,,,,,,,
Shinyanga,Shinyanga Urban,Ibinzamata,-3.6792,33.42355,Kitangili Saccos,09/10/2010,,,,,,,
Kagera,Muleba,Ibuga,-1.62632,31.61253,Kitengo Saccos Ltd,28/03/2011,,,,,,,
Manyara,Kiteto,Kibaya,-5.31518,36.5656,Kiteto Agriculture Saccos,14/11/2003,,,,,,,
Dar es Salaam,Ilala,Upanga East,-6.80441,39.28478,Kitonga Hope Saccos Drs 969,01/03/2013,,,,,,,
Dar es Salaam,Ilala,Chanika,-7.00582,39.08259,Kitunda Co Operative Saving & Credit Society Ltd,04/01/2007,,,,,,,
Dar es Salaam,Ilala,Kitunda,-6.90232,39.1714,Kitunda Saccos Ltd,11/12/2002,,,,,,,
Lindi,Lindi Rural,Kiwalala,-10.19256,39.53591,Kiwalala Saccos,10/03/2008,,,,,,,
Pwani,Mkuranga,Mkuranga,-7.12191,39.20558,Kiwama Saccos,11/04/2010,,,,,,,
Dar es Salaam,Ilala,Tabata,-6.84117,39.21192,Kiwamali,10/10/2009,Yes,Yes,Yes,,,,
Pwani,Bagamoyo,Kiwangwa,-6.37199,38.58222,Kiwangwa Saccos,22/01/2010,,,,,,,
Mbeya,Rungwe,Kiwira,-9.16941,33.54216,Kiwira Saccos,03/06/2010,,,,,,,
Pwani,Kisarawe,Kisarawe,-6.97747,38.99912,Kiwmali,28/01/2014,Yes,Yes,Yes,,,,
Arusha,Arusha,Kimandolu,-3.37326,36.70456,Kk Security Saccos,11/02/2013,,,,,,,
Dodoma,Dodoma Urban,Kiwanja cha Ndege,-6.16769,35.74783,Kkkt Arusha Rod Sacoss,25/05/2004,Yes,Yes,Yes,,,Yes,
Dodoma,Kongwa,Kongwa,-6.19523,36.41084,Kkkt Kongwa Saccos,07/11/2013,,,,,,,
Arusha,Arumeru,Mbuguni,-3.38333,36.7114,Kkkt Mbulumbulu,02/10/2005,,,,,,,
Kilimanjaro,Hai,Siha Kaskazini,-3.3468,37.3441,Kkkt Nkoarungo Saccos,15/07/2011,,,,,,,
Kilimanjaro,Hai,Machame Kaskazini,-3.21989,37.2201,Kkkt Uduru Saccos,31/05/2006,,,,,,,
Dar es Salaam,Temeke,Mjimwema,-6.85305,39.35487,Koc Saccos,04/02/2013,,,,,,,
Dodoma,Kongwa,Kongwa,-6.19671,36.41304,Kodi Saccos,31/10/2001,,,,,,,
Arusha,Arumeru,Akheri,-3.37163,36.69487,Koinere Saccos,02/10/2008,,,,,,,
Kagera,Muleba,Biirabo,-1.85752,31.57117,Kolping Family Kabare,13/02/2007,,,,,,,
Arusha,Monduli,Engaruka,-3.37124,36.68371,Komolonik Saccos,10/10/2010,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90856,35.78954,Kondoa Saccos,03/12/2013,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.9051,35.78451,Kondoa Teachers Saccos,03/01/2009,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90564,35.78448,Kondoa Womens Saccos,19/05/2005,,,,,,,
Dodoma,Kongwa,Kongwa,-6.1959,36.40948,Kote Saccos,03/01/1999,,,,,,,
Arusha,Arusha,Unga L.T.D.,-3.37708,36.68597,Krok Saccos,22/12/2002,,,,,,,
Shinyanga,Bukombe,Runzewe,-3.39759,31.44999,Kukombolewa Saccos,05/04/2013,,,,,,,
Mbeya,Chunya,Itewe,-8.52684,33.4239,Kulugenzi Saccos,23/08/1982,,,,,,,
Mbeya,Mbeya Rural,Bonde la Usongwe,-8.9477,33.24354,Kumekucha Saccos,03/07/1991,,,,,,,
Singida,Manyoni,Itigi,-5.70311,34.49551,Kumekucha Saccos,21/03/2000,,,,,,,
Manyara,Hanang,Katesh,-4.51712,35.38953,Kurugenzi Saccos,01/05/1993,,,,,,,
Arusha,Arumeru,Kikwe,-3.37355,36.69051,Kurugenzi Saccos,06/08/1989,,,,,,,
Ruvuma,Mbinga,Mbinga Urban,-10.9448,34.99411,Kurugenzi Saccos Reg 267,24/02/1979,,,,,,,
Arusha,Arusha,Kati,-3.36928,36.6932,Kusure Saccos,15/10/2008,,,,,,,
Shinyanga,Shinyanga Urban,Kambarage,-3.67024,33.42027,Kutayaba Saccos,22/04/2010,,,,,,,
Pwani,Rufiji,Ikwiriri,-7.9536,38.98727,Kutayba,12/08/2013,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02448,32.80915,Kutayba Sacco Ltd,18/11/2012,,,,,,,
Ruvuma,Songea Urban,Songea Mjini,-10.67724,35.65057,Kutayba Saccos,05/11/2013,,,,,,,
Mbeya,Mbeya Urban,Maanga,-8.90853,33.45926,Kutayba Saccos,15/10/2010,Yes,,,,,,
Manyara,Hanang,Katesh,-4.52257,35.38268,Kutayba Saccos,01/07/2013,,,,,,,
Arusha,Arusha,Kaloleni,-3.37111,36.68739,Kutayba Saccos,21/09/2007,,,,,,,
Dar es Salaam,Ilala,Buguruni,-6.83544,39.25214,Kutayba Saccos Ltd,15/09/2010,,,,,,,
Dodoma,Dodoma Urban,Majengo,-6.17865,35.74213,Kutayba Saccos Ltd,15/10/2011,,,,,,,
Manyara,Kiteto,Kibaya,-5.31181,36.5614,Kutayba Saccos Ltd,25/10/2013,,,,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90277,35.77648,Kutayba Saccos Ltd,29/10/2012,,,,,,,
Manyara,Babati,Babati,-4.21244,35.7469,Kutayba Saccos Ltd,01/06/2012,,,,,,,
Shinyanga,Shinyanga Urban,Shinyanga Mjini,-3.67033,33.42055,Kutayba Saccos Ltd,31/01/2014,,,,,,,
Kagera,Bukoba Urban,Hamgende,-1.32296,31.80137,Kutayba Saccos Ltd,19/01/2014,,,,,,,
Lindi,Lindi Urban,Makonde,-10.00038,39.71596,Kutaybasacos,15/10/2010,,,,,,,
Singida,Singida Urban,Majengo,-4.82072,34.75371,Kutyba Saccos,12/10/2010,,,,,,,
Arusha,Arumeru,Akheri,-3.37323,36.77345,Kuwawayata Saccos,19/02/2014,,,,,,,
Rukwa,Sumbawanga Urban,Katandala,-7.95937,31.61596,Kuytaba Saccos Ltd,15/10/2011,,,,,,,
Dodoma,Kongwa,Kongwa,-6.19706,36.41215,Kwosaccos-Kongwa,08/06/2010,,,,,,,
Kagera,Misenyi,Muhutwe,-1.25339,31.42331,Kyaka Saccos Ltd,16/12/2008,,,,,,,
Mbeya,Kyela,Ikama,-9.50005,33.89934,Kyangala Saccos,31/01/2014,,,,,,,
Mbeya,Kyela,Kyela Mjini,-9.58605,33.85614,Kyela Sacco Tet,31/01/2014,Yes,,Yes,,,,
Mbeya,Rungwe,Kyimo,-9.20888,33.5895,Kyimo Saccos Ltd,03/07/2003,,,,,,,
Manyara,Babati,Singe,-4.25715,35.74726,Lake Teachers Saccos Ltd,27/10/2005,,,,,,,
Shinyanga,Maswa,Lalango,-3.4448,33.95263,Lalago Tuinuane Saccos,15/10/2007,,,,,,,
Rukwa,Mpanda,Kashaulili,-6.33851,31.07032,Latcu Saccos,23/12/2007,,,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.3498,36.48726,Let Shego,16/05/2012,,,,,,,
Dar es Salaam,Temeke,Mbagala,-6.92435,39.26896,Let Women Together Co.Ltd(Lewotoco),05/05/2013,,,,,,,
Arusha,Arusha,Kaloleni,-3.36887,36.68167,Likamba Saccos,12/01/2000,,,,,,,
Lindi,Lindi Urban,Makonde,-9.99774,39.71714,Lindi Teachers Saccos Limited,18/03/1999,,,,,,,
Lindi,Lindi Urban,Wireless,-10.00051,39.70973,Lindi Town Teachers Saccos,18/05/2005,,,,,,,
Ruvuma,Namtumbo,Luwegu,-10.55971,35.93095,Litola Saccos,12/11/2013,,,,,,,
Lindi,Liwale,Liwale Mjini,-9.80422,37.92646,Liwale Teachers Saccos Ltd,06/01/1994,,,,,,,
Lindi,Lindi Urban,Makonde,-9.99841,39.71479,Lmsacoba,01/06/2013,Yes,Yes,,,Yes,,
Kilimanjaro,Moshi Rural,Mwika Kaskazini,-3.27956,37.57735,Lokingamma,31/12/2003,,,,,,,
Arusha,Monduli,Longido,-2.73272,36.69564,Longido Saccos,10/01/2010,,,,,,,
Arusha,Monduli,Longido,-2.748,36.70405,Longido Teachers Saccos,10/05/2010,,,,,,,
Arusha,Monduli,Longido,-2.74793,36.7039,Longido Workers,12/02/2010,,,,,,,
Kilimanjaro,Moshi Urban,Longuo,-3.35524,37.33707,Longuo Youth Saccos,17/10/2013,,,,,,,
Arusha,Arusha,Kati,-3.3713,36.69519,Loolera Saccos,04/11/2006,,,,,,,
Lindi,Lindi Urban,Wireless,-10.00067,39.70189,Ltc Saccos,18/10/2002,,,,,,,
Mbeya,Rungwe,Lufingo,-9.2344,33.59405,Lufingo Saccos Ltd,01/02/2004,,,,,,,
Mbeya,Mbeya Urban,Ruanda,-8.91172,33.46905,Lulu Saccos,10/03/2003,,,,,,,
Mbeya,Mbeya Urban,Iyela,-8.91169,33.4609,Lumbaki Sacco Mbr 770,07/07/2001,,,,,,,
Mbeya,Kyela,Ipinda,-9.48455,33.87696,Lumki Group,01/03/2012,,,,,,,
Shinyanga,Bukombe,Lugunga,-3.52128,32.22804,Lunga Tuinuane Saccos,06/11/2012,,,,,,,
Singida,Manyoni,Kintinku,-5.88828,35.21721,Lusilile Saccos Ltd,01/09/2007,,,,,,,
Ruvuma,Namtumbo,Luwegu,-10.55839,35.93297,Luwegu Saccos,12/11/2013,,,,,,,
Arusha,Arumeru,Kiranyi,-3.3634,36.69664,Lweru Saccos,05/09/2007,,,,,,,
Mbeya,Rungwe,Ikuti,-9.31614,33.56761,Lyenje Saccos Rungwe,02/05/2003,,,,,,,
Arusha,Arusha,Kimandolu,-3.38328,36.71088,Maadili Saccos,11/07/2006,,,,,,,
Arusha,Arusha,Kati,-3.36564,36.68476,Maadili Saccos,16/09/2006,,,,,,,
Dar es Salaam,Kinondoni,Mabibo,-6.81109,39.22507,Mabibo Sacco,21/05/2002,,,,,,,
Shinyanga,Bukombe,Ushirombo,-3.47132,31.9008,Maboto Enterprises,09/05/2010,,,,,,,
Shinyanga,Maswa,Isanga,-3.18295,33.78022,Maboto Enterprises Maswa Branch,25/07/2008,,,,,,,
Kilimanjaro,Moshi Urban,Pasua,-3.37276,37.33372,Macedonia Saccos,03/07/2011,,,,,,,
Tabora,Tabora Urban,Gongoni,-5.01917,32.80458,Mack Sacco,15/09/2012,,,,,,,
Mbeya,Mbarali,Madibira,-8.20064,34.81865,Madibila Amcos,16/04/1997,,,,,,,
Mbeya,Mbarali,Madibira,-8.20098,34.81797,Madibila Saccos,20/04/2000,,,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34534,36.48644,Madizini Saccos,24/04/1991,,,,,,,
Mbeya,Kyela,Busole,-9.49316,33.68494,Maendeleo Lema Saccos,02/03/2007,,,,,,,
Tabora,Igunga,Igunga,-4.29719,33.87684,Maendeleo Sacco,07/12/2007,,,,,,,
Singida,Manyoni,Manyoni,-5.74694,34.83688,Maendeleo Saccos,25/05/2010,,,,,,,
Tabora,Tabora Urban,Cheyo,-5.03025,32.81534,Maendeleo Ya Vijana,15/06/2002,,,,,,,
Arusha,Arusha,Kati,-3.36174,36.68601,Mafanikio Saccos,14/11/2006,,,,,,,
Iringa,Mufindi,Mafinga,-8.29966,35.29434,Mafinga Saccos,30/04/2003,Yes,,,,Yes,,
Ruvuma,Songea Rural,Magagula,-10.83497,35.28452,Magagula Saccos,28/07/2011,,,,,,,
Manyara,Mbulu,Maghang,-4.15307,35.09525,Maghang Saccos Ltd,01/05/2009,,,,,,,
Kigoma,Kibondo,Kibondo Mjini,-3.58589,30.72223,Magoma Saccos,26/02/2008,,,,,,,
Dar es Salaam,Kinondoni,Magomeni,-6.8073,39.25672,Magomeni Sokoni Saccos,07/11/2004,,,,,,,
Ruvuma,Songea Rural,Wino,-9.89278,35.34801,Mahanje Saccos,15/11/2013,Yes,,Yes,,,,
Kilimanjaro,Rombo,Mahida Holili,-3.35424,37.34002,Mahida Saccos (Dairy),07/09/2010,,,,,,,
Kilimanjaro,Rombo,Mengwe Manda,-3.34997,37.34249,Mahida Teachers Saccos,18/10/2010,,,,,,,
